报告ID,统一目录报告ID,发布日期,报告名称,报告类型,官方主题,科技创新相关度,中国关联,官方落地页,官方PDF入口,页面摘要,资料层级,全文策略,页面SHA256,采集日期
C-RATHENAU-2020-DIGITAL-THREATS-DEMOCRACY,C-RATHENAU-2020-DIGITAL-THREATS-DEMOCRACY,2020-12-04,Digital threats to democracy,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisation/digital-threats-democracy,https://www.rathenau.nl/sites/default/files/2020-12/Report_Digital_threats__democracy_on_technology_and_desinformation_Rathenau-Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,0299ee1824ca3c500d38caab7093e670f2d48220e460e87410764387c06c073e,2026-08-23
C-RATHENAU-2020-POTATOES-ARE-FUTURE,C-RATHENAU-2020-POTATOES-ARE-FUTURE,2020-12-17,Potatoes are the future,Report,Health,支撑,否,https://www.rathenau.nl/en/health/potatoes-are-future,https://www.rathenau.nl/sites/default/files/2020-12/Rathenau_Instituut_2020_Potatoes_are_the_future.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,e02dd3234b91ff226e4c11a40de54cfe4009b08a70a395460a6124dd588c9bc2,2026-08-23
C-RATHENAU-2021-FAKE-REAL,C-RATHENAU-2021-FAKE-REAL,2021-01-21,Fake for real,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/fake-real,https://www.rathenau.nl/sites/default/files/2022-04/FakeforReal_corrections_20-22.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,c02e615ee458cb898158fadd936e17acf8a32cb9912fa473d29d3b0bb04f6e19,2026-08-23
C-RATHENAU-2021-LOOK-WHOS-TALKING,C-RATHENAU-2021-LOOK-WHOS-TALKING,2021-01-29,Look who's talking,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisering/look-whos-talking,https://www.rathenau.nl/sites/default/files/2021-01/Look_who_is_talking_responsible_speech_technology_Report_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,58f920e77b214ead7713c54c6dfc8399acaea40de0714f4416996644e9efa360,2026-08-23
C-RATHENAU-2021-INITIATIVES-SUPPORTING-DIGITAL-DEMOCRACY-NATIONAL-LEVEL,C-RATHENAU-2021-INITIATIVES-SUPPORTING-DIGITAL-DEMOCRACY-NATIONAL-LEVEL,2021-02-11,Initiatives supporting digital democracy at national level,Report,Knowledge and innovation for transitions,语境,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/initiatives-supporting-digital-democracy-national-level,https://www.rathenau.nl/sites/default/files/2021-02/Initiatives_supporting_digital_democracy_at_national_level_Report_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,9ac06c1d0c638a6d3c6590fc88092ac800ee0d768d58619c112cbc20feb99ba4,2026-08-23
C-RATHENAU-2021-TACKLING-DEEPFAKES-EUROPEAN-POLICY,C-RATHENAU-2021-TACKLING-DEEPFAKES-EUROPEAN-POLICY,2021-09-16,Tackling deepfakes in European policy,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisation/tackling-deepfakes-european-policy,https://www.rathenau.nl/sites/default/files/2021-08/STOA_options_brief.pdf；https://www.rathenau.nl/sites/default/files/2021-08/tackling_deepfakes_in_european_policy_STOA.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,21fae138e06826424bbcf315243c2b875d0fadb09c6a7ee8426bc21ed4dff57d,2026-08-23
C-RATHENAU-2021-PERSPECTIVES-FUTURE-OPEN-SCIENCE,C-RATHENAU-2021-PERSPECTIVES-FUTURE-OPEN-SCIENCE,2021-10-01,Perspectives on the future of Open Science,Report,How the science system works,核心,是,https://www.rathenau.nl/en/how-science-system-works/perspectives-future-open-science,https://www.rathenau.nl/sites/default/files/2021-12/perspectives_on_future_open_science_Rathenau_Instituut_EU_publication.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,331d6dafa4af411e02e292503ccb82181c8d1fe4884590834617af1268a362b3,2026-08-23
C-RATHENAU-2021-TECHNOLOGY-ASSESSMENT-AND-DECISION-MAKING-UNDER-UNCERTAINTY-LESSONS-LEAR,C-RATHENAU-2021-TECHNOLOGY-ASSESSMENT-AND-DECISION-MAKING-UNDER-UNCERTAINTY-LESSONS-LEAR,2021-11-09,Technology assessment and decision-making under uncertainty: lessons learned from the COVID-19 pandemic,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/technology-assessment-and-decision-making-under-uncertainty-lessons-learned-covid-19-pandemic,https://www.rathenau.nl/sites/default/files/2021-11/EPTAreport_Lessons_from_the_COVID_pandemic_2021_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,9a007238d76132ae3c4586ed99f392a7b9c1421a21ecb9b3071bb7830e9cffa8,2026-08-23
C-RATHENAU-2022-TRUST-SCIENCE-NETHERLANDS-2021-SURVEY,C-RATHENAU-2022-TRUST-SCIENCE-NETHERLANDS-2021-SURVEY,2022-01-03,Trust in science in the Netherlands (2021 survey),Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/trust-science-netherlands-2021-survey,https://www.rathenau.nl/sites/default/files/2021-12/REPORT_Trust_in_science_in_the_Netherlands_2021_survey_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,9a191d2c7323ca2d601eaf0b8752eb13024877bd11b6cf79e69bd480c539c449,2026-08-23
C-RATHENAU-2022-MOVING-FORWARD-TOGETHER-OPEN-SCIENCE,C-RATHENAU-2022-MOVING-FORWARD-TOGETHER-OPEN-SCIENCE,2022-02-23,Moving forward together with open science,Report,How the science system works,核心,否,https://www.rathenau.nl/en/how-science-system-works/moving-forward-together-open-science,https://www.rathenau.nl/sites/default/files/2022-02/Moving_further_together_with_open%20science_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,006f081ac19f87af16e830dd51a48654ada6f58e28a9cdc30edd3ce8f77022bd,2026-08-23
C-RATHENAU-2022-RESEARCH-PROGRAMMES-MISSION,C-RATHENAU-2022-RESEARCH-PROGRAMMES-MISSION,2022-03-22,Research programmes with a mission,Report,How the science system works,核心,否,https://www.rathenau.nl/en/how-science-system-works/research-programmes-mission,https://www.rathenau.nl/sites/default/files/2022-03/Research_programmes_with_a_mission_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,12b9b69fe4dcdfc792a616d4f8c039c0158fc195ea36c3a2687d5d0156e96644,2026-08-23
C-RATHENAU-2022-SOCIETY-AND-SYNTHETIC-CELLS,C-RATHENAU-2022-SOCIETY-AND-SYNTHETIC-CELLS,2022-04-26,Society and synthetic cells,Report,Knowledge and innovation for transitions,核心,否,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/society-and-synthetic-cells,https://www.rathenau.nl/sites/default/files/2022-07/a_report_on_the_public_meeting_%27society_and_synthetic_cells%27_Rathenau_Instituut.pdf；https://www.rathenau.nl/sites/default/files/2022-10/Position_paper_Society_and_synthetic_cells_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,92481ba7ad915556ddf7b3107e18850892bba416ff233eec6e59c1adb098b8f8,2026-08-23
C-RATHENAU-2022-MAKING-BETTER-DECISIONS-ABOUT-DATA-CENTRES,C-RATHENAU-2022-MAKING-BETTER-DECISIONS-ABOUT-DATA-CENTRES,2022-05-25,Making better decisions about data centres,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisation/making-better-decisions-about-data-centres,https://www.rathenau.nl/sites/default/files/2022-05/Making_better_decisions_about_data_centres_%28summary%29_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,0550b03280c2a207d69c09debd3d4207866e9c271d4da5a37222fc2a611d32d8,2026-08-23
C-RATHENAU-2022-HARMFUL-BEHAVIOUR-ONLINE,C-RATHENAU-2022-HARMFUL-BEHAVIOUR-ONLINE,2022-05-31,Harmful Behaviour Online,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisation/harmful-behaviour-online,https://www.rathenau.nl/sites/default/files/2021-07/Rathenau%20Instituut%20I%20English%20summary%20I%20Online%20ontspoord.pdf；https://www.rathenau.nl/sites/default/files/2024-03/Harmful_Behaviour_Online_Report_Rathenau_Instituut%20%28LM%29.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,aef8770631a8afefb04779a6e698cbe65925ccb4fcfbb5b7a8c87bd99c09a3b9,2026-08-23
C-RATHENAU-2022-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-2020-2026,C-RATHENAU-2022-TOTAL-INVESTMENT-RESEARCH-AND-INNOVATION-2020-2026,2022-08-31,Total Investment in Research and Innovation 2020-2026,Report,How the science system works,核心,否,https://www.rathenau.nl/en/how-science-system-works/total-investment-research-and-innovation-2020-2026,https://www.rathenau.nl/sites/default/files/2022-09/Vertaling%20TWIN%20incl%20figuren.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,1675d0deae2f9da5eaeb9adaff7558263a0b8280c26ca0cb65a32993fd80ca98,2026-08-23
C-RATHENAU-2023-MATTER-TIME,C-RATHENAU-2023-MATTER-TIME,2023-04-04,A Matter of Time,Report,Climate,语境,否,https://www.rathenau.nl/en/matter-time,https://www.rathenau.nl/sites/default/files/2023-04/A_Matter_of_Time_summary_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,41652bf75439bdc57073e35ee9803bb88e0c176f440802fe325b16425d86e11f,2026-08-23
C-RATHENAU-2023-EDITING-UNDER-PROVISION,C-RATHENAU-2023-EDITING-UNDER-PROVISION,2023-04-13,Editing under provision,Report,Health,语境,否,https://www.rathenau.nl/en/health/editing-under-provision,https://www.rathenau.nl/sites/default/files/2023-04/Rapport_Editing_under_provision_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,149907ca70bb80fded7be3bb824d15770d948b9f9a545344c274b026819b9a26,2026-08-23
C-RATHENAU-2023-FUTURE-RADIOACTIVE-WASTE-MANAGEMENT-LESSONS-EUROPE,C-RATHENAU-2023-FUTURE-RADIOACTIVE-WASTE-MANAGEMENT-LESSONS-EUROPE,2023-06-27,The future of radioactive waste management; lessons from Europe,Report,Climate,支撑,否,https://www.rathenau.nl/en/climate/future-radioactive-waste-management-lessons-europe,,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,68c90e5ce470970cdd93a0dca333b9b4c18e1fdc717279a556d3fd93f6052786,2026-08-23
C-RATHENAU-2023-IMMERSIVE-TECHNOLOGIES,C-RATHENAU-2023-IMMERSIVE-TECHNOLOGIES,2023-11-27,Immersive technologies,Report,Digitalisation,支撑,否,https://www.rathenau.nl/en/digitalisation/immersive-technologies,https://www.rathenau.nl/sites/default/files/2024-01/%28EN%29%20Rathenau%20Instituut%20I%20Scan%20I%20Immersieve%20technologieen%20Final_LM_schoon.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,024bdc35a611a29ca7fa3fa0b9b810d2d52cc632c6ad777c3619664afe61deb2,2026-08-23
C-RATHENAU-2024-NWO-PROGRAMMES-CURIOSITY-DRIVEN-RESEARCH,C-RATHENAU-2024-NWO-PROGRAMMES-CURIOSITY-DRIVEN-RESEARCH,2024-01-16,NWO programmes for curiosity-driven research,Report,How the science system works,核心,否,https://www.rathenau.nl/en/how-science-system-works/nwo-programmes-curiosity-driven-research,https://www.rathenau.nl/sites/default/files/2024-01/Rathenau%20Instituut%20I%20Rapport%20I%20NWO-programma%27s%20voor%20vrij%20onderzoek%20Engelse%20versie%20door%20DeepL%20aangepast%20PD_LM_schoon.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,6fd229a704c732022f98d56fd9610a0f8a1d7c2e40a472e685f533b6d85b5ad1,2026-08-23
C-RATHENAU-2024-GENERATIVE-AI,C-RATHENAU-2024-GENERATIVE-AI,2024-03-20,Generative AI,Report,Digitalisation,核心,否,https://www.rathenau.nl/en/digitalisation/generative-ai,https://www.rathenau.nl/sites/default/files/2024-03/Scan_Generative_AI_Rathenau_Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,d41cb0ac7147ab279172eaf11a4d1c56d844d0d982319cbd1d1924020940ba18,2026-08-23
C-RATHENAU-2024-INSECURE-START,C-RATHENAU-2024-INSECURE-START,2024-07-16,An insecure start,Report,How the science system works,核心,否,https://www.rathenau.nl/en/how-science-system-works/insecure-start,https://www.rathenau.nl/sites/default/files/2024-06/An%20Insecure%20Start.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,bf483562b7c4b5747ab965c1d1363060088cd774ee64c3ab3939f31fd63d9a8f,2026-08-23
C-RATHENAU-2024-KNOWLEDGE-FUTURE,C-RATHENAU-2024-KNOWLEDGE-FUTURE,2024-10-09,Knowledge of the Future,Report,How the science system works,核心,否,https://www.rathenau.nl/en/how-science-system-works/knowledge-future,https://www.rathenau.nl/sites/default/files/2024-10/Rathenau%20Instituut_REPORT_Knowledge%20of%20the%20Future.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,af7e1e3bfb617d7437e76ba4d37d8aee7d212d769e688402f9dc98819bbfd2cd,2026-08-23
C-RATHENAU-2024-TAKING-STEPS-TOGETHER-NOW,C-RATHENAU-2024-TAKING-STEPS-TOGETHER-NOW,2024-10-11,Taking steps together now,Report,Climate,语境,否,https://www.rathenau.nl/en/climate/taking-steps-together-now,https://www.rathenau.nl/sites/default/files/2024-10/Rapport_Nu_samen_stappen_maken_Rathenau_Instituut_en_10-10.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,6764fa32291884a34b2e7df59124963f77f2824663ce91685ace0b5bd076f5d7,2026-08-23
C-RATHENAU-2025-WELCOME-BABYSHOWER,C-RATHENAU-2025-WELCOME-BABYSHOWER,2025-02-04,Welcome to the babyshower,Report,Health,语境,否,https://www.rathenau.nl/en/health/welcome-babyshower,https://www.rathenau.nl/sites/default/files/2025-02/Welcome%20to%20the%20babyshower%20-%2031-01-2025_LM.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,92e65c9e50525ae16d83988cbbc786998dd883ed08603a1d5a326dfcb92841ad,2026-08-23
C-RATHENAU-2025-NEUROTECHNOLOGY,C-RATHENAU-2025-NEUROTECHNOLOGY,2025-03-04,Neurotechnology,Report,Health,核心,否,https://www.rathenau.nl/en/health/neurotechnology,https://www.rathenau.nl/sites/default/files/2025-03/Rathenau%20Scan%20Neurotechnologie_ENG.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,4c487f3829d5ac3ca617554aa74626c315f6b5fb022c8aba4194e17f76ecd1d2,2026-08-23
C-RATHENAU-2025-CHINA-SCIENTIFIC-SUPERPOWER,C-RATHENAU-2025-CHINA-SCIENTIFIC-SUPERPOWER,2025-06-02,China: a scientific superpower in the making,Factsheet,Science in figures,核心,是,https://www.rathenau.nl/en/science-figures/process/collaboration/china-scientific-superpower-making,,"Exchanging knowledge is beneficial for a country like the Netherlands. Unsurprisingly, international cooperation is one of the pillars of Dutch science policy. However, international cooperation also involves risks. In recent years, the Netherlands and the European Union have increased their focus on knowledge security. Previously, the Rathenau Instituut emphasized the importance of conscious strategic international collaborations, especially for scientists, institutions, and the Ministry of Education, Culture, and Science. In this way, we avoid becoming dependent on foreign funding and we can limit the risk of external influences on research. Cooperation with researchers from undemocratic and unfree countries is growing and geopolitical relations are shifting. To illustrate this, we will look at the phenomenal size and growth of scientific research in China. We compare China with the US, the EU, and the Netherlands and look at the increasing cooperation between Dutch and Chinese scientists.",Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,4b829e462f144a8da81ab60a7c9e1007744ecfd8a39a6f7f5562ec01974ad722,2026-08-23
C-RATHENAU-2025-INCLUSIVE-ONLINE-SUMMARY,C-RATHENAU-2025-INCLUSIVE-ONLINE-SUMMARY,2025-08-28,Inclusive online (summary),Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisation/reviewing-relationship-technology-companies/inclusive-online-summary,https://www.rathenau.nl/sites/default/files/2025-08/Inclusive-Online-Summary-Rathenau-Instituut.pdf；https://www.rathenau.nl/sites/default/files/2025-09/Speculatieve-prototypes-Inclusief-Online-Rathenau-Instituut.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,11ce2e9b3821fc3b7b6602fc095a8e315427b8ee60e52d1fea22ea9d724bd264,2026-08-23
C-RATHENAU-2025-HOLLANDS-NEXT-EMBRYO-MODEL,C-RATHENAU-2025-HOLLANDS-NEXT-EMBRYO-MODEL,2025-10-28,Holland's Next Embryo Model,Report,Health,核心,否,https://www.rathenau.nl/en/health/towards-responsible-medical-biotechnology/hollands-next-embryo-model,https://www.rathenau.nl/sites/default/files/2025-11/Report%20Rathenau%20Instituut%20Holland%27s%20Next%20Embryo%20Model_ENGELS.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,6625380faafa64246a854be913660eb8bab8b0a37b4c65fc9a94d2f16ae22641,2026-08-23
C-RATHENAU-2026-SCROLLING-BALLOT-BOX,C-RATHENAU-2026-SCROLLING-BALLOT-BOX,2026-03-10,Scrolling to the ballot box,Report,Digitalisation,语境,否,https://www.rathenau.nl/en/digitalisation/reviewing-relationship-technology-companies/scrolling-ballot-box,https://www.rathenau.nl/sites/default/files/2026-05/Scrollend_naar_de_stembus_Rathenau_Instituut_ENfinal.pdf,,Rathenau官方英文出版页轻量元数据,总目录保留；核心跨期节点、中国科技比较或高复用机制报告进入全文层,ee7d37b58349bce86b1841ffda7f9c3256e737108029bb8582ee7585d9b2b27e,2026-08-23
C-RATHENAU-2026-GEOPOLITICS-SCIENCE-POLICY,C-RATHENAU-2026-GEOPOLITICS-SCIENCE-POLICY,2026-05-04,Geopolitics in Science Policy,Report,Knowledge and innovation for transitions,核心,是,https://www.rathenau.nl/en/knowledge-and-innovation-transitions/challenge-driven-knowledge-and-innovation-policy/geopolitics-science-policy,https://www.rathenau.nl/sites/default/files/2026-05/Geopolitics%20in%20science%20policy%20.pdf,,Rathenau官方英文出版页轻量元数据,已进入精选全文；按本地原始资产、文本和切片调用,5fd5d7e01604fa10b8e8941b44940fc0cc556bd5d8a53058236f1c52b2eb3fdd,2026-08-23
