主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
创新体系与产业政策,C-BEL-2C19B76C8E,2023-11-08,W3,政策简报,Action on AI: Unpacking the Executive Order’s Security Implications and the Road Ahead,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,https://www.belfercenter.org/publication/action-ai-unpacking-executive-orders-security-implications-and-road-ahead
生物、量子及其他前沿技术,C-BEL-2C19B76C8E,2023-11-08,W3,政策简报,Action on AI: Unpacking the Executive Order’s Security Implications and the Road Ahead,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-2C19B76C8E.txt,https://www.belfercenter.org/publication/action-ai-unpacking-executive-orders-security-implications-and-road-ahead
人工智能、芯片与算力,C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china
网络安全与数字治理,C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china
技术供应链与出口管制,C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china
创新体系与产业政策,C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china
国防、航天与无人系统,C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china
生物、量子及其他前沿技术,C-BEL-AFD28CFBC0,2024-06-18,W3,研究报告与论文,A Just Transition for Coal Regions: Learning from Two Coal Cities in Western China,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-AFD28CFBC0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-AFD28CFBC0.txt,https://www.belfercenter.org/research-analysis/just-transition-coal-regions-learning-two-coal-cities-western-china
人工智能、芯片与算力,C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan
网络安全与数字治理,C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan
技术供应链与出口管制,C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan
创新体系与产业政策,C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan
国防、航天与无人系统,C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan
生物、量子及其他前沿技术,C-BEL-EB0689FAEA,2025-02-03,W3,研究报告与论文,"The Autonomous Arsenal in Defense of Taiwan: Technology, Law, and Policy of the Replicator Initiative",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-EB0689FAEA.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-EB0689FAEA.txt,https://www.belfercenter.org/replicator-autonomous-weapons-taiwan
人工智能、芯片与算力,C-BEL-9A478150BE,2025-03-14,W3,研究报告与论文,Beyond Rhetoric: The Enduring Political Appeal of U.S. Industrial Policy for Critical and Strategic Technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-9A478150BE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-9A478150BE.txt,https://www.belfercenter.org/research-analysis/beyond-rhetoric-us-industrial-policy
网络安全与数字治理,C-BEL-9A478150BE,2025-03-14,W3,研究报告与论文,Beyond Rhetoric: The Enduring Political Appeal of U.S. Industrial Policy for Critical and Strategic Technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-9A478150BE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-9A478150BE.txt,https://www.belfercenter.org/research-analysis/beyond-rhetoric-us-industrial-policy
技术供应链与出口管制,C-BEL-9A478150BE,2025-03-14,W3,研究报告与论文,Beyond Rhetoric: The Enduring Political Appeal of U.S. Industrial Policy for Critical and Strategic Technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-9A478150BE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-9A478150BE.txt,https://www.belfercenter.org/research-analysis/beyond-rhetoric-us-industrial-policy
创新体系与产业政策,C-BEL-9A478150BE,2025-03-14,W3,研究报告与论文,Beyond Rhetoric: The Enduring Political Appeal of U.S. Industrial Policy for Critical and Strategic Technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-9A478150BE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-9A478150BE.txt,https://www.belfercenter.org/research-analysis/beyond-rhetoric-us-industrial-policy
国防、航天与无人系统,C-BEL-9A478150BE,2025-03-14,W3,研究报告与论文,Beyond Rhetoric: The Enduring Political Appeal of U.S. Industrial Policy for Critical and Strategic Technologies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-9A478150BE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-9A478150BE.txt,https://www.belfercenter.org/research-analysis/beyond-rhetoric-us-industrial-policy
人工智能、芯片与算力,C-BEL-63B46FF729,2025-06-23,W3,政策简报,Cutting Through Narratives on Chinese Arctic Investments,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-63B46FF729.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-63B46FF729.txt,https://www.belfercenter.org/research-analysis/china-arctic-investments
网络安全与数字治理,C-BEL-63B46FF729,2025-06-23,W3,政策简报,Cutting Through Narratives on Chinese Arctic Investments,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-63B46FF729.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-63B46FF729.txt,https://www.belfercenter.org/research-analysis/china-arctic-investments
技术供应链与出口管制,C-BEL-63B46FF729,2025-06-23,W3,政策简报,Cutting Through Narratives on Chinese Arctic Investments,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-63B46FF729.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-63B46FF729.txt,https://www.belfercenter.org/research-analysis/china-arctic-investments
国防、航天与无人系统,C-BEL-63B46FF729,2025-06-23,W3,政策简报,Cutting Through Narratives on Chinese Arctic Investments,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-63B46FF729.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-63B46FF729.txt,https://www.belfercenter.org/research-analysis/china-arctic-investments
人工智能、芯片与算力,C-BEL-2DBC6C6564,2025-07-23,W3,研究报告与论文,"Emerging Tech & American Isolationism: Consequences for AI, Drone, and Space Launch Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2DBC6C6564.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2DBC6C6564.txt,https://www.belfercenter.org/research-analysis/emerging-tech-american-isolationism-consequences-ai-drone-and-space-launch
网络安全与数字治理,C-BEL-2DBC6C6564,2025-07-23,W3,研究报告与论文,"Emerging Tech & American Isolationism: Consequences for AI, Drone, and Space Launch Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2DBC6C6564.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2DBC6C6564.txt,https://www.belfercenter.org/research-analysis/emerging-tech-american-isolationism-consequences-ai-drone-and-space-launch
技术供应链与出口管制,C-BEL-2DBC6C6564,2025-07-23,W3,研究报告与论文,"Emerging Tech & American Isolationism: Consequences for AI, Drone, and Space Launch Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2DBC6C6564.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2DBC6C6564.txt,https://www.belfercenter.org/research-analysis/emerging-tech-american-isolationism-consequences-ai-drone-and-space-launch
创新体系与产业政策,C-BEL-2DBC6C6564,2025-07-23,W3,研究报告与论文,"Emerging Tech & American Isolationism: Consequences for AI, Drone, and Space Launch Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2DBC6C6564.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2DBC6C6564.txt,https://www.belfercenter.org/research-analysis/emerging-tech-american-isolationism-consequences-ai-drone-and-space-launch
国防、航天与无人系统,C-BEL-2DBC6C6564,2025-07-23,W3,研究报告与论文,"Emerging Tech & American Isolationism: Consequences for AI, Drone, and Space Launch Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-2DBC6C6564.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-2DBC6C6564.txt,https://www.belfercenter.org/research-analysis/emerging-tech-american-isolationism-consequences-ai-drone-and-space-launch
人工智能、芯片与算力,C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and
网络安全与数字治理,C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and
技术供应链与出口管制,C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and
创新体系与产业政策,C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and
国防、航天与无人系统,C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and
生物、量子及其他前沿技术,C-BEL-6F869656AC,2025-11-20,W3,研究报告与论文,"Multi-Alignment as Strategy: How Brazil Navigates Between Washington, Beijing, and the Global South",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-6F869656AC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-6F869656AC.txt,https://www.belfercenter.org/research-analysis/multi-alignment-strategy-how-brazil-navigates-between-washington-beijing-and
人工智能、芯片与算力,C-BEL-85969F7BAD,2025-11-20,W3,研究报告与论文,Active Alignment: How Indonesia Can Shape the U.S.-China Strategic Competition,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85969F7BAD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85969F7BAD.txt,https://www.belfercenter.org/research-analysis/active-alignment-how-indonesia-can-shape-us-china-strategic-competition
网络安全与数字治理,C-BEL-85969F7BAD,2025-11-20,W3,研究报告与论文,Active Alignment: How Indonesia Can Shape the U.S.-China Strategic Competition,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85969F7BAD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85969F7BAD.txt,https://www.belfercenter.org/research-analysis/active-alignment-how-indonesia-can-shape-us-china-strategic-competition
技术供应链与出口管制,C-BEL-85969F7BAD,2025-11-20,W3,研究报告与论文,Active Alignment: How Indonesia Can Shape the U.S.-China Strategic Competition,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85969F7BAD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85969F7BAD.txt,https://www.belfercenter.org/research-analysis/active-alignment-how-indonesia-can-shape-us-china-strategic-competition
创新体系与产业政策,C-BEL-85969F7BAD,2025-11-20,W3,研究报告与论文,Active Alignment: How Indonesia Can Shape the U.S.-China Strategic Competition,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85969F7BAD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85969F7BAD.txt,https://www.belfercenter.org/research-analysis/active-alignment-how-indonesia-can-shape-us-china-strategic-competition
国防、航天与无人系统,C-BEL-85969F7BAD,2025-11-20,W3,研究报告与论文,Active Alignment: How Indonesia Can Shape the U.S.-China Strategic Competition,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85969F7BAD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85969F7BAD.txt,https://www.belfercenter.org/research-analysis/active-alignment-how-indonesia-can-shape-us-china-strategic-competition
人工智能、芯片与算力,C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously
网络安全与数字治理,C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously
技术供应链与出口管制,C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously
创新体系与产业政策,C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously
国防、航天与无人系统,C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously
生物、量子及其他前沿技术,C-BEL-B4FB9BAD13,2025-11-20,W3,研究报告与论文,India: Leaning to One Side (Cautiously),作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-B4FB9BAD13.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-B4FB9BAD13.txt,https://www.belfercenter.org/research-analysis/india-leaning-one-side-cautiously
人工智能、芯片与算力,C-BEL-393576F862,2025-12-08,W3,研究报告与论文,Governing Outer Space: A Conference of the Parties for the Outer Space Treaty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-393576F862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-393576F862.txt,https://www.belfercenter.org/research-analysis/space-cop-governance
技术供应链与出口管制,C-BEL-393576F862,2025-12-08,W3,研究报告与论文,Governing Outer Space: A Conference of the Parties for the Outer Space Treaty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-393576F862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-393576F862.txt,https://www.belfercenter.org/research-analysis/space-cop-governance
创新体系与产业政策,C-BEL-393576F862,2025-12-08,W3,研究报告与论文,Governing Outer Space: A Conference of the Parties for the Outer Space Treaty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-393576F862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-393576F862.txt,https://www.belfercenter.org/research-analysis/space-cop-governance
国防、航天与无人系统,C-BEL-393576F862,2025-12-08,W3,研究报告与论文,Governing Outer Space: A Conference of the Parties for the Outer Space Treaty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-393576F862.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-393576F862.txt,https://www.belfercenter.org/research-analysis/space-cop-governance
