报告ID,发布日期,观察窗,材料类型,原始类型,报告名称,作者,资料角色,项目分类,中国关联层级,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,页面来源,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-NBR-BDDCDFED2B,2021-03-01,W2,NBR背景材料,NBR背景材料,IP Commission 2021 Background Memo,,作者/项目正式研究,IP Theft,区域技术基线,核心科技直接材料,网络安全与数字治理；创新体系、标准与知识产权,NBR知识产权委员会官方更新附件,https://www.nbr.org/publication/the-ip-commission-report/,https://www.nbr.org/wp-content/uploads/pdfs/publications/ip_commission_2021_background_memo_mar21.pdf,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-BDDCDFED2B.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-BDDCDFED2B.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-BDDCDFED2B.md,80993,2138ec9e5bd634a198de0bbe1d38635f2a7f12b22de3430187b9e6b905e7da79,5,6231,官方PDF已保存并校验,,2026-08-22
C-NBR-B5D8F97B99,2021-03-08,W2,NBR访谈,Interview,"Biopharmaceutical Innovation China, India, and Supply Chain Security",Linda M. Distlerath,作者访谈,Supply Chains,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/biopharmaceutical-innovation-china-india-and-supply-chain-security/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-B5D8F97B99.md,182072,2350b853e9fbd891a90b813d443f899971fb718c69490736ccaad541215f3830,0,15710,官方网页全文已保存,,2026-08-22
C-NBR-69E1F7B277,2021-04-06,W2,NBR评论,Commentary,Prospects for U.S. Trade Engagement in the Indo-Pacific and Options for the Biden Administration,Charles W. Boustany,作者评论或论文,U.S. Trade Policy,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/prospects-for-u-s-trade-engagement-in-the-indo-pacific-and-options-for-the-biden-administration/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-69E1F7B277.md,184195,8f07864840e094ac727382d0d033a73b2577c2014fcb4da3a2bffd1767fbb34e,0,16340,官方网页全文已保存,,2026-08-22
C-NBR-5D6D4FC2DD,2021-04-13,W2,NBR访谈,Interview,India's Economic Future Charting a Course toward Renewed Growth,Pravakar Sahoo,作者访谈,India's Economy,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/indias-economic-future-charting-a-course-toward-renewed-growth/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-5D6D4FC2DD.md,180641,1e3a8743158aef9568d55afd87ca27a436a975c7f4b7b23015ac6dad809c79d0,0,14635,官方网页全文已保存,,2026-08-22
C-NBR-E1B61B8318,2021-04-16,W2,NBR评论,Commentary,The Biden Administration’s Trade Policy and U.S. Relations with Southeast Asia,Ellen L. Frost,作者评论或论文,U.S. Trade Policy,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/the-biden-administrations-trade-policy-and-u-s-relations-with-southeast-asia/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-E1B61B8318.md,183323,22d6dbb37c134618c7165ebca6b21fbe0d9784394c42aa11d923ab01ac478bbe,0,15833,官方网页全文已保存,,2026-08-22
C-NBR-C2EF867EC9,2021-04-22,W2,NBR评论,Commentary,Where Will Trade with China Go from Here? The Biden Administration and China,Claire Reade,作者评论或论文,Trade Policy,直接涉华科技,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/where-will-trade-with-china-go-from-here-the-biden-administration-and-china/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-C2EF867EC9.md,183157,b9e37c8ee7159e581bc1442b94d1a97217673e5b4de58a41d9f8bf9353320a28,0,17692,官方网页全文已保存,,2026-08-22
C-NBR-9B06F7C381,2021-05-06,W2,NBR评论,Commentary,Carrying the Torch of Free Trade in the Indo-Pacific Japan’s Challenging Role,Saori N. Katada,作者评论或论文,Indo-Pacific Trade,含中国比较的印太技术材料,科技地缘经济基线,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/carrying-the-torch-of-free-trade-in-the-indo-pacific-japans-challenging-role/,,官方页面Jina代理文本,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-9B06F7C381.md,11328,abd1fe0433fce4860c375b3c2dc91b56a4533fb9daa4db5907be15a81cc2906c,0,11276,官方页面代理全文已保存,CDP降级: RuntimeError: blocked or thin official page: title='请稍候…' chars=113,2026-08-22
C-NBR-DF5CBBADC6,2021-09-11,W2,NBR评论,Commentary,Japan’s Connectivity Initiatives in the Indo-Pacific,Kensuke Yanagida,作者评论或论文,Connectivity,含中国比较的印太技术材料,科技地缘经济基线,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/japans-connectivity-initiatives-in-the-indo-pacific/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-DF5CBBADC6.md,181088,1cac0bba99d01b20d452f7ae37d4c4c213ae9adcf8b541f5ae6caabb6226a202,0,15158,官方网页全文已保存,,2026-08-22
C-NBR-614FB81244,2021-09-24,W2,NBR评论,Commentary,U.S. Economic Statecraft 2.0 for Resilient Supply Chains in the Indo-Pacific,Hiroyuki Suzuki,作者评论或论文,Supply Chains,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/u-s-economic-statecraft-2-0-for-resilient-supply-chains-in-the-indo-pacific/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-614FB81244.md,179132,a80192244b70e1abe9085e835e4e1a8bf8622ccf843ebebcdf1bc347b45ea237,0,13133,官方网页全文已保存,,2026-08-22
C-NBR-2FB0C4C25D,2021-10-12,W2,NBR评论,Commentary,India’s Vision for Indo-Pacific Trade,Saon Ray,作者评论或论文,Indo-Pacific Trade,含中国比较的印太技术材料,科技地缘经济基线,技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/indias-vision-for-indo-pacific-trade/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2FB0C4C25D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2FB0C4C25D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-2FB0C4C25D.md,181557,8a37a5ebbfd437df6f6695477e9b1be83903ecda0006bc30435a4d89a4f701e2,0,15737,官方网页全文已保存,,2026-08-22
C-NBR-647692A385,2021-11-06,W2,NBR评论,Commentary,How Indonesia Sees the Indo-Pacific Economic Architecture,Kiki Verico,作者评论或论文,Indonesia,含中国比较的印太技术材料,科技地缘经济基线,技术地缘经济与区域合作,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/how-indonesia-sees-the-indo-pacific-economic-architecture/,,官方页面Jina代理文本,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-647692A385.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-647692A385.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-647692A385.md,14888,d561b7687c5c28487039f09568e3aa7ecacb55f2b7f6abdd7307f8e3fecdbc8d,0,14750,官方页面代理全文已保存,CDP降级: RuntimeError: blocked or thin official page: title='请稍候…' chars=113,2026-08-22
C-NBR-1ADDCF68F3,2021-12-07,W2,NBR研究报告,Report,Guardians of Intellectual Property in the 21st Century The Global Supply Chain Industry,Steven Carnovale,作者/项目正式研究,IP Protection & Supply Chains,区域技术基线,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/guardians-of-intellectual-property-in-the-21st-century-the-global-supply-chain-industry/,,官方页面Jina代理文本,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-1ADDCF68F3.md,2979,09127c9d098eddacef7ce13ac63e6500fcf414b76b62b70180bf65a7591a1fab,0,2977,官方页面代理全文已保存,CDP降级: RuntimeError: blocked or thin official page: title='请稍候…' chars=113,2026-08-22
C-NBR-DE39187716,2022-03-01,W3,NBR研究报告,Report,China’s Digital Ambitions A Global Strategy to Supplant the Liberal Order,"Emily de La Bruyère, Doug Strub, and Jonathon Marek",作者/项目正式研究,Digital Strategy,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/chinas-digital-ambitions-a-global-strategy-to-supplant-the-liberal-order/,https://www.nbr.org/wp-content/uploads/pdfs/publications/sr97_chinas_digital_ambitions_mar2022_french.pdf,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-DE39187716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-DE39187716.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-DE39187716.md,1499042,f3511db1e9eacc170c57640141c40e8e099be4b54c758d06d7ee8caf7b351ab4,235,500682,官方PDF已保存并校验,,2026-08-22
C-NBR-4471D2BA28,2022-12-12,W3,NBR访谈,Interview,U.S. Semiconductor Export Controls on the PRC Prospects for Success,,作者访谈,Semiconductors,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/u-s-semiconductor-export-controls-on-the-prc-prospects-for-success/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-4471D2BA28.md,180320,646c402a7452f036db5f9e93ce7ed6ced55cc049a0d475c28bba189583038583,0,14682,官方网页全文已保存,,2026-08-22
C-NBR-446E085D08,2023-01-10,W3,NBR评论,Commentary,Japan’s Role and Strategy in the Formation of Digital Trade Rules in the Indo-Pacific,Hideyuki Miura,作者评论或论文,Digital Trade,含中国比较的印太技术材料,核心科技直接材料,网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/japans-role-and-strategy-in-the-formation-of-digital-trade-rules-in-the-indo-pacific/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-446E085D08.md,182129,fbe02b43222d910bf94eee57a0d1fb8c2ea79b36edc03fd725344bc5e9582fdd,0,16722,官方网页全文已保存,,2026-08-22
C-NBR-59455867FD,2023-03-07,W3,NBR评论,Commentary,Overcoming Japan’s Uphill Battle Toward Digital Transformation,Daisuke Kawai,作者评论或论文,Digital Transformation,区域技术基线,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/overcoming-japans-uphill-battle-toward-digital-transformation/,,官方页面Jina代理文本,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-59455867FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-59455867FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-59455867FD.md,18994,6b8295c567449ef4f1e5f445dd11fbad3ecac6017579b214d3b273e92e9cfa5a,0,18880,官方页面代理全文已保存,CDP降级: RuntimeError: blocked or thin official page: title='请稍候…' chars=113,2026-08-22
C-NBR-F3E2BFFB1C,2023-10-19,W3,NBR评论,Commentary,Building Supply Chain Resiliency in the Indo-Pacific,Spencer Cohen,作者评论或论文,Supply Chains,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/building-supply-chain-resiliency-in-the-indo-pacific/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F3E2BFFB1C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F3E2BFFB1C.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-F3E2BFFB1C.md,183596,0f8717176b27edee0fb56d2bf494f2e730a6e5f5a0b478f6d07665dbff24c570,0,16759,官方网页全文已保存,,2026-08-22
C-NBR-6E800DE6A2,2023-11-29,W3,NBR研究报告,Report,Critical Technology Supply Chains in the Asia-Pacific Options for the United States to De-risk and Diversify,"Taylore Roth, Samuel Naumann, Sarah Mortensen, Peter Heine, Amanda Sayre, John VerWey, and Adam Attarian",作者/项目正式研究,Supply Chains,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/critical-technology-supply-chains-in-the-asia-pacific-options-for-the-united-states-to-de-risk-and-diversify/,https://www.nbr.org/wp-content/uploads/pdfs/publications/sr106_deriskingcriticaltech_nov2023.pdf,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-6E800DE6A2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-6E800DE6A2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-6E800DE6A2.md,2914415,53ff22e1b7fac6a78a53fdef3a7c01a31b7a8454fb0452287e52841086e5eaa8,34,89486,官方PDF已保存并校验,,2026-08-22
C-NBR-93642DB4F4,2023-12-19,W3,NBR访谈,Interview,South Korea’s Capacity Building against North Korean Cyberthreats,So Jeong Kim,作者访谈,Cybersecurity,区域技术基线,核心科技直接材料,网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/south-koreas-capacity-building-against-north-korean-cyberthreats/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-93642DB4F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-93642DB4F4.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-93642DB4F4.md,174346,0bd8d720711104db377c04fe8ffeabe79a8a60da0fef9efece44f2fce1d7fd7f,0,9521,官方网页全文已保存,,2026-08-22
C-NBR-285EE63E24,2024-03-05,W3,NBR研究报告,Report,"U.S.-ROK Tech Cooperation: Export Controls, Data Policy, and Artificial Intelligence",Gwanhoo Lee and Doug Strub,作者/项目正式研究,U.S.-ROK Tech Cooperation,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/u-s-rok-tech-cooperation-export-controls-data-policy-and-artificial-intelligence/,https://www.nbr.org/wp-content/uploads/pdfs/publications/sr107_us-rok_tech_cooperation_mar2024.pdf,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-285EE63E24.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-285EE63E24.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NBR-285EE63E24.md,4757973,2713c5e80de111dfb587969c33db86b146fdc6cf9320c61d6c4644c7d8ad5155,68,211023,官方PDF已保存并校验,,2026-08-22
C-NBR-DEA97583F8,2024-03-16,W3,NBR评论,Commentary,The U.S. APEC 2023 Host Year “Meets the Moment” in the Asia-Pacific,Matt Murray and Steve Dyokas,作者评论或论文,APEC,区域技术基线,科技地缘经济基线,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/the-u-s-apec-2023-host-year-meets-the-moment-in-the-asia-pacific/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DEA97583F8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DEA97583F8.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-DEA97583F8.md,181610,38e5f4d47c8ded2126b0c32cd998b4bc292d5bdb215e9815dcf40b38cf64cda9,0,15395,官方网页全文已保存,,2026-08-22
C-NBR-B921104DCC,2024-06-05,W3,NBR访谈,Interview,Data Security in China’s Industrial Sector,Kendra Schaefer,作者访谈,Data Security,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/data-security-in-chinas-industrial-sector/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B921104DCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B921104DCC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-B921104DCC.md,180291,13b7a116cd474a51678c9151837455b27e3a309277b23a1e9e8f74fb64a0a849,0,14762,官方网页全文已保存,,2026-08-22
C-NBR-E1378BD35F,2024-06-27,W3,NBR背景材料,Backgrounder,China’s Generative AI Ecosystem in 2024 Rising Investment and Expectations,Paul Triolo and Kendra Schaefer,作者/项目正式研究,Artificial Intelligence,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；技术供应链与出口管制；创新体系、标准与知识产权；生物、量子及其他前沿技术,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/chinas-generative-ai-ecosystem-in-2024-rising-investment-and-expectations/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1378BD35F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1378BD35F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-E1378BD35F.md,238100,cec7d4b4fbbd1917cb95ff21fda948cf7153ff9731519b5dc641c05c1c02fab4,0,61746,官方网页全文已保存,,2026-08-22
C-NBR-3F5365B41F,2024-08-20,W3,NBR访谈,Interview,Assessing the Impact of AI on Indo-Pacific Elections,Margot Fulde-Hardy,作者访谈,AI and Elections,含中国比较的印太技术材料,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/assessing-the-impact-of-ai-on-indo-pacific-elections/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-3F5365B41F.md,176458,1a126cb24e6efc540c4e80b4be1a2fd1dccf03ca9c5d59df9bcaa220daaeb4d0,0,9719,官方网页全文已保存,,2026-08-22
C-NBR-FCCA98C748,2024-08-29,W3,NBR访谈,Interview,China's AI Governance: Engaging the Global South,Ngor Luong,作者访谈,AI Governance,直接涉华科技,核心科技直接材料,人工智能、芯片与算力；网络安全与数字治理；创新体系、标准与知识产权,NBR技术与地缘经济事务项目正式出版物,https://www.nbr.org/publication/chinas-ai-governance-engaging-the-global-south/,,官方网页原始HTML,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-NBR-FCCA98C748.md,178309,501933980cb4dfe93b68b1313cc76e183db9340ac3ff1844e68a6431ccdec4ca,0,12436,官方网页全文已保存,,2026-08-22
