报告ID,WordPress_ID,发布日期,报告名称,官方摘要,科学技术创新主题,中国关联,官方落地页,官方PDF入口,附件数,资料层级,全文策略,采集日期
C-CSET-18346,18346,2024-05-06,Gao Huajian and the China Talent Returnee Question,"The celebrated return to China of its overseas scientists, as evidenced in the recent case of physicist Gao Huajian, is typically cited as a loss to the United States. This report argues a contrarian view that the benefits equation is far more complicated. PRC programs that channel diaspora achievements “back” to China and the inclination of many scientists to work in familiar venues blur the distinction between returning to China and staying in place.",人才大学与科研组织；中国科技横向维度,是,https://cset.georgetown.edu/publication/gao-huajian-and-the-china-talent-returnee-question/,https://cset.georgetown.edu/wp-content/uploads/CSET-Gao-Huajian-and-the-China-Talent-Returnee-Question.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18319,18319,2024-05-09,"China, Biotechnology, and BGI","As the U.S. government considers banning genomics companies from China, it opens a broader question about how the United States and other market economies should deal with China’s “national champions.” This paper provides an overview of one such company—BGI—and how China’s industrial policy impacts technology development in China and around the world.",技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态；中国科技横向维度,是,https://cset.georgetown.edu/publication/china-biotechnology-and-bgi/,https://cset.georgetown.edu/wp-content/uploads/CSET-China-Technology-and-BGI.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18600,18600,2024-05-14,China and Medical AI,"Medical artificial intelligence, which depends on large repositories of biological data, can improve public health and contribute to the growing global bioeconomy. Countries that strategically prioritize medical AI could benefit from a competitive advantage and set global norms. This report examines China’s stated goals for medical AI, finding that the country’s strategy for biodata collection and medical AI development positions it to be an economic and technological leader in this sector.",技术创新与关键技术；国际合作开放科学与比较；中国科技横向维度,是,https://cset.georgetown.edu/publication/china-and-medical-ai/,https://cset.georgetown.edu/wp-content/uploads/CSET-China-and-Medical-AI-Implications-of-Big-Biodata-for-the-Bioeconomy.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18636,18636,2024-05-15,Putting Teeth into AI Risk Management,"President Biden’s October 2023 executive order prioritizes the governance of artificial intelligence in the federal government, prompting the urgent creation of AI risk management standards and procurement guidelines. Soon after the order’s signing, the Office of Management and Budget issued guidance for federal departments and agencies, including minimum risk standards for AI in federal contracts. Similar to cybersecurity, procurement rules will be used to enforce AI development best practices for federal suppliers. This report offers recommendations for implementing AI risk management procurement rules.",技术创新与关键技术；创新政策与研发治理；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/putting-teeth-into-ai-risk-management/,https://cset.georgetown.edu/wp-content/uploads/CSET-Putting-Teeth-into-AI-Risk-Management.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18518,18518,2024-06-13,Key Concepts in AI Safety: Reliable Uncertainty Quantification in Machine Learning,"This paper is the fifth installment in a series on “AI safety,” an area of machine learning research that aims to identify causes of unintended behavior in machine learning systems and develop tools to ensure these systems work safely and reliably. This paper explores the opportunities and challenges of building AI systems that “know what they don’t know.”",技术创新与关键技术,否,https://cset.georgetown.edu/publication/key-concepts-in-ai-safety-reliable-uncertainty-quantification-in-machine-learning/,https://cset.georgetown.edu/wp-content/uploads/CSET-Key-Concepts-in-AI-Safety-Reliable-Uncertainty-Quantification-in-Machine-Learning.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18814,18814,2024-06-14,Trust Issues: Discrepancies in Trustworthy AI Keywords Use in Policy and Research,"Policy and research communities strive to mitigate AI harm while maximizing its benefits. Achieving effective and trustworthy AI necessitates the establishment of a shared language. The analysis of policies across different countries and research literature identifies consensus on six critical concepts: accountability, explainability, fairness, privacy, security, and transparency.",技术创新与关键技术；创新政策与研发治理；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/trust-issues-discrepancies-in-trustworthy-ai-keywords-use-in-policy-and-research/,,0,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18782,18782,2024-06-18,China’s Military AI Roadblocks,"China’s leadership believes that artificial intelligence will play a central role in future wars. However, the author’s comprehensive review of dozens of Chinese-language journal articles about AI and warfare reveals that Chinese defense experts claim that Beijing is facing several technological challenges that may hinder its ability to capitalize on the advantages provided by military AI. This report outlines these perceived barriers and identifies several technologies that Chinese experts believe may help the country develop and deploy military AI-enabled systems.",技术创新与关键技术；中国科技横向维度；安全供应链与治理边界（次级）,是,https://cset.georgetown.edu/publication/chinas-military-ai-roadblocks/,https://cset.georgetown.edu/wp-content/uploads/CSET-Chinas-Military-AI-Roadblocks-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18992,18992,2024-07-09,Enabling Principles for AI Governance,"How to govern artificial intelligence is a concern that is rightfully top of mind for lawmakers and policymakers.To govern AI effectively, regulators must 1) know the terrain of AI risk and harm by tracking incidents and collecting data; 2) develop their own AI literacy and build better public understanding of the benefits and risks; and 3) preserve adaptability and agility by developing policies that can be updated as AI evolves.",技术创新与关键技术；创新政策与研发治理；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/enabling-principles-for-ai-governance/,https://cset.georgetown.edu/wp-content/uploads/CSET-Enabling-Principles-for-AI-Governance.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18724,18724,2024-07-15,Eyes Wide Open: Harnessing the Remote Sensing and Data Analysis Industries to Enhance National Security,"The U.S. government has an opportunity to seize strategic advantages by working with the remote sensing and data analysis industries. Both grew rapidly over the last decade alongside technology improvements, cheaper space launch, new investment-based business models, and stable regulation. From new sensors to new orbits, the intelligence community and regulators have recognized these changes and opportunities—the U.S. Department of Defense, NASA, and other agencies should follow suit.",技术创新与关键技术；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/eyes-wide-open-harnessing-the-remote-sensing-and-data-analysis-industries-to-enhance-national-security/,https://cset.georgetown.edu/wp-content/uploads/CSET-Eyes-Wide-Open.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-18960,18960,2024-07-23,Governing AI with Existing Authorities,"A core question in policy debates around artificial intelligence is whether federal agencies can use their existing authorities to govern AI or if the government needs new legal powers to manage the technology. The authors argue that relying on existing authorities is the most effective approach to promoting the safe development and deployment of AI systems, at least in the near term. This report outlines a process for identifying existing legal authorities that could apply to AI and highlights areas where additional legislative or regulatory action may be needed.",技术创新与关键技术；创新政策与研发治理,否,https://cset.georgetown.edu/publication/governing-ai-with-existing-authorities/,https://cset.georgetown.edu/wp-content/uploads/CSET-Governing-AI-with-Existing-Authorities.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-19167,19167,2024-07-25,Tracing the Emergence of Extreme Ultraviolet Lithography,"Extreme ultraviolet (EUV) lithography is the most important technology to have emerged out of the semiconductor industry in recent years. This report presents a case study of its development from the 1980s to the present. Using bibliometric data, this report details the evolution of the research community responsible for its development and the many scientific breakthroughs made on EUVs over a decades-long path to commercialization. The paper concludes with lessons learned for policymakers interested in protecting and promoting the next generation of emerging technologies.",科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,否,https://cset.georgetown.edu/publication/tracing-the-emergence-of-extreme-ultraviolet-lithography/,https://cset.georgetown.edu/wp-content/uploads/CSET-Tracing-the-Emergence-of-Extreme-Ultraviolet-Lithography.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-19282,19282,2024-08-13,Building the Tech Coalition,"The U.S. Army’s 18th Airborne Corps can now target artillery just as efficiently as the best unit in recent American history—and it can do so with two thousand fewer servicemembers. This report presents a case study of how the 18th Airborne partnered with tech companies to develop, prototype, and operationalize software and artificial intelligence for clear military advantage. The lessons learned form recommendations to the U.S. Department of Defense as it pushes to further develop and adopt AI and other new technologies.",技术创新与关键技术；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/building-the-tech-coalition/,https://cset.georgetown.edu/wp-content/uploads/CSET-Building-the-Tech-Coalition-1.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-19631,19631,2024-10-01,Securing Critical Infrastructure in the Age of AI,"As critical infrastructure operators and providers seek to harness the benefits of new artificial intelligence capabilities, they must also manage associated risks from both AI-enabled cyber threats and potential vulnerabilities in deployed AI systems. In June 2024, CSET led a workshop to assess these issues. This report synthesizes our findings, drawing on lessons from cybersecurity and insights from critical infrastructure sectors to identify challenges and potential risk mitigations associated with AI adoption.",技术创新与关键技术；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/securing-critical-infrastructure-in-the-age-of-ai/,https://cset.georgetown.edu/wp-content/uploads/CSET-Securing-Critical-Infrastructure-in-the-Age-of-AI.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-19661,19661,2024-10-03,Through the Chat Window and Into the Real World: Preparing for AI Agents,"Computer scientists have long sought to build systems that can actively and autonomously carry out complicated goals in the real world—commonly referred to as artificial intelligence “agents.” Recently, significant progress in large language models has fueled new optimism about the prospect of building sophisticated AI agents. This CSET-led workshop report synthesizes findings from a May 2024 workshop on this topic, including what constitutes an AI agent, how the technology is improving, what risks agents exacerbate, and intervention points that could help.",技术创新与关键技术；人才大学与科研组织,否,https://cset.georgetown.edu/publication/through-the-chat-window-and-into-the-real-world-preparing-for-ai-agents/,https://cset.georgetown.edu/wp-content/uploads/CSET-Through-the-Chat-Window-and-Into-the-Real-World.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-19825,19825,2024-10-15,Fueling China’s Innovation: The Chinese Academy of Sciences and Its Role in the PRC’s S&T Ecosystem,"The Chinese Academy of Sciences is among the most important S&T organizations in the world and plays a key role in advancing Beijing’s S&T objectives. This report provides an in-depth look into the organization and its various functions within China’s S&T ecosystem, including advancing S&T research, fostering the commercialization of critical and emerging technologies, and contributing to S&T policymaking.",科学体系与基础研究；创新政策与研发治理；产业创新转化与区域生态；中国科技横向维度,是,https://cset.georgetown.edu/publication/fueling-chinas-innovation-the-chinese-academy-of-sciences-and-its-role-in-the-prcs-st-ecosystem/,https://cset.georgetown.edu/wp-content/uploads/CSET-Fueling-Chinas-Innovation.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-20108,20108,2024-11-01,Cybersecurity Risks of AI-Generated Code,"Artificial intelligence models have become increasingly adept at generating computer code. They are powerful and promising tools for software development across many industries, but they can also pose direct and indirect cybersecurity risks. This report identifies three broad categories of risk associated with AI code generation models and discusses their policy and cybersecurity implications.",技术创新与关键技术；创新政策与研发治理；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/cybersecurity-risks-of-ai-generated-code/,https://cset.georgetown.edu/wp-content/uploads/CSET-Cybersecurity-Risks-of-AI-Generated-Code.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-20338,20338,2024-11-19,Acquiring AI Companies: Tracking U.S. AI Mergers and Acquisitions,"Maintaining U.S. technological leadership in the years ahead will require policymakers to promote competition in the AI market and prevent industry leaders from wielding their power in harmful ways. This brief examines trends in U.S. mergers and acquisitions of artificial intelligence companies. The authors found that AI-related M&A deals have grown significantly over the last decade, with large U.S. tech companies being the most prolific acquirers of AI firms.",技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,否,https://cset.georgetown.edu/publication/acquiring-ai-companies-tracking-u-s-ai-mergers-and-acquisitions/,https://cset.georgetown.edu/wp-content/uploads/CSET-Acquiring-AI-Companies.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-20366,20366,2024-11-20,AI Safety and Automation Bias,"Automation bias is a critical issue for artificial intelligence deployment. It can cause otherwise knowledgeable users to make crucial and even obvious errors. Organizational, technical, and educational leaders can mitigate these biases through training, design, and processes. This paper explores automation bias and ways to mitigate it through three case studies: Tesla’s autopilot incidents, aviation incidents at Boeing and Airbus, and Army and Navy air defense incidents.",技术创新与关键技术；人才大学与科研组织；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/ai-safety-and-automation-bias/,https://cset.georgetown.edu/wp-content/uploads/CSET-AI-Safety-and-Automation-Bias.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-20479,20479,2024-12-03,Anticipating Biological Risk: A Toolkit for Strategic Biosecurity Policy,"Artificial intelligence (AI) tools pose exciting possibilities to advance scientific, biomedical, and public health research. At the same time, these tools have raised concerns about their potential to contribute to biological threats, like those from pathogens and toxins. This report describes pathways that result in biological harm, with or without AI, and a range of governance tools and mitigation measures to address them.",科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；安全供应链与治理边界（次级）,否,https://cset.georgetown.edu/publication/anticipating-biological-risk-a-toolkit-for-strategic-biosecurity-policy/,https://cset.georgetown.edu/wp-content/uploads/CSET-Anticipating-Biological-Risk.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-20520,20520,2024-12-09,Staying Current with Emerging Technology Trends: Using Big Data to Inform Planning,This report proposes an approach to systematically identify promising research using big data and analyze that research’s potential impact through structured engagements with subject-matter experts. The methodology offers a structured way to proactively monitor the research landscape and inform strategic R&D priorities.,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否,https://cset.georgetown.edu/publication/staying-current-with-emerging-technology-trends-using-big-data-to-inform-planning/,https://cset.georgetown.edu/wp-content/uploads/CSET-Staying-Current-with-Emerging-Technology-Trends.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
C-CSET-20613,20613,2024-12-16,AI and the Future of Workforce Training,"The emergence of artificial intelligence as a general-purpose technology could profoundly transform work across industries, potentially affecting a variety of occupations. While previous technological shifts largely enhanced productivity and wages for white-collar workers but led to displacement pressures for blue-collar workers, AI may significantly disrupt both groups. This report examines the changing landscape of workforce development, highlighting the crucial role of community colleges, alternative career pathways, and AI-enabled training solutions in preparing workers for this transition.",技术创新与关键技术；人才大学与科研组织,否,https://cset.georgetown.edu/publication/ai-and-the-future-of-workforce-training/,https://cset.georgetown.edu/wp-content/uploads/CSET-AI-and-the-Future-of-Workforce-Training.pdf,1,官方正式报告轻量目录,不自动下载；由机构—节点—主题覆盖缺口触发,2026-08-22
