报告ID,统一目录报告ID,系列编号,发布日期,日期精度,报告名称,作者,科学技术创新主题,中国关联,官方系列页,官方PDF入口,资料层级,全文策略,源文件SHA256,采集日期
C-FRAUNHOFER-ISI-DP-84,C-FRAUNHOFER-ISI-DP-84,84,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Does New Public Management repel Talent? Findings from a Choice Experiment among German Researchers,"Torben Schubert, Henning Kroll, Maria Karaulova, Knut Blind",人才大学与科研组织,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_84_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-85,C-FRAUNHOFER-ISI-DP-85,85,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,"Policies for Industrial Development, International Collaboration and Technological Sovereignty: Implications for Emerging Economies",Henning Kroll,创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_85_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-86,C-FRAUNHOFER-ISI-DP-86,86,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Redefining Criticality in a Changing World Combining Domestic and Global Perspectives on Enabling Technologies,"Henning Kroll, Chiara Ferrante",国际合作开放科学与比较,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_86_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-87,C-FRAUNHOFER-ISI-DP-87,87,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Measuring the Causal Economic Effects of Scientific Research - Evidence from the Staggered Foundation of the SENAI Innovation Institutes in Brazil,"Torben Schubert, Denilton Darold, Markus Will",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_87_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-88,C-FRAUNHOFER-ISI-DP-88,88,2024-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,"Definition of the research and innovation field of ""Artificial Intelligence"" and approaches to determining quality","Bernd Beckert, Henning Kroll",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2024/discussionpaper_88_2024.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-89,C-FRAUNHOFER-ISI-DP-89,89,2025-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Eine kritische Reflexion des Förderansatzes Modellregionen Grüner Wasserstoff in Baden-Württemberg,"Thomas Stahlecker, Esther Schnabel",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2025/discussionpaper_89_2025.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-90,C-FRAUNHOFER-ISI-DP-90,90,2025-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Fostering Transformation. A Governance Frame for Large Public and Private Organisations as Change Agents in Transformations,"Jakob Edler, Florian Helfrich, Stefan Kuhlmann",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2025/25-06_discussionpaper_90_2025.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-91,C-FRAUNHOFER-ISI-DP-91,91,2025-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,"Unboxing innovation policy strategies: an empirical exploration on objectives, coordination, and capacity",Miriam Hufnagl,创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2025/discussionpaper_91_2025.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-92,S-FISI-2026-01,92,2026-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,From sustainability transitions to security: Mapping the new terrain for innovation policy,"Paula Kivimaa, Matthijs Janssen, Jakob Edler",创新政策与研发治理；安全供应链与治理边界,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2026/discussionpaper_92_2026.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-93,C-FRAUNHOFER-ISI-DP-93,93,2026-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,Polity configurations and the performance of state intervention in transformative policies: A conceptual framework,"Jakob Edler, Liu Shi",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2026/discussionpaper_93_2026.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
C-FRAUNHOFER-ISI-DP-94,C-FRAUNHOFER-ISI-DP-94,94,2026-01-01,年；统一目录以1月1日作排序占位，不代表实际出版日,From High-Tech Strategy to High-Tech Agenda Germany,"Florian Wittmann, Nele Weiblen, Andreas Hummler, Ralf Lindner",创新政策与研发治理,否,https://www.isi.fraunhofer.de/en/competence-center/innovations-wissensoekonomie/publikationen/innovation-systems-policy-analysis.html,https://www.isi.fraunhofer.de/content/dam/isi/dokumente/cci/innovation-systems-policy-analysis/2026/discussionpaper_94_2026.pdf,Fraunhofer ISI官方连续讨论论文系列,不自动下载；由科学技术创新主轴缺口与纵向比较价值触发,e4bd74acc6d3622493ba9d569031f48837a4b8405c2514325d104cc6b44bf781,2026-08-22
