报告ID,发布日期,报告名称,官方落地页,官方PDF入口,本地原始PDF,本地页面HTML,本地文本,本地切片,页数,字节数,清洗文本字符数,China词形命中数,SHA256,科技创新主轴,科技创新复用角色,选择理由,获取日期,中国直接信号
C-EU-JRC-JRC142093,2025-01-01,Putting knowledge and technology to work: Insights from the Innovation Output Indicator,https://publications.jrc.ec.europa.eu/repository/handle/JRC142093,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC142093/JRC142093_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC142093.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC142093.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC142093.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC142093.md,7,440325,24188,8,3c07222fa9482aaaf3387be554b434326291e87fc6353d6dc31abcfef2784161,创新测量与政策方法；产业创新与成果转化,知识与技术转化为创新产出的测量框架,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC142637,2025-01-01,Green Patenting of EU vs. Global Competitors in the Digital Techno Economic Ecosystem,https://publications.jrc.ec.europa.eu/repository/handle/JRC142637,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC142637/JRC142637_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC142637.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC142637.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC142637.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC142637.md,7,320212,26271,30,3fb29dc669871ef4444bc21a3c4b9ea7913a02d0493dd40e2bd13c36d34f338a,关键与新兴技术；创新测量与政策方法；国际合作与中国比较,绿色数字技术专利中的欧盟、中国与全球竞争者比较,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC144638,2025-01-01,The 2025 EU Industrial R&D Investment Scoreboard,https://publications.jrc.ec.europa.eu/repository/handle/JRC144638,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC144638/JRC144638_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC144638.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC144638.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC144638.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC144638.md,178,5026270,528008,341,b2b275ba418031679453bc4dcff6cfcfe040e2a1581e48a381ab6a25f485046c,研发投入与创新政策；国际合作与中国比较,最新完整企业研发投入与全球竞争比较节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,否
C-EU-JRC-JRC145507,2026-01-01,Tracking country innovation performance: The Innovation Output Indicator 2025,https://publications.jrc.ec.europa.eu/repository/handle/JRC145507,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC145507/JRC145507_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC145507.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC145507.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC145507.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC145507.md,61,2591979,146679,28,f048eebd23b74284a99dcdf137582d055f8c4bb12d9ac05fb0553a2765294a7d,创新测量与政策方法；产业创新与成果转化,国家创新绩效最新测量节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC147828,2026-01-01,Quantum Technologies. Comparative Analysis of Media Narratives and the Scientific Landscape,https://publications.jrc.ec.europa.eu/repository/handle/JRC147828,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC147828/JRC147828_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC147828.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC147828.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC147828.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC147828.md,53,3121562,113962,58,2e62af8b9bc5a6f7c91af06aed7c08876a307f7dc7ab57737f6a5fe1b85e9a2f,关键与新兴技术；科学体系与科研能力；国际合作与中国比较,量子科技科学版图与政策叙事的跨国比较节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC111622,2018-01-01,Monitoring scientific collaboration trends in wind energy components,https://publications.jrc.ec.europa.eu/repository/handle/JRC111622,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC111622/JRC111622_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC111622.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC111622.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC111622.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC111622.md,55,2405564,112998,46,c9584ac39e41231f2e317f27fcfeb97574b07bef9d78b951f834a7e0884d5d69,科学体系与科研能力；关键与新兴技术；创新测量与政策方法；国际合作与中国比较,以论文与专利联系观察风能部件科研合作网络及中国位置,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC115449,2019-01-01,Distribution of industrial research & innovation activities: An application of the technology readiness levels,https://publications.jrc.ec.europa.eu/repository/handle/JRC115449,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC115449/2019_02_pb_distribution_of_industrial_research_and_innovation_-_an_application_of_trls.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC115449.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC115449.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC115449.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC115449.md,6,538221,23374,4,40a28904343a35e49a0762a1323e059b1b93074810635e45cf02456059c4aa89,研发投入与创新政策；关键与新兴技术；产业创新与成果转化；国际合作与中国比较,以技术成熟度分布比较工业研发和创新活动的空间组织,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC128744,2022-01-01,AI Watch Index 2021,https://publications.jrc.ec.europa.eu/repository/handle/JRC128744,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC128744/jrc128744_ai_watch_index_2021_1_1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC128744.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC128744.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC128744.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC128744.md,86,5312799,206336,84,261bb403069d4a29c4061284d52d571228356c9ee976f0f2cdced5ab66d3a778,研发投入与创新政策；关键与新兴技术；创新测量与政策方法；国际合作与中国比较,AI能力、科研、人才、投资与产业活动的国际综合测量节点,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC137550,2024-01-01,Diversity in Artificial Intelligence Conferences,https://publications.jrc.ec.europa.eu/repository/handle/JRC137550,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC137550/JRC137550_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC137550.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC137550.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC137550.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC137550.md,36,2210877,60800,20,59c0e770ebc2188788c5b77b941f366f03d150fd497d35b429b8834b15962ace,科学体系与科研能力；关键与新兴技术；科技人才与技能；创新测量与政策方法；国际合作与中国比较,从AI会议参与结构比较科研共同体的地域与人才多样性,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC140126,2025-01-01,Interrogating the research and development pipeline of artificial intelligence (AI) in health: diagnosis and prediction-based diagnosis,https://publications.jrc.ec.europa.eu/repository/handle/JRC140126,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC140126/JRC140126_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC140126.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC140126.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC140126.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC140126.md,77,2048571,186297,10,449a842f398fd7220716b51255a220ea6fed1a970bb375968f273d27e2dfd2ae,科学体系与科研能力；研发投入与创新政策；关键与新兴技术；国际合作与中国比较,医疗AI从科研产出、临床开发到应用管线的跨国比较,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
C-EU-JRC-JRC142609,2025-01-01,Trends in Patents in Life Sciences: focus on Pharmaceuticals and Medical Technologies,https://publications.jrc.ec.europa.eu/repository/handle/JRC142609,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC142609/JRC142609_01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-EU-JRC-JRC142609.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页原文\C-EU-JRC-JRC142609.html,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-EU-JRC-JRC142609.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-EU-JRC-JRC142609.md,6,312722,19057,9,f6367bc56f97d4d9fd22e1535e95da79d80cc7081959958496ae1932a0cbeb2a,科学体系与科研能力；关键与新兴技术；产业创新与成果转化；创新测量与政策方法；国际合作与中国比较,以专利趋势观察生命科学技术能力、转化方向与中国位置,跨期科学技术创新节点；安全与一般治理不单独触发,2026-08-23,是
