主题标签,科技关联层级,观察窗,韩文报告类型,下载优先级,本地状态,材料数
科研体系、研发投入与评价,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,6
科研体系、研发投入与评价,核心科技直接材料,W3,정책기획,P0-China-tech,官方PDF已保存并校验,1
科研体系、研发投入与评价,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,12
科研体系、研发投入与评价,核心科技直接材料,W3,정책기획,P0-core-tech,官方目录元数据，附件未列入本批,10
科研体系、研发投入与评价,核心科技直接材料,W3,조사평가,P0-core-tech,官方PDF已保存并校验,3
科研体系、研发投入与评价,核心科技直接材料,W3,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,6
科研体系、研发投入与评价,科技创新政策与能力基线,W1,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,2
科研体系、研发投入与评价,科技创新政策与能力基线,W1,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,3
科研体系、研发投入与评价,科技创新政策与能力基线,W1,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,10
科研体系、研发投入与评价,科技创新政策与能力基线,W1,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,1
科研体系、研发投入与评价,科技创新政策与能力基线,W1,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,7
科研体系、研发投入与评价,科技创新政策与能力基线,W1,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,4
科研体系、研发投入与评价,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
科研体系、研发投入与评价,科技创新政策与能力基线,W2,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,7
科研体系、研发投入与评价,科技创新政策与能力基线,W2,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,4
科研体系、研发投入与评价,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,32
科研体系、研发投入与评价,科技创新政策与能力基线,W2,성과확산,P1-global-STI,官方目录元数据，附件未列入本批,2
科研体系、研发投入与评价,科技创新政策与能力基线,W2,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,19
科研体系、研发投入与评价,科技创新政策与能力基线,W2,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,4
科研体系、研发投入与评价,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,60
科研体系、研发投入与评价,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,1
科研体系、研发投入与评价,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,33
科研体系、研发投入与评价,科技创新政策与能力基线,W2,정책기획,P0-China-tech,官方PDF已保存并校验,1
科研体系、研发投入与评价,科技创新政策与能力基线,W2,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,6
科研体系、研发投入与评价,科技创新政策与能力基线,W2,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,67
科研体系、研发投入与评价,科技创新政策与能力基线,W2,조사평가,P1-global-STI,官方目录元数据，附件未列入本批,2
科研体系、研发投入与评价,科技创新政策与能力基线,W2,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,64
科研体系、研发投入与评价,科技创新政策与能力基线,W3,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,7
科研体系、研发投入与评价,科技创新政策与能力基线,W3,사업조정,P1-global-STI,官方目录元数据，附件未列入本批,9
科研体系、研发投入与评价,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,32
科研体系、研发投入与评价,科技创新政策与能力基线,W3,성과확산,P1-global-STI,官方目录元数据，附件未列入本批,3
科研体系、研发投入与评价,科技创新政策与能力基线,W3,성과확산,P2-STI-baseline,官方目录元数据，附件未列入本批,38
科研体系、研发投入与评价,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,4
科研体系、研发投入与评价,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,44
科研体系、研发投入与评价,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P1-global-STI,官方目录元数据，附件未列入本批,4
科研体系、研发投入与评价,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,42
科研体系、研发投入与评价,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,13
科研体系、研发投入与评价,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,76
科研体系、研发投入与评价,科技创新政策与能力基线,W3,조사평가,P1-global-STI,官方目录元数据，附件未列入本批,1
科研体系、研发投入与评价,科技创新政策与能力基线,W3,조사평가,P2-STI-baseline,官方目录元数据，附件未列入本批,73
能源、气候与绿色转型,核心科技直接材料,W2,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,4
能源、气候与绿色转型,核心科技直接材料,W2,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,核心科技直接材料,W3,미래예측,P0-core-tech,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,6
能源、气候与绿色转型,核心科技直接材料,W3,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,2
能源、气候与绿色转型,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,4
能源、气候与绿色转型,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,1
能源、气候与绿色转型,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,2
能源、气候与绿色转型,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,8
能源、气候与绿色转型,科技创新政策与能力基线,W2,미래예측,P0-China-tech,官方PDF已保存并校验,1
能源、气候与绿色转型,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,7
能源、气候与绿色转型,科技创新政策与能力基线,W2,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,3
能源、气候与绿色转型,科技创新政策与能力基线,W3,미래예측,P2-STI-baseline,官方目录元数据，附件未列入本批,3
能源、气候与绿色转型,科技创新政策与能力基线,W3,예비타당성조사,P1-global-STI,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,5
能源、气候与绿色转型,科技创新政策与能力基线,W3,위탁/협동/공동연구보고서,P2-STI-baseline,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,科技创新政策与能力基线,W3,정책기획,P1-global-STI,官方目录元数据，附件未列入本批,1
能源、气候与绿色转型,科技创新政策与能力基线,W3,정책기획,P2-STI-baseline,官方目录元数据，附件未列入本批,5
航天、核能与大型技术系统,核心科技直接材料,W2,사업조정,P0-core-tech,官方目录元数据，附件未列入本批,2
航天、核能与大型技术系统,核心科技直接材料,W2,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,8
航天、核能与大型技术系统,核心科技直接材料,W2,조사평가,P0-core-tech,官方目录元数据，附件未列入本批,1
航天、核能与大型技术系统,核心科技直接材料,W3,미래예측,P0-core-tech,官方目录元数据，附件未列入本批,1
航天、核能与大型技术系统,核心科技直接材料,W3,사업조정,P0-core-tech,官方PDF已保存并校验,5
航天、核能与大型技术系统,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方PDF已保存并校验,7
航天、核能与大型技术系统,核心科技直接材料,W3,예비타당성조사,P0-core-tech,官方目录元数据，附件未列入本批,4
航天、核能与大型技术系统,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方PDF已保存并校验,2
航天、核能与大型技术系统,核心科技直接材料,W3,위탁/협동/공동연구보고서,P0-core-tech,官方目录元数据，附件未列入本批,2
航天、核能与大型技术系统,核心科技直接材料,W3,정책기획,P0-core-tech,官方PDF已保存并校验,6
航天、核能与大型技术系统,科技创新政策与能力基线,W1,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,1
航天、核能与大型技术系统,科技创新政策与能力基线,W2,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
航天、核能与大型技术系统,科技创新政策与能力基线,W2,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,2
航天、核能与大型技术系统,科技创新政策与能力基线,W3,사업조정,P2-STI-baseline,官方目录元数据，附件未列入本批,1
航天、核能与大型技术系统,科技创新政策与能力基线,W3,예비타당성조사,P2-STI-baseline,官方目录元数据，附件未列入本批,3
