报告ID,机构ID,机构名称,发布日期,日期精度,报告编号,报告名称,官方文类,语言,作者,官方落地页,官方PDF入口,来源列表页,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-JP-RIETI-17-J-053,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-08-01,月,17-J-053,Self-Evolvability and Attitude toward Technological Changes: An empirical analysis using a survey,Japanese Discussion Paper,Japanese,"KUME Koichi (Toyo University) / CHUMA Hiroyuki (Faculty Fellow, RIETI) / HAYASHI Susumu (Kyoto University) / TODA Akihito (Recruit Works Institute)",https://www.rieti.go.jp/en/publications/summary/17080017.html,https://www.rieti.go.jp/jp/publications/dp/17j053.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-P-027,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-08-01,月,17-P-027,Survey of Big Data Use and Innovation in Japanese Manufacturing Firms,English Policy Discussion Paper,English,"MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/17080010.html,https://www.rieti.go.jp/jp/publications/pdp/17p027.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-J-071,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-11-01,月,17-J-071,"Contents, Methods, and Skills Outcome of University Education by Academic Disciplines in Humanities and Social Sciences",Japanese Discussion Paper,Japanese,HONDA Yuki (University of Tokyo),https://www.rieti.go.jp/en/publications/summary/17110016.html,https://www.rieti.go.jp/jp/publications/dp/17j071.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,科学体系与科研能力；科技人才与技能,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-17-E-126,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2017-12-01,月,17-E-126,Innovation Responses of Japanese Firms to Chinese Import Competition,English Discussion Paper,English,"YAMASHITA Nobuaki (Royal Melbourne Institute of Technology) / YAMAUCHI Isamu (Research Associate, RIETI)",https://www.rieti.go.jp/en/publications/summary/17120010.html,https://www.rieti.go.jp/jp/publications/dp/17e126.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,产业创新与成果转化；国际合作与中国比较,是,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-JP-RIETI-18-J-002,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-01-01,月,18-J-002,The Effects of the Use of Information Technology on Markups in Japanese Manufacturing,Japanese Discussion Paper,Japanese,MATSUKAWA Isamu (Musashi University),https://www.rieti.go.jp/en/publications/summary/18010003.html,https://www.rieti.go.jp/jp/publications/dp/18j002.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-008,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-02-01,月,18-E-008,Losses on Asset Returns Caused by Perception Gaps of Fundamental Values: Evidence from laboratory experiments,English Discussion Paper,English,"HIGASHIDA Keisaku (Kwansei Gakuin University) / TANAKA Kenta (Musashi University) / MANAGI Shunsuke (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18020007.html,https://www.rieti.go.jp/jp/publications/dp/18e008.pdf,https://www.rieti.go.jp/en/publications/act_dp2017.html,核心,创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-J-006,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-02-01,月,18-J-006,Relationship between Labor Regulations and Investment for Technology: Analysis of the effect of labor regulation change for investment of capital and information technology,Japanese Discussion Paper,Japanese,"TANAKA Kenta (Musashi University) / KOMURA Mizuki (Musashi University) / MANAGI Shunsuke (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18020002.html,https://www.rieti.go.jp/jp/publications/dp/18j006.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-J-011,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-03-01,月,18-J-011,"Influence of Having Legal Person Status, Commercialization, and Professionalization of Third Sector Organizations on Their Employment: Based on the survey data on Japan’s third sector in 2014",Japanese Discussion Paper,Japanese,NIHEI Norihiro (University of Tokyo),https://www.rieti.go.jp/en/publications/summary/18020011.html,https://www.rieti.go.jp/jp/publications/dp/18j011.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2017.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-022,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-04-01,月,18-E-022,"Trade Liberalization, Absorptive Capacity and the Protection of Intellectual Property Rights",English Discussion Paper,English,"Arghya GHOSH (University of New South Wales) / ISHIKAWA Jota (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18040009.html,https://www.rieti.go.jp/jp/publications/dp/18e022.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-J-014,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-04-01,月,18-J-014,Why Do Japanese Firms Lag Behind in Introducing and Expanding IT Technologies?,Japanese Discussion Paper,Japanese,"INUI Tomohiko (Faculty Fellow, RIETI) / KIM Young Gak (Senshu University)",https://www.rieti.go.jp/en/publications/summary/18040005.html,https://www.rieti.go.jp/jp/publications/dp/18j014.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-032,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-05-01,月,18-E-032,Regional Employment and Artificial Intelligence in Japan,English Discussion Paper,English,"HAMAGUCHI Nobuaki (Faculty Fellow, RIETI) / KONDO Keisuke (Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18050008.html,https://www.rieti.go.jp/jp/publications/dp/18e032.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-J-020,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-05-01,月,18-J-020,Legal Issues Concerning Standard Essential Patents: International trends and Japan's strategy,Japanese Discussion Paper,Japanese,"SUZUKI Masabumi (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18050014.html,https://www.rieti.go.jp/jp/publications/dp/18j020.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,产业创新与成果转化；创新测量与政策方法；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-035,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-06-01,月,18-E-035,Strategic Declaration of Standard Essential Patents,English Discussion Paper,English,AOKI Reiko (Japan Fair Trade Commission) / ARAI Yasuhiro (Kochi University),https://www.rieti.go.jp/en/publications/summary/18060002.html,https://www.rieti.go.jp/jp/publications/dp/18e035.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-036,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-06-01,月,18-E-036,Intellectual Property Rights for Software and Accessibility to Venture Capitalists,English Discussion Paper,English,ONISHI Koichiro (Waseda University) / YAMAUCHI Isamu (Meiji Gakuin University),https://www.rieti.go.jp/en/publications/summary/18060003.html,https://www.rieti.go.jp/jp/publications/dp/18e036.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-042,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-06-01,月,18-E-042,Technology Sourcing in New Product Development Projects: When and how to use external resources?,English Discussion Paper,English,"KANI Masayo (Tezukayama University) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18060009.html,https://www.rieti.go.jp/jp/publications/dp/18e042.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-046,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-07-01,月,18-E-046,The Choice of Examiner Patent Citations for Refusals: Evidence from the trilateral offices,English Discussion Paper,English,WADA Tetsuo (Gakushuin University),https://www.rieti.go.jp/en/publications/summary/18070006.html,https://www.rieti.go.jp/jp/publications/dp/18e046.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-J-022,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-07-01,月,18-J-022,Empirical Research on Technology Appropriability and Agglomeration Externalities,Japanese Discussion Paper,Japanese,"MATSUMOTO Kuniko (NISTEP) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18070002.html,https://www.rieti.go.jp/jp/publications/dp/18j022.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-P-012,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-07-01,月,18-P-012,"The Regional Innovation System in China: Regional comparison of technology, venture financing, and human capital focusing on Shenzhen",English Policy Discussion Paper,English,"MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18070004.html,https://www.rieti.go.jp/jp/publications/pdp/18p012.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,关键与新兴技术；产业创新与成果转化；科技人才与技能；国际合作与中国比较,是,已进入精选全文；按官方PDF、页面HTML、提取文本和科技创新切片调用,2026-08-23
C-JP-RIETI-18-P-013,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-07-01,月,18-P-013,"Digitization, Computerization, Networking, Automation, and the Future of Jobs in Japan",English Policy Discussion Paper,English,"IWAMOTO Koichi (Senior Fellow, RIETI) / TANOUE Yuta (The Institute of Statistical Mathematics)",https://www.rieti.go.jp/en/publications/summary/18070007.html,https://www.rieti.go.jp/jp/publications/pdp/18p013.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-P-014,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-08-01,月,18-P-014,Determinants of survival ratio for de jure standards: AI-related technologies and interaction with patents,English Policy Discussion Paper,English,"TAMURA Suguru (Senior Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18080001.html,https://www.rieti.go.jp/jp/publications/pdp/18p014.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-063,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-09-01,月,18-E-063,Causal Effects of Software Patents on Firm Growth: Evidence from a policy reform in Japan,English Discussion Paper,English,"YAMAUCHI Isamu (Research Associate, RIETI) / ONISHI Koichiro (Waseda University)",https://www.rieti.go.jp/en/publications/summary/18090011.html,https://www.rieti.go.jp/jp/publications/dp/18e063.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-068,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-10-01,月,18-E-068,Collaborative Knowledge Creation: Evidence from Japanese patent data,English Discussion Paper,English,"MORI Tomoya (Faculty Fellow, RIETI) / SAKAGUCHI Shosei (University of Tokyo / JSPS)",https://www.rieti.go.jp/en/publications/summary/18100007.html,https://www.rieti.go.jp/jp/publications/dp/18e068.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-E-070,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-10-01,月,18-E-070,How Does the Global Network of Research Collaboration Affect the Quality of Innovation?,English Discussion Paper,English,"IINO Takashi (Niigata University) / INOUE Hiroyasu (University of Hyogo) / SAITO Yukiko (Senior Fellow, RIETI) / TODO Yasuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18100009.html,https://www.rieti.go.jp/jp/publications/dp/18e070.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,科学体系与科研能力；产业创新与成果转化；国际合作与中国比较,否,已进入科研人才、知识转移与创新商业化定点全文；按官方PDF、提取文本和科技创新切片调用,2026-08-23
C-JP-RIETI-18-E-073,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-10-01,月,18-E-073,Novelty-Seeking Traits and Innovation,English Discussion Paper,English,"FURUKAWA Yuichi (Faculty Fellow, RIETI) / Tat-kei LAI (IÉSEG School of Management) / SATO Kenji (Osaka Prefecture University)",https://www.rieti.go.jp/en/publications/summary/18100012.html,https://www.rieti.go.jp/jp/publications/dp/18e073.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-P-017,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-11-01,月,18-P-017,Understanding AI Driven Innovation by Linked Database of Scientific Articles and Patents,English Policy Discussion Paper,English,"MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18110011.html,https://www.rieti.go.jp/jp/publications/pdp/18p017.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,科学体系与科研能力；关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-18-J-034,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2018-12-01,月,18-J-034,Knowledge Spillover Effect of University-Industry Collaboration Policy: An empirical analysis of knowledge spillover effect of A-STEP program,Japanese Discussion Paper,Japanese,"HATA Shigenori (Consulting Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/18120012.html,https://www.rieti.go.jp/jp/publications/dp/18j034.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,科学体系与科研能力；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-008,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-02-01,月,19-E-008,Two-dimensional Constrained Chaos and Time in Innovation: An analysis of industrial revolution cycles,English Discussion Paper,English,"YANO Makoto (Chief Research Officer, RIETI) / FURUKAWA Yuichi (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19020009.html,https://www.rieti.go.jp/jp/publications/dp/19e008.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-007,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-02-01,月,19-J-007,Current Status of Startup Firms and Startup Finance in Japan,Japanese Discussion Paper,Japanese,UCHIDA Hirofumi (Kobe University) / Charee KWAK (Kobe University),https://www.rieti.go.jp/en/publications/summary/19020007.html,https://www.rieti.go.jp/jp/publications/dp/19j007.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-013,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-E-013,Hospital competition and technology adoption: An econometric analysis of imaging technology in Japan,English Discussion Paper,English,GOTO Rei (Keio University) / KATO Hirotaka (Keio University),https://www.rieti.go.jp/en/publications/summary/19030004.html,https://www.rieti.go.jp/jp/publications/dp/19e013.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-017,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-E-017,The Link between Entrepreneurial Activities and Angel Investment: An international comparison,English Discussion Paper,English,"HONJO Yuji (Faculty Fellow, RIETI) / NAKAMURA Hiroki (Chuo University)",https://www.rieti.go.jp/en/publications/summary/19030017.html,https://www.rieti.go.jp/jp/publications/dp/19e017.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,产业创新与成果转化；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-023,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-E-023,Empirical Analysis of License Policy for Declared Standard-essential Patents in Setting Technology Standards,English Discussion Paper,English,"Dong HUO (Harbin Institute of Technology, Shenzhen) / Jiangwei DANG (University of International Business and Economics) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19030028.html,https://www.rieti.go.jp/jp/publications/dp/19e023.pdf,https://www.rieti.go.jp/en/publications/act_dp2018.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-012,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-J-012,Use of new information technology such as AI and worker well-being: Evidence from panel data analysis,Japanese Discussion Paper,Japanese,"YAMAMOTO Isamu (Faculty Fellow, RIETI) / KURODA Sachiko (Waseda University)",https://www.rieti.go.jp/en/publications/summary/19030007.html,https://www.rieti.go.jp/jp/publications/dp/19j012.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,关键与新兴技术；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-015,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-J-015,Survey on Actual and Potential Entrepreneurs and Angel Investors in Japan,Japanese Discussion Paper,Japanese,"NAKAMURA Hiroki (Chuo University) / HONJO Yuji (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19030010.html,https://www.rieti.go.jp/jp/publications/dp/19j015.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-017,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-J-017,Linkage of Patent and Design Right Data: Analysis of Industrial Design Activities in Companies at the Creator Level,Japanese Discussion Paper,Japanese,"IKEUCHI Kenta (Fellow, RIETI) / MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19030022.html,https://www.rieti.go.jp/jp/publications/dp/19j017.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-019,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-J-019,International technological alliances and foreign affiliates,Japanese Discussion Paper,Japanese,"SUZUKI Shinya (Musashi University) / IKEUCHI Kenta (Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19030025.html,https://www.rieti.go.jp/jp/publications/dp/19j019.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2018.html,核心,关键与新兴技术；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-P-005,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-03-01,月,19-P-005,Digitalization of manufacturing process and open innovation: Survey results of small and medium sized firms in Japan,English Policy Discussion Paper,English,"MOTOHASHI Kazuyuki (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19030018.html,https://www.rieti.go.jp/jp/publications/pdp/19p005.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-028,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-04-01,月,19-E-028,Global Value Chains and Domestic Innovation,English Discussion Paper,English,"ITO Keiko (Chuo University) / IKEUCHI Kenta (Fellow, RIETI) / Chiara CRISCUOLO (Organisation for Economic Co-operation and Development) / Jonathan TIMMIS (Organisation for Economic Co-operation and Development) / Antonin BERGEAUD (Banque de France)",https://www.rieti.go.jp/en/publications/summary/19040008.html,https://www.rieti.go.jp/jp/publications/dp/19e028.pdf,https://www.rieti.go.jp/en/publications/act_dp2019.html,核心,产业创新与成果转化；国际合作与中国比较,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-023,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-04-01,月,19-J-023,The Impact of Spillover Pools on Firm Patent Applications in Japan,Japanese Discussion Paper,Japanese,EDAMURA Kazuma (Japan Productivity Center),https://www.rieti.go.jp/en/publications/summary/19040003.html,https://www.rieti.go.jp/jp/publications/dp/19j023.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2019.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-032,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-05-01,月,19-J-032,Effects of Buyer and Supplier Relationships and Capital Relationships on R&D Activities,Japanese Discussion Paper,Japanese,"YAMAGUCHI Akira (Hitotsubashi University) / IKEUCHI Kenta (Fellow, RIETI) / FUKAO Kyoji (Faculty Fellow, RIETI) / KWON Hyeog Ug (Faculty Fellow, RIETI) / KIM Young Gak (Senshu University)",https://www.rieti.go.jp/en/publications/summary/19050009.html,https://www.rieti.go.jp/jp/publications/dp/19j032.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2019.html,核心,研发投入与创新政策,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-052,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-07-01,月,19-E-052,On the Decline of R&D Efficiency,English Discussion Paper,English,"MIYAGAWA Tsutomu (Faculty Fellow, RIETI) / ISHIKAWA Takayuki (Hitotsubashi University)",https://www.rieti.go.jp/en/publications/summary/19070008.html,https://www.rieti.go.jp/jp/publications/dp/19e052.pdf,https://www.rieti.go.jp/en/publications/act_dp2019.html,核心,研发投入与创新政策,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-J-045,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-08-01,月,19-J-045,Use of AI and Its Impact on Business: Updated Evidence from a Firm Survey,Japanese Discussion Paper,Japanese,"MORIKAWA Masayuki (Vice President, RIETI)",https://www.rieti.go.jp/en/publications/summary/19080011.html,https://www.rieti.go.jp/jp/publications/dp/19j045.pdf,https://www.rieti.go.jp/en/publications/act_dp_jp2019.html,核心,关键与新兴技术；产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-P-013,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-08-01,月,19-P-013,"Results of a survey on standardization activities: Japanese institutions' standardization activities in 2017 (Implementation, knowledge source, organizational structure, and interest in artificial intelligence)",English Policy Discussion Paper,English,"TAMURA Suguru (Senior Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19080009.html,https://www.rieti.go.jp/jp/publications/pdp/19p013.pdf,https://www.rieti.go.jp/en/publications/act_pdp.html,核心,关键与新兴技术,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-067,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-09-01,月,19-E-067,"Determinants of Structural Adjustment and Employment Use in Japan: Firm Characteristics, Offshoring and Industrial Robotics",English Discussion Paper,English,"Timothy DESTEFANO (OECD) / HANEDA Sho (Nihon University) / KWON Hyeog Ug (Faculty Fellow, RIETI)",https://www.rieti.go.jp/en/publications/summary/19090001.html,https://www.rieti.go.jp/jp/publications/dp/19e067.pdf,https://www.rieti.go.jp/en/publications/act_dp2019.html,核心,关键与新兴技术；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-068,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-09-01,月,19-E-068,Effects of Offshore Production and R&D on Domestic Innovation Activities,English Discussion Paper,English,"YAMASHITA Nobuaki (Royal Melbourne Institute of Technology (RMIT) / Keio University) / YAMAUCHI Isamu (Research Associate, RIETI)",https://www.rieti.go.jp/en/publications/summary/19090002.html,https://www.rieti.go.jp/jp/publications/dp/19e068.pdf,https://www.rieti.go.jp/en/publications/act_dp2019.html,核心,研发投入与创新政策；产业创新与成果转化,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
C-JP-RIETI-19-E-083,jp-rieti,"Research Institute of Economy, Trade and Industry (RIETI)",2019-10-01,月,19-E-083,Do Entrepreneurs Have High Life Satisfaction? Evidence from Japan,English Discussion Paper,English,"HONJO Yuji (Faculty Fellow, RIETI) / IKEUCHI Kenta (Fellow, RIETI) / NAKAMURA Hiroki (Chuo University)",https://www.rieti.go.jp/en/publications/summary/19100024.html,https://www.rieti.go.jp/jp/publications/dp/19e083.pdf,https://www.rieti.go.jp/en/publications/act_dp2019.html,核心,产业创新与成果转化；创新测量与政策方法,否,轻量目录保留；按科技创新机制、中国比较和跨期增量精选全文,2026-08-23
