报告ID,统一目录报告ID,发布日期,日期精度,报告名称,政策节点角色,科学技术创新主题,中国关联,官方索引或落地页,官方PDF入口,时期来源,全文策略,源文件SHA256,采集日期
C-US-OSTP-2019-SUMMARY-OF-WHITE-HOUSE-SUMMIT-ON-AMERICAS-BIOECONOMY-OCTOBER-2019,C-US-OSTP-2019-SUMMARY-OF-WHITE-HOUSE-SUMMIT-ON-AMERICAS-BIOECONOMY-OCTOBER-2019,2019-10-07,日,Summary of the White House Summit on America’s Bioeconomy,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/10/Summary-of-White-House-Summit-on-Americas-Bioeconomy-October-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-PROGRESS-REPORT-ON-THE-FEDERAL-IMPLEMENTATION-OF-THE-STEM-EDUCATION-STRATEGIC-PLAN,C-US-OSTP-2019-PROGRESS-REPORT-ON-THE-FEDERAL-IMPLEMENTATION-OF-THE-STEM-EDUCATION-STRATEGIC-PLAN,2019-10-16,日,Progress Report on the Federal Implementation of the STEM Education Plan,联邦科学技术战略、研发投入或创新体系节点,创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/10/Progress-Report-on-the-Federal-Implementation-of-the-STEM-Education-Strategic-Plan.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-HEALTH-RESEARCH-AND-DEVELOPMENT-FOR-OPIOID-CRISIS-NATIONAL-ROADMAP-2019,C-US-OSTP-2019-HEALTH-RESEARCH-AND-DEVELOPMENT-FOR-OPIOID-CRISIS-NATIONAL-ROADMAP-2019,2019-10-24,日,Health Research and Development to Stem the Opioid Crisis: A National Roadmap,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/10/Health-Research-and-Development-for-Opioid-Crisis-National-Roadmap-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-SUMMARY-OF-JCORE-SUMMIT-NOVEMBER-2019,C-US-OSTP-2019-SUMMARY-OF-JCORE-SUMMIT-NOVEMBER-2019,2019-11-05,日,Summary of the 2019 White House Summit of the Joint Committee on the Research Environment (JCORE),联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/Summary-of-JCORE-Summit-November-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-NATIONAL-STRATEGIC-COMPUTING-INITIATIVE-UPDATE-2019,C-US-OSTP-2019-NATIONAL-STRATEGIC-COMPUTING-INITIATIVE-UPDATE-2019,2019-11-14,日,National Strategic Computing Initiative Update 2019,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/National-Strategic-Computing-Initiative-Update-2019.pdf,Trump OSTP/NSTC官方归档,已进入先进计算科研算力基础设施定点全文；按官方原始资产、净文本和科技创新切片调用,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-OCEAN-ST-SUMMIT-READOUT-FINAL,C-US-OSTP-2019-OCEAN-ST-SUMMIT-READOUT-FINAL,2019-11-14,日,Summary of the 2019 White House Summit on Partnerships in Ocean Science & Technology,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/12/Ocean-ST-Summit-Readout-Final.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2019-AI-RESEARCH-AND-DEVELOPMENT-PROGRESS-REPORT-2016-2019,C-US-OSTP-2019-AI-RESEARCH-AND-DEVELOPMENT-PROGRESS-REPORT-2016-2019,2019-11-20,日,2016-2019 Progress Report: Advancing Artificial Intelligence R&D,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2019/11/AI-Research-and-Development-Progress-Report-2016-2019.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-A-STRATEGIC-VISION-FOR-AMERICAS-QUANTUM-NETWORKS-FEB-2020,C-US-OSTP-2020-A-STRATEGIC-VISION-FOR-AMERICAS-QUANTUM-NETWORKS-FEB-2020,2020-02-07,日,A Strategic Vision for America’s Quantum Networks,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/A-Strategic-Vision-for-Americas-Quantum-Networks-Feb-2020.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-AMERICAN-AI-INITIATIVE-ONE-YEAR-ANNUAL-REPORT,C-US-OSTP-2020-AMERICAN-AI-INITIATIVE-ONE-YEAR-ANNUAL-REPORT,2020-02-26,日,American Artificial Intelligence Initiative Year One Annual Report,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/02/American-AI-Initiative-One-Year-Annual-Report.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-COVID19-OPEN-ACCESS-LETTER-FROM-CSAS-EQUIVALENTS-FINAL,C-US-OSTP-2020-COVID19-OPEN-ACCESS-LETTER-FROM-CSAS-EQUIVALENTS-FINAL,2020-03-17,日,Chief Science Advisors Around the World and WHOSTP Call on Publishers to Make COVID-19 Data/Research Publicly Available,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/03/COVID19-Open-Access-Letter-from-CSAs.Equivalents-Final.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-ARTIFICIAL-INTELLIGENCE-QUANTUM-INFORMATION-SCIENCE-R-D-SUMMARY-AUGUST-2020,C-US-OSTP-2020-ARTIFICIAL-INTELLIGENCE-QUANTUM-INFORMATION-SCIENCE-R-D-SUMMARY-AUGUST-2020,2020-08-14,日,Artificial Intelligence and Quantum Information Science Research and Development Summary: Fiscal Years 2020 – 2021,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Artificial-Intelligence-Quantum-Information-Science-R-D-Summary-August-2020.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-M-20-29,C-US-OSTP-2020-M-20-29,2020-08-14,日,FY 2022 Administration Research and Development Budget Priorities,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/08/M-20-29.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-FY2021-NITRD-SUPPLEMENT,C-US-OSTP-2020-FY2021-NITRD-SUPPLEMENT,2020-08-14,日,FY2021 Supplement to the President’s Budget for the Federal Networking and Information Technology Research and Development (NITRD) Program,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/FY2021-NITRD-Supplement.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020,C-US-OSTP-2020-TRUMP-ADMINISTRATION-ST-HIGHLIGHTS-2017-2020,2020-10-27,日,"Advancing America’s Global Leadership in Science and Technology, Trump Administration Highlights: 2017-2020",联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/10/Trump-Administration-ST-Highlights-2017-2020.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-NNI-FY21-BUDGET-SUPPLEMENT,C-US-OSTP-2020-NNI-FY21-BUDGET-SUPPLEMENT,2020-10-27,日,The National Nanotechnology Initiative: Supplement to the President’s 2021 Budget,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://www.nano.gov/sites/default/files/NNI-FY21-Budget-Supplement.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-EARTH-SYSTEM-PREDICTABILITY-RESEARCH-AND-DEVELOPMENT-STRATEGIC-FRAMWORK-AND-ROADMAP,C-US-OSTP-2020-EARTH-SYSTEM-PREDICTABILITY-RESEARCH-AND-DEVELOPMENT-STRATEGIC-FRAMWORK-AND-ROADMAP,2020-11-10,日,Earth System Research and Development Strategic Framework and Roadmap,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/11/Earth-System-Predictability-Research-and-Development-Strategic-Framwork-and-Roadmap.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-RECOMMENDATIONS-CLOUD-AI-RD-NOV2020,C-US-OSTP-2020-RECOMMENDATIONS-CLOUD-AI-RD-NOV2020,2020-11-17,日,Recommendations for Leveraging Cloud Computing Resources for Federally Funded Artificial Intelligence Research and Development,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；技术创新与关键技术,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/11/Recommendations-Cloud-AI-RD-Nov2020.pdf,Trump OSTP/NSTC官方归档,已进入先进计算科研算力基础设施定点全文；按官方原始资产、净文本和科技创新切片调用,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-FUTURE-ADVANCED-COMPUTING-ECOSYSTEM-STRATEGIC-PLAN-NOV-2020,C-US-OSTP-2020-FUTURE-ADVANCED-COMPUTING-ECOSYSTEM-STRATEGIC-PLAN-NOV-2020,2020-11-18,日,Pioneering the Future Advanced Computing Ecosystem Strategic Plan,联邦科学技术战略、研发投入或创新体系节点,技术创新与关键技术；创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2020/11/Future-Advanced-Computing-Ecosystem-Strategic-Plan-Nov-2020.pdf,Trump OSTP/NSTC官方归档,已进入先进计算科研算力基础设施定点全文；按官方原始资产、净文本和科技创新切片调用,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2020-PROGRESS-REPORT-FEDERAL-IMPLEMENTATION-STEM-EDUCATION-STRATEGIC-PLAN-DEC-2020,C-US-OSTP-2020-PROGRESS-REPORT-FEDERAL-IMPLEMENTATION-STEM-EDUCATION-STRATEGIC-PLAN-DEC-2020,2020-12-17,日,Progress Report on the Implementation of the Federal STEM Education Strategic Plan,联邦科学技术战略、研发投入或创新体系节点,创新政策与研发治理；人才大学与科研组织,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2017/12/Progress-Report-Federal-Implementation-STEM-Education-Strategic-Plan-Dec-2020.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2021-NATIONAL-ORBITAL-DEBRIS-RD-PLAN-2021,C-US-OSTP-2021-NATIONAL-ORBITAL-DEBRIS-RD-PLAN-2021,2021-01-15,日,National Orbital Debris Research and Development Plan,联邦科学技术战略、研发投入或创新体系节点,科学体系与基础研究；创新政策与研发治理,否；美国科技创新政策基线或节点样本,https://trumpwhitehouse.archives.gov/ostp/documents-and-reports/,https://trumpwhitehouse.archives.gov/wp-content/uploads/2021/01/National-Orbital-Debris-RD-Plan-2021.pdf,Trump OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,23fb4e715762b828296cc636ff4427eb3763dc093b222e4ef89ee49c26ae6c2f,2026-08-22
C-US-OSTP-2021-2021-PUBLIC-ACCESS-CONGRESSIONAL-REPORT-OSTP,C-US-OSTP-2021-2021-PUBLIC-ACCESS-CONGRESSIONAL-REPORT-OSTP,2021-11-05,日,2021 Public Access Congressional Report,联邦资助研究成果开放获取进展,科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/02/2021-Public-Access-Congressional-Report_OSTP.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2022-02-2022-CRITICAL-AND-EMERGING-TECHNOLOGIES-LIST-UPDATE,C-US-OSTP-2022-02-2022-CRITICAL-AND-EMERGING-TECHNOLOGIES-LIST-UPDATE,2022-02-01,月；以当月1日作排序占位，不代表实际发布日期,Critical and Emerging Technologies List Update,关键与新兴技术组合边界,技术创新与关键技术；创新政策与研发治理；产业创新转化与区域生态,技术清单本身不作中国判断；作为后续中美技术比较的美国政策基线,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/02/02-2022-Critical-and-Emerging-Technologies-List-Update.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2022-08-2022-OSTP-PUBLIC-ACCESS-MEMO,C-US-OSTP-2022-08-2022-OSTP-PUBLIC-ACCESS-MEMO,2022-08-25,日,"Ensuring Free, Immediate, and Equitable Access to Federally Funded Research",联邦科研成果即时开放政策,科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/08/08-2022-OSTP-Public-Access-Memo.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2022-08-2022-OSTP-PUBLIC-ACCESS-CONGRESSIONAL-REPORT,C-US-OSTP-2022-08-2022-OSTP-PUBLIC-ACCESS-CONGRESSIONAL-REPORT,2022-08-31,日,Economic Landscape of Federal Public Access Policy,开放获取政策的经济成本与科研传播机制,科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://bidenwhitehouse.archives.gov/ostp/news-updates/2022/08/31/economic-landscape-of-federal-public-access-policy/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2022/08/08-2022-OSTP-Public-Access-Congressional-Report.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2023-BOLD-GOALS-FOR-U-S-BIOTECHNOLOGY-AND-BIOMANUFACTURING-HARNESSING-RESEARCH-AND-DEVELOPMENT-TO-FURTHER-SOCIETAL-GOALS-FINAL,C-US-OSTP-2023-BOLD-GOALS-FOR-U-S-BIOTECHNOLOGY-AND-BIOMANUFACTURING-HARNESSING-RESEARCH-AND-DEVELOPMENT-TO-FURTHER-SOCIETAL-GOALS-FINAL,2023-03-01,月；以当月1日作排序占位，不代表实际发布日期,Bold Goals for U.S. Biotechnology and Biomanufacturing: Harnessing Research and Development to Further Societal Goals,生物技术从基础研究到生物制造的任务导向创新,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/03/Bold-Goals-for-U.S.-Biotechnology-and-Biomanufacturing-Harnessing-Research-and-Development-To-Further-Societal-Goals-FINAL.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2023-NATIONAL-ARTIFICIAL-INTELLIGENCE-RESEARCH-AND-DEVELOPMENT-STRATEGIC-PLAN-2023-UPDATE,C-US-OSTP-2023-NATIONAL-ARTIFICIAL-INTELLIGENCE-RESEARCH-AND-DEVELOPMENT-STRATEGIC-PLAN-2023-UPDATE,2023-05-01,月；以当月1日作排序占位，不代表实际发布日期,The National Artificial Intelligence Research and Development Strategic Plan: 2023 Update,国家AI研发战略更新与国际协作,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2023/05/National-Artificial-Intelligence-Research-and-Development-Strategic-Plan-2023-Update.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2024-2024-BIENNIAL-REPORT-TO-CONGRESS-ON-INTERNATIONAL-SCIENCE-TECHNOLOGY-COOPERATION,C-US-OSTP-2024-2024-BIENNIAL-REPORT-TO-CONGRESS-ON-INTERNATIONAL-SCIENCE-TECHNOLOGY-COOPERATION,2024-02-01,月；以当月1日作排序占位，不代表实际发布日期,Biennial Report to Congress on International Science & Technology Cooperation,国际科技合作、国内创新能力与关键技术协作,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；正文涉及中国并把国内创新投入与国际科技合作联系起来,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/02/2024-Biennial-Report-to-Congress-on-International-Science-Technology-Cooperation.pdf,Biden OSTP/NSTC官方归档,已进入科学外交、开放科研合作与中国参与机制定点全文；按官方全文、净文本和科技创新切片调用,静态核验官方入口,2026-08-22
C-US-OSTP-2024-NATIONAL-STRATEGY-ON-MICROELECTRONICS-RESEARCH-MARCH-2024,C-US-OSTP-2024-NATIONAL-STRATEGY-ON-MICROELECTRONICS-RESEARCH-MARCH-2024,2024-03-01,月；以当月1日作排序占位，不代表实际发布日期,National Strategy on Microelectronics Research,微电子基础研究、制造、人才与公私协同,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态,否；美国科技创新政策基线或节点样本,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/03/National-Strategy-on-Microelectronics-Research-March-2024.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2024-2024-QUADRENNIAL-SCIENCE-AND-TECHNOLOGY-REVIEW,C-US-OSTP-2024-2024-QUADRENNIAL-SCIENCE-AND-TECHNOLOGY-REVIEW,2024-10-01,月；以当月1日作排序占位，不代表实际发布日期,Quadrennial Science and Technology Review Report,美国科研事业、联邦研发与国家任务的综合审视,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较；中国科技横向维度,是；正文明确讨论中国科技竞争及其对美国研发体系的影响,https://bidenwhitehouse.archives.gov/ostp/,https://bidenwhitehouse.archives.gov/wp-content/uploads/2024/10/2024-Quadrennial-Science-and-Technology-Review.pdf,Biden OSTP/NSTC官方归档,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2025-OSTP-GUIDANCE-FOR-GSS-JUNE-2025,C-US-OSTP-2025-OSTP-GUIDANCE-FOR-GSS-JUNE-2025,2025-06-23,日,Agency Guidance for Implementing Gold Standard Science in the Conduct & Management of Scientific Activities,联邦科学活动的研究设计、同行评议、可重复性与公开传播规范,科学体系与基础研究；创新政策与研发治理；人才大学与科研组织；国际合作开放科学与比较,否；美国科技创新政策基线或节点样本,https://www.whitehouse.gov/ostp/information-resources/,https://www.whitehouse.gov/wp-content/uploads/2025/03/OSTP-Guidance-for-GSS-June-2025.pdf,2025—2026现行OSTP官方资源,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
C-US-OSTP-2026-WHOSTP-2025-WINS,C-US-OSTP-2026-WHOSTP-2025-WINS,2026-01-01,月；以1月1日作排序占位，不代表实际发布日期,Trump Administration Science & Technology Highlights: Year One,年度科技创新政策、任务导向研发与公私协同进展,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理；人才大学与科研组织；产业创新转化与区域生态；国际合作开放科学与比较,全球技术与创新政策背景；中国命题须回查正文,https://www.whitehouse.gov/ostp/information-resources/,https://www.whitehouse.gov/wp-content/uploads/2026/01/WHOSTP-2025-Wins.pdf,2025—2026现行OSTP官方资源,不自动下载；由科学技术创新主轴缺口、政策节点价值与中国关联触发,静态核验官方入口,2026-08-22
