报告ID,统一目录报告ID,发布日期,报告名称,摘要,官方主题,科学技术创新主题,中国关联,官方落地页,官方PDF入口,资料层级,全文策略,页面SHA256,采集日期
C-NESTA-2017-DIGITAL-CULTURE-2017-DANCE,C-NESTA-2017-DIGITAL-CULTURE-2017-DANCE,2017-09-27,Digital Culture 2017: Dance,Factsheet showing how the dance sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-dance/,https://www.nesta.org.uk/documents/578/dc2017_dance_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,844ffb69da0e18ec659649ac6eb65acc5e2e83082bddf50ba6003573e4282eb3,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-LITERATURE,C-NESTA-2017-DIGITAL-CULTURE-2017-LITERATURE,2017-09-27,Digital Culture 2017: Literature,Factsheet showing how the literature sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-literature/,https://www.nesta.org.uk/documents/579/dc2017_literature_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,903a86592fc2a558b1d71bffb060b0f4bb74dc611ff468fe5c8159b9bbd7ab47,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-MUSEUMS,C-NESTA-2017-DIGITAL-CULTURE-2017-MUSEUMS,2017-09-27,Digital Culture 2017: Museums,Factsheet showing how the museums sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-museums/,https://www.nesta.org.uk/documents/580/dc2017_museums_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,d71917125a95eb48b0261ae0db9556deb0d2345d389afe561b28728f27841f74,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-MUSIC,C-NESTA-2017-DIGITAL-CULTURE-2017-MUSIC,2017-09-27,Digital Culture 2017: Music,Factsheet showing how the music sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-music/,https://www.nesta.org.uk/documents/581/dc2017_music_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6caa5f0e0fec1c5aedfc24d4e9a0b3f3d5a1e0cb9692953464902600be9afaa6,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-NATIONAL-PORTFOLIO-ORGANISATIONS,C-NESTA-2017-DIGITAL-CULTURE-2017-NATIONAL-PORTFOLIO-ORGANISATIONS,2017-09-27,Digital Culture 2017: National Portfolio Organisations,Factsheet showing how Arts Council National Portfolio Organisations are using technology to support their work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-national-portfolio-organisations/,https://www.nesta.org.uk/documents/582/dc2017_npo_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,5df11f00a1adbd1dd3ee4265a95c61d197ff4c8c510803479de229fa67ad8e57,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-THEATRE,C-NESTA-2017-DIGITAL-CULTURE-2017-THEATRE,2017-09-27,Digital Culture 2017: Theatre,Factsheet showing how the theatre sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-theatre/,https://www.nesta.org.uk/documents/583/dc2017_theatre_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b2aafe746d951cf4e9516be2e96cd406748b8db5bbff965a40de52dc578a9350,2026-08-23
C-NESTA-2017-DIGITAL-CULTURE-2017-VISUAL-ARTS,C-NESTA-2017-DIGITAL-CULTURE-2017-VISUAL-ARTS,2017-09-27,Digital Culture 2017: Visual Arts,Factsheet showing how the visual arts sector is using technology to support its work.,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2017-visual-arts/,https://www.nesta.org.uk/documents/584/dc2017_visual_arts_factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,a421dfcb74f96cf20bb82b432d115b84ae995f804f6ae209dc252dd086e4b125,2026-08-23
C-NESTA-2017-A-WORKING-MODEL-FOR-ANTICIPATORY-REGULATION-A-WORKING-PAPER,C-NESTA-2017-A-WORKING-MODEL-FOR-ANTICIPATORY-REGULATION-A-WORKING-PAPER,2017-11-17,A working model for anticipatory regulation: A working paper,"The Government should incentivise and support UK regulators to test, experiment and adopt new methods for regulating emerging technologies",Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/a-working-model-for-anticipatory-regulation-a-working-paper/,https://www.nesta.org.uk/documents/952/working_model_for_anticipatory_regulation_0_TpDHt7z.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,78de6f8bdef625a3b2f37d5844cf56bb1e94ea8a678a4fafc0f32e61c758d2ab,2026-08-23
C-NESTA-2017-NESTA-RESPONSE-TO-BUILDING-OUR-INDUSTRIAL-STRATEGY-GREEN-PAPER-2017,C-NESTA-2017-NESTA-RESPONSE-TO-BUILDING-OUR-INDUSTRIAL-STRATEGY-GREEN-PAPER-2017,2017-11-20,Nesta response to 'Building our Industrial Strategy' green paper 2017,"Setting out our thoughts on each of the 10 'pillars' within the green paper with areas we think that need further work, and references to relevant Nesta research and policy ideas",Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/nesta-response-to-building-our-industrial-strategy-green-paper-2017/,https://www.nesta.org.uk/documents/595/nesta_response_to_industrial_strategy_green_paper_2017_1_1_0.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6e1d5f38bcb6aa4eb7502b91fe402011ea66ad05fdf5d3043d7bb18e067b6303,2026-08-23
C-NESTA-2018-DIGITAL-RD-FUND-FOR-THE-ARTS-PARTICIPANTS-TWO-YEARS-ON,C-NESTA-2018-DIGITAL-RD-FUND-FOR-THE-ARTS-PARTICIPANTS-TWO-YEARS-ON,2018-01-03,Digital R&D Fund for the Arts: Participants two years on,"This report is an evaluation of the participants of the Digital R&D Fund for the Arts, charting their ongoing work and perceptions in relation to technology",Creative economy & culture,科学体系与基础研究；技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-rd-fund-for-the-arts-participants-two-years-on/,https://www.nesta.org.uk/documents/596/digital_rd_fund_for_the_arts_-_two_years_on.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,e58ddb8069cb0b388a55714b0aaf7bf792f39360dc6019a137a3cdca3869bbfd,2026-08-23
C-NESTA-2018-SOCIAL-INNOVATION-POLICY-IN-EUROPE-WHERE-NEXT,C-NESTA-2018-SOCIAL-INNOVATION-POLICY-IN-EUROPE-WHERE-NEXT,2018-02-13,Social innovation policy in Europe: where next?,"‘Social innovation policy’ isn’t yet an established term, but there are examples from around the world of what policy can do to support social innovation. We map the field, with a particular focus on EU policy.",Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/social-innovation-policy-in-europe-where-next/,https://www.nesta.org.uk/documents/603/social_innovation_policy_in_europe_-_where_next.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,87a49cbbdd34550910fdc5718a6c1edc3d84150cebb21ed133694be19e07f7fe,2026-08-23
C-NESTA-2018-BIG-MIND-HOW-COLLECTIVE-INTELLIGENCE-CAN-CHANGE-OUR-WORLD,C-NESTA-2018-BIG-MIND-HOW-COLLECTIVE-INTELLIGENCE-CAN-CHANGE-OUR-WORLD,2018-02-23,Big Mind: How Collective Intelligence Can Change Our World,Nesta Chief Executive Geoff Mulgan's 'Big Mind' describes the emerging field of collective intelligence that’s been prompted by a wave of digital technologies that make it possible for organisations and societies to think at large scale,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/big-mind-how-collective-intelligence-can-change-our-world/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6173b28df21c90f431f7095135faa2b0473495ef197406b479ef2e49de36c30a,2026-08-23
C-NESTA-2018-OPEN-INNOVATION-IN-EUROPE-A-SNAPSHOT-OF-THE-SEP-EUROPES-CORPORATE-STARTU,C-NESTA-2018-OPEN-INNOVATION-IN-EUROPE-A-SNAPSHOT-OF-THE-SEP-EUROPES-CORPORATE-STARTU,2018-03-26,Open Innovation in Europe: A Snapshot of the SEP Europe’s Corporate Startup Stars 2017,"Based on data from around 30 of the most successful corporates in Europe, the report seeks to map out current practices in open innovation",Innovation policy,创新政策与研发治理；产业创新转化与区域生态,否,https://www.nesta.org.uk/report/open-innovation-in-europe-a-snapshot-of-the-sep-europes-corporate-startup-stars-2017/,https://www.nesta.org.uk/documents/608/open-innovation-in-europe_2017.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2d45af4a74dca3c8cd7396b0eb8ac52c7572f275a0e179a9a25b77f0d3e09449,2026-08-23
C-NESTA-2018-DELIVERING-DIGITAL-SKILLS,C-NESTA-2018-DELIVERING-DIGITAL-SKILLS,2018-04-25,Delivering digital skills,A guide to preparing the workforce for an inclusive digital economy,Innovation policy,技术创新与关键技术；创新政策与研发治理；人才大学与科研组织,否,https://www.nesta.org.uk/report/delivering-digital-skills/,https://www.nesta.org.uk/documents/680/Readie_Digital_Skills_booklet_online.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,0a57d772f88b6db07eb911392b1f5b65e309fbd82eab4b810bb4bf4d86a6226f,2026-08-23
C-NESTA-2018-CONFRONTING-DR-ROBOT,C-NESTA-2018-CONFRONTING-DR-ROBOT,2018-05-02,Confronting Dr Robot,,Health；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/confronting-dr-robot/,https://www.nesta.org.uk/documents/672/confronting_dr_robot.pdf；https://www.nesta.org.uk/documents/673/doctor_robot_summary.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,65b9091b1bfd41e79073a73eb727e0b8f0b6f107863f0baac4264eeb8b696460,2026-08-23
C-NESTA-2018-SOCIAL-IMPACT-PARTICIPATION-CULTURE-AND-SPORT,C-NESTA-2018-SOCIAL-IMPACT-PARTICIPATION-CULTURE-AND-SPORT,2018-06-22,The Social Impact of Participation in Culture and Sport,"Nesta submission to the Digital, Culture, Media and Sport Committee inquiry",Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/social-impact-participation-culture-and-sport/,https://www.nesta.org.uk/documents/797/DCMSC_inquiry_-_Nesta_submission.docx.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,05daea7059413084bf9065fe63fa91a6621fb85dabbb973ea6dd7de193ff0031,2026-08-23
C-NESTA-2018-FLYING-HIGH-CHALLENGE-FUTURE-OF-DRONE-TECHNOLOGY-IN-UK-CITIES,C-NESTA-2018-FLYING-HIGH-CHALLENGE-FUTURE-OF-DRONE-TECHNOLOGY-IN-UK-CITIES,2018-07-23,Flying High: The future of drone technology in UK cities,Read Flying High's report on the future of drone technology in UK cities,Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/flying-high-challenge-future-of-drone-technology-in-uk-cities/,https://www.nesta.org.uk/documents/866/Flying-High-executive-summary.pdf；https://www.nesta.org.uk/documents/873/Flying-High-full-report-and-appendices.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2dd3702ea8eaedb9ddcb0adbc3dddd8975b9a4de2f63c5ddadf25d880950d51d,2026-08-23
C-NESTA-2018-WHICH-DIGITAL-SKILLS-DO-YOU-REALLY-NEED,C-NESTA-2018-WHICH-DIGITAL-SKILLS-DO-YOU-REALLY-NEED,2018-07-31,Which digital skills do you really need?,Nesta's study of 41 million job adverts reveals not all digital skills will be equally valuable in the future and creativity is key,Innovation policy,技术创新与关键技术；创新政策与研发治理；人才大学与科研组织,否,https://www.nesta.org.uk/report/which-digital-skills-do-you-really-need/,https://www.nesta.org.uk/documents/874/Which_digital_skills_do_you_really_need.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,881087eb7712da89770dccbedad2de92151171b5b829a31be1c36488702f0898,2026-08-23
C-NESTA-2018-SCIENCE-OF-USING-SCIENCE-LEARNING-REPORT,C-NESTA-2018-SCIENCE-OF-USING-SCIENCE-LEARNING-REPORT,2018-11-07,Science of Using Science Learning Report,,,科学体系与基础研究,否,https://www.nesta.org.uk/report/science-of-using-science-learning-report/,https://www.nesta.org.uk/documents/2378/Alliance-Science-of-using-Science-Learning-Report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b8db5d38843ba89c346215c45eb7bd2fa4494ac07a59d385893b19f3b1283c80,2026-08-23
C-NESTA-2018-DESIGNING-INCLUSIVE-SKILLS-POLICY,C-NESTA-2018-DESIGNING-INCLUSIVE-SKILLS-POLICY,2018-11-13,Digital Frontrunners: Designing inclusive skills policy for the digital age,A blueprint and guide that policymakers and other stakeholders can use to design inclusive skills policies for the digital age.,Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/designing-inclusive-skills-policy/,https://www.nesta.org.uk/documents/1016/Digital_Frontrunners_Web.pdf；https://www.nesta.org.uk/documents/1017/Supplementary_appendix_Digital_Frontrunners.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,9eef70a8a13d674b93396e0f72b062735a06e2d45287808c1695defa17c9658f,2026-08-23
C-NESTA-2018-HOW-INCLUSIVE-INNOVATION-POLICY,C-NESTA-2018-HOW-INCLUSIVE-INNOVATION-POLICY,2018-11-23,How inclusive is innovation policy?,,Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/how-inclusive-innovation-policy/,https://www.nesta.org.uk/documents/1031/How_inclusive_is_innovation_policy__Insights_from_an_international_comparison_v3.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,d126951a5325005c6d17fe20629036dd37ac6a614b91719563c961a86592b890,2026-08-23
C-NESTA-2019-STREET-STYLE-MACHINE-LEARNING-TAKES-STREETS,C-NESTA-2019-STREET-STYLE-MACHINE-LEARNING-TAKES-STREETS,2019-02-06,Street style: machine learning takes to the streets,,Creative economy & culture；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/street-style-machine-learning-takes-streets/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b7e4567a0fb2150978d114c8ec9e6b4d11bac463d3036f63d2d9de55e3a8faa8,2026-08-23
C-NESTA-2019-EDUCATION-REBOOTED,C-NESTA-2019-EDUCATION-REBOOTED,2019-02-25,Educ-AI-tion rebooted? Exploring the future of artificial intelligence in schools and colleges,"This report outlines the potential of AI tools in schools and colleges, and charts a path for the future that maximises the benefits and minimises the risks.",Education；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/education-rebooted/,https://www.nesta.org.uk/documents/1190/Future_of_AI_and_education_v5_WEB.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,3e4ffbc95815af37530a71571669752119147a994c338455bb412cc9e510f2ba,2026-08-23
C-NESTA-2019-RENEWING-REGULATION-ANTICIPATORY-REGULATION-IN-AN-AGE-OF-DISRUPTION,C-NESTA-2019-RENEWING-REGULATION-ANTICIPATORY-REGULATION-IN-AN-AGE-OF-DISRUPTION,2019-03-06,Renewing Regulation: ‘anticipatory regulation’ in an age of disruption,"This report explores how regulators can adapt to secure the benefits of technological innovation while managing the risks, an approach we call anticipatory regulation",Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/renewing-regulation-anticipatory-regulation-in-an-age-of-disruption/,https://www.nesta.org.uk/documents/1201/Renewing_regulation_v3.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,a9210fe5f4994316fb4cb990363631b5a93701e7454e68a1e55f396f281fd314,2026-08-23
C-NESTA-2019-PATHS-TO-SCALE,C-NESTA-2019-PATHS-TO-SCALE,2019-03-12,Paths to Scale: Finance lessons from European entrepreneurs,"Educational and inspirational stories from European entrepreneurs about the growth of their startup, with practical guidance about financing options available to entrepreneurs in Europe.",Innovation policy,创新政策与研发治理；产业创新转化与区域生态,否,https://www.nesta.org.uk/report/paths-to-scale/,https://www.nesta.org.uk/documents/1328/Nesta_Scaling_Stories_Update_Web.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6cfada38de67af3edd042e129119b8d5aa2b08007484a13b75692f892d2b2c82,2026-08-23
C-NESTA-2019-DIGITAL-SOCIAL-INNOVATION-IDEAS-BANK,C-NESTA-2019-DIGITAL-SOCIAL-INNOVATION-IDEAS-BANK,2019-06-18,Digital Social Innovation Ideas Bank,,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/digital-social-innovation-ideas-bank/,https://www.nesta.org.uk/documents/1324/DSI_Ideas_Bank_web_version.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,0b62907c3f0a2839a55775f919c501178599f9877eed4975524e0c77604cf6cc,2026-08-23
C-NESTA-2019-EUROPEAN-DIGITAL-SOCIAL-INNOVATION-INDEX-METHODOLOGY,C-NESTA-2019-EUROPEAN-DIGITAL-SOCIAL-INNOVATION-INDEX-METHODOLOGY,2019-06-18,The European Digital Social Innovation Index Construction Methodology,,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/european-digital-social-innovation-index-methodology/,https://www.nesta.org.uk/documents/1323/European_Digital_Social_Innovation_Index_Construction_Methodology.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,08c61daaab196cda1173d26f3646fb58acf820a83338e5e9635189a6bd437f50,2026-08-23
C-NESTA-2019-SMARTER-SELECT-COMMITTEES,C-NESTA-2019-SMARTER-SELECT-COMMITTEES,2019-06-20,Smarter Select Committees,"This report outlines how digital tools and methods can help select committees restore public trust in democracy, reinvigorate public engagement in Parliament and enhance the work of committees themselves.",Government innovation,技术创新与关键技术,否,https://www.nesta.org.uk/report/smarter-select-committees/,https://www.nesta.org.uk/documents/1332/2019_6_20_nesta_TFoPI_180x260_online_final.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,250dfbcdbbeb64f5fd69bb6be807d4acf07592e9e859d3d4f8b8a44938542add,2026-08-23
C-NESTA-2019-CARDS-FOR-THE-FUTURE,C-NESTA-2019-CARDS-FOR-THE-FUTURE,2019-06-24,Cards for the Future,"The print-and-play edition of 'Cards for the Future', a card game developed by DSI4EU exploring the future of technology and society.",Government innovation,技术创新与关键技术,否,https://www.nesta.org.uk/report/cards-for-the-future/,https://www.nesta.org.uk/documents/1340/Cards_for_the_future_Print_and_play.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,d4bdaf7799473d4fd7cc8a131f0588dcf691deb6c62d27876c8c6b42964bb2d9,2026-08-23
C-NESTA-2019-OUR-TECH-OUR-FUTURE,C-NESTA-2019-OUR-TECH-OUR-FUTURE,2019-06-24,"Our Tech, Our Future",A report that pulls together a collection of stories exploring how we might be using technology for good in the year 2030.,Government innovation；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/our-tech-our-future/,https://www.nesta.org.uk/documents/1394/Our_Tech_Our_Future_report_Web_5.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b519067c882b25e072849dbf54490d5a976275cc840fc26686deceafc275f1de,2026-08-23
C-NESTA-2019-UNDERSTANDING-INNOVATION-POLICYMAKERS-AROUND-WORLD,C-NESTA-2019-UNDERSTANDING-INNOVATION-POLICYMAKERS-AROUND-WORLD,2019-07-02,Understanding Innovation Policymakers in India,An introduction to Global Innovation Policy Accelerator's country analyses.,Innovation policy,创新政策与研发治理；国际合作开放科学与比较,否,https://www.nesta.org.uk/report/understanding-innovation-policymakers-around-world/,https://media.nesta.org.uk/documents/the_impact_and_effectiveness_of_policies_to_support_collaboration_for_rd_and_innovation.pdf；https://www.nesta.org.uk/documents/1387/India_Revised.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,7822157b3298df90da22e27e933267fe61405ba1d61d50d40090914d4bdb23bf,2026-08-23
C-NESTA-2019-MAKING-MOST-TECHNOLOGY-EDUCATION,C-NESTA-2019-MAKING-MOST-TECHNOLOGY-EDUCATION,2019-07-04,Making the Most of Technology in Education,This report draws together lessons from nine international examples of inspiring practice where technology is impacting on large numbers of teachers and learners.,Education,技术创新与关键技术,否,https://www.nesta.org.uk/report/making-most-technology-education/,https://www.nesta.org.uk/documents/1392/Making_the_Most_of_Technology_in_Education_03-07-19.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,7c372d9c3120a352b8989e79d888ff8692b827d318d8abdc51029489fd351798,2026-08-23
C-NESTA-2019-GENDER-DIVERSITY-AI,C-NESTA-2019-GENDER-DIVERSITY-AI,2019-07-17,Gender Diversity in AI Research,"Lack of gender diversity in the artificial intelligence workforce is raising growing concerns. Our analysis shows that there is a gender diversity gap in AI research, in a larger and more comprehensive corpus than those which have been used to study this important issue before.",Education；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/gender-diversity-ai/,https://www.nesta.org.uk/documents/1400/Gender_Diversity_in_AI_Research.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,0e692e9bd3ba3f5af762668835542fb627fdc64593847579916057d04ca6c0c9,2026-08-23
C-NESTA-2019-PEOPLES-PRESS-MAGAZINE,C-NESTA-2019-PEOPLES-PRESS-MAGAZINE,2019-07-26,People’s Press: A magazine exploring the use of tech for good in 2030,"We believe that the future isn’t something that happens to us, but something we can actively shape. This fictional neighbourhood magazine provides a positive vision for how people might use technology to tackle social and environmental challenges in 2030.",Government innovation；Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/peoples-press-magazine/,https://www.nesta.org.uk/documents/1425/Peoples_press_magazine-_Nesta_web.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b74a64fa9be42cc50b30dbc54379b2aca699469555cab8ba55b8bc50068a9cec,2026-08-23
C-NESTA-2019-INVISIBLE-DRAG-CORPORATE-INCENTIVES,C-NESTA-2019-INVISIBLE-DRAG-CORPORATE-INCENTIVES,2019-08-07,The Invisible Drag on UK R&D: How corporate incentives within the FTSE 350 inhibit innovation,This study of incentives for FTSE 350 executives suggests that remuneration packages are dominated by measures that inhibit corporate innovation.,Innovation policy,科学体系与基础研究；创新政策与研发治理,否,https://www.nesta.org.uk/report/invisible-drag-corporate-incentives/,https://www.nesta.org.uk/documents/1485/The_invisible_drag_on_UK_RD_22.08.2019.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,63126d5e9f535bf0882e34291d50c5ef830d08638b76eae7d38d0430bff7324a,2026-08-23
C-NESTA-2019-WHAT-MOTIVATES-ADULTS-LEARN,C-NESTA-2019-WHAT-MOTIVATES-ADULTS-LEARN,2019-08-22,What Motivates Adults to Learn?,A review of existing evidence to identify what motivates working adults to learn digital and digital-complementary skills.,Education；Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/what-motivates-adults-learn/,https://www.nesta.org.uk/documents/1486/Digital_Frontrunners_Motivation_to_Learn_report_final_published.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,feae6c44d5a47f58989e8dfddd033da0e06e5a88e8fdc52b8665b8afe79f0bdb,2026-08-23
C-NESTA-2019-BRIEF-INTRODUCTION-DIGITAL-TRANSFORMATION,C-NESTA-2019-BRIEF-INTRODUCTION-DIGITAL-TRANSFORMATION,2019-09-17,A Brief Introduction to Digital Transformation,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/brief-introduction-digital-transformation/,https://www.nesta.org.uk/documents/1519/A_Brief_Introduction_to_Digital_Government_v5.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,cfe136afb24d40427783dd7f0d1a4f7e81ea40e29bbd2b8225e31cd2693c498c,2026-08-23
C-NESTA-2019-CREATING-EFFECTIVE-PARTNERSHIPS,C-NESTA-2019-CREATING-EFFECTIVE-PARTNERSHIPS,2019-10-01,Creating Effective Partnerships to Support Financial Inclusion,"Technology can unlock further, much needed, support for people in our community who are struggling to get by, but it needs to be targetted in the right place. We believe that partnerships can be part of the solution to support those financially excluded in UK society.",,技术创新与关键技术,否,https://www.nesta.org.uk/report/creating-effective-partnerships/,https://www.nesta.org.uk/documents/1569/Creating_Effective_Partnerships_to_Support_Financial_Inclusion.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,609d594dcc2d6faaa67f0f1f9002f8eb728957e254ab0ba75614966a77f5f0f6,2026-08-23
C-NESTA-2019-ANNUAL-REPORT-2019,C-NESTA-2019-ANNUAL-REPORT-2019,2019-10-04,Annual Report and Accounts 2018–19,Our Annual Report and Accounts celebrates the many ideas and initiatives Nesta has supported: from some of the UK’s first driverless cars to new models of theatre; from community action on climate change to technology in education.,,技术创新与关键技术,否,https://www.nesta.org.uk/report/annual-report-2019/,https://www.nesta.org.uk/documents/1570/Nesta_Annual_Report_2018-19.pdf；https://www.nesta.org.uk/documents/1573/Nesta_Annual_Report_2018-19_cH8yOZ0.pdf；https://www.nesta.org.uk/documents/1647/Protector_Annual_Report_YR18-19.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,7da1e1fbf8f6278acec96eb124b1c472d8a19b530d213d3e9b410d65b621233c,2026-08-23
C-NESTA-2019-BECOMING-FUTUREFIT,C-NESTA-2019-BECOMING-FUTUREFIT,2019-10-18,Becoming FutureFit,"With the labour market changing rapidly as technology impacts workers, building a strong evidence base for adult learning is essential.",Education；Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/becoming-futurefit/,https://www.nesta.org.uk/documents/1604/FF_adult_learning_report.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2ba566c601867afc8b46e4fae58938987559f4716924e2223f0a8b96ca4f9233,2026-08-23
