主题标签,中国关联层级,科技关联层级,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
技术供应链与出口管制,直接涉华科技,核心科技直接材料,C-NBR-B5D8F97B99,2021-03-08,W2,NBR访谈,"Biopharmaceutical Innovation China, India, and Supply Chain Security",作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,https://www.nbr.org/publication/biopharmaceutical-innovation-china-india-and-supply-chain-security/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-B5D8F97B99,2021-03-08,W2,NBR访谈,"Biopharmaceutical Innovation China, India, and Supply Chain Security",作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,https://www.nbr.org/publication/biopharmaceutical-innovation-china-india-and-supply-chain-security/
生物、量子及其他前沿技术,直接涉华科技,核心科技直接材料,C-NBR-B5D8F97B99,2021-03-08,W2,NBR访谈,"Biopharmaceutical Innovation China, India, and Supply Chain Security",作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B5D8F97B99.txt,https://www.nbr.org/publication/biopharmaceutical-innovation-china-india-and-supply-chain-security/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-69E1F7B277,2021-04-06,W2,NBR评论,Prospects for U.S. Trade Engagement in the Indo-Pacific and Options for the Biden Administration,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,https://www.nbr.org/publication/prospects-for-u-s-trade-engagement-in-the-indo-pacific-and-options-for-the-biden-administration/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-69E1F7B277,2021-04-06,W2,NBR评论,Prospects for U.S. Trade Engagement in the Indo-Pacific and Options for the Biden Administration,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,https://www.nbr.org/publication/prospects-for-u-s-trade-engagement-in-the-indo-pacific-and-options-for-the-biden-administration/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-69E1F7B277,2021-04-06,W2,NBR评论,Prospects for U.S. Trade Engagement in the Indo-Pacific and Options for the Biden Administration,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-69E1F7B277.txt,https://www.nbr.org/publication/prospects-for-u-s-trade-engagement-in-the-indo-pacific-and-options-for-the-biden-administration/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-5D6D4FC2DD,2021-04-13,W2,NBR访谈,India's Economic Future Charting a Course toward Renewed Growth,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,https://www.nbr.org/publication/indias-economic-future-charting-a-course-toward-renewed-growth/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-5D6D4FC2DD,2021-04-13,W2,NBR访谈,India's Economic Future Charting a Course toward Renewed Growth,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,https://www.nbr.org/publication/indias-economic-future-charting-a-course-toward-renewed-growth/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-5D6D4FC2DD,2021-04-13,W2,NBR访谈,India's Economic Future Charting a Course toward Renewed Growth,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-5D6D4FC2DD.txt,https://www.nbr.org/publication/indias-economic-future-charting-a-course-toward-renewed-growth/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-E1B61B8318,2021-04-16,W2,NBR评论,The Biden Administration’s Trade Policy and U.S. Relations with Southeast Asia,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,https://www.nbr.org/publication/the-biden-administrations-trade-policy-and-u-s-relations-with-southeast-asia/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-E1B61B8318,2021-04-16,W2,NBR评论,The Biden Administration’s Trade Policy and U.S. Relations with Southeast Asia,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,https://www.nbr.org/publication/the-biden-administrations-trade-policy-and-u-s-relations-with-southeast-asia/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-E1B61B8318,2021-04-16,W2,NBR评论,The Biden Administration’s Trade Policy and U.S. Relations with Southeast Asia,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1B61B8318.txt,https://www.nbr.org/publication/the-biden-administrations-trade-policy-and-u-s-relations-with-southeast-asia/
网络安全与数字治理,直接涉华科技,科技地缘经济基线,C-NBR-C2EF867EC9,2021-04-22,W2,NBR评论,Where Will Trade with China Go from Here? The Biden Administration and China,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,https://www.nbr.org/publication/where-will-trade-with-china-go-from-here-the-biden-administration-and-china/
技术供应链与出口管制,直接涉华科技,科技地缘经济基线,C-NBR-C2EF867EC9,2021-04-22,W2,NBR评论,Where Will Trade with China Go from Here? The Biden Administration and China,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,https://www.nbr.org/publication/where-will-trade-with-china-go-from-here-the-biden-administration-and-china/
创新体系、标准与知识产权,直接涉华科技,科技地缘经济基线,C-NBR-C2EF867EC9,2021-04-22,W2,NBR评论,Where Will Trade with China Go from Here? The Biden Administration and China,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-C2EF867EC9.txt,https://www.nbr.org/publication/where-will-trade-with-china-go-from-here-the-biden-administration-and-china/
人工智能、芯片与算力,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-9B06F7C381,2021-05-06,W2,NBR评论,Carrying the Torch of Free Trade in the Indo-Pacific Japan’s Challenging Role,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,https://www.nbr.org/publication/carrying-the-torch-of-free-trade-in-the-indo-pacific-japans-challenging-role/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-9B06F7C381,2021-05-06,W2,NBR评论,Carrying the Torch of Free Trade in the Indo-Pacific Japan’s Challenging Role,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,https://www.nbr.org/publication/carrying-the-torch-of-free-trade-in-the-indo-pacific-japans-challenging-role/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-9B06F7C381,2021-05-06,W2,NBR评论,Carrying the Torch of Free Trade in the Indo-Pacific Japan’s Challenging Role,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,https://www.nbr.org/publication/carrying-the-torch-of-free-trade-in-the-indo-pacific-japans-challenging-role/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-9B06F7C381,2021-05-06,W2,NBR评论,Carrying the Torch of Free Trade in the Indo-Pacific Japan’s Challenging Role,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-9B06F7C381.txt,https://www.nbr.org/publication/carrying-the-torch-of-free-trade-in-the-indo-pacific-japans-challenging-role/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-DF5CBBADC6,2021-09-11,W2,NBR评论,Japan’s Connectivity Initiatives in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,https://www.nbr.org/publication/japans-connectivity-initiatives-in-the-indo-pacific/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-DF5CBBADC6,2021-09-11,W2,NBR评论,Japan’s Connectivity Initiatives in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,https://www.nbr.org/publication/japans-connectivity-initiatives-in-the-indo-pacific/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-DF5CBBADC6,2021-09-11,W2,NBR评论,Japan’s Connectivity Initiatives in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DF5CBBADC6.txt,https://www.nbr.org/publication/japans-connectivity-initiatives-in-the-indo-pacific/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-614FB81244,2021-09-24,W2,NBR评论,U.S. Economic Statecraft 2.0 for Resilient Supply Chains in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,https://www.nbr.org/publication/u-s-economic-statecraft-2-0-for-resilient-supply-chains-in-the-indo-pacific/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-614FB81244,2021-09-24,W2,NBR评论,U.S. Economic Statecraft 2.0 for Resilient Supply Chains in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,https://www.nbr.org/publication/u-s-economic-statecraft-2-0-for-resilient-supply-chains-in-the-indo-pacific/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-614FB81244,2021-09-24,W2,NBR评论,U.S. Economic Statecraft 2.0 for Resilient Supply Chains in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,https://www.nbr.org/publication/u-s-economic-statecraft-2-0-for-resilient-supply-chains-in-the-indo-pacific/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-614FB81244,2021-09-24,W2,NBR评论,U.S. Economic Statecraft 2.0 for Resilient Supply Chains in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-614FB81244.txt,https://www.nbr.org/publication/u-s-economic-statecraft-2-0-for-resilient-supply-chains-in-the-indo-pacific/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-2FB0C4C25D,2021-10-12,W2,NBR评论,India’s Vision for Indo-Pacific Trade,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2FB0C4C25D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2FB0C4C25D.txt,https://www.nbr.org/publication/indias-vision-for-indo-pacific-trade/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-2FB0C4C25D,2021-10-12,W2,NBR评论,India’s Vision for Indo-Pacific Trade,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2FB0C4C25D.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-2FB0C4C25D.txt,https://www.nbr.org/publication/indias-vision-for-indo-pacific-trade/
技术地缘经济与区域合作,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-647692A385,2021-11-06,W2,NBR评论,How Indonesia Sees the Indo-Pacific Economic Architecture,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-647692A385.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-647692A385.txt,https://www.nbr.org/publication/how-indonesia-sees-the-indo-pacific-economic-architecture/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-1ADDCF68F3,2021-12-07,W2,NBR研究报告,Guardians of Intellectual Property in the 21st Century The Global Supply Chain Industry,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,https://www.nbr.org/publication/guardians-of-intellectual-property-in-the-21st-century-the-global-supply-chain-industry/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-1ADDCF68F3,2021-12-07,W2,NBR研究报告,Guardians of Intellectual Property in the 21st Century The Global Supply Chain Industry,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,https://www.nbr.org/publication/guardians-of-intellectual-property-in-the-21st-century-the-global-supply-chain-industry/
技术供应链与出口管制,区域技术基线,核心科技直接材料,C-NBR-1ADDCF68F3,2021-12-07,W2,NBR研究报告,Guardians of Intellectual Property in the 21st Century The Global Supply Chain Industry,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,https://www.nbr.org/publication/guardians-of-intellectual-property-in-the-21st-century-the-global-supply-chain-industry/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-1ADDCF68F3,2021-12-07,W2,NBR研究报告,Guardians of Intellectual Property in the 21st Century The Global Supply Chain Industry,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-1ADDCF68F3.txt,https://www.nbr.org/publication/guardians-of-intellectual-property-in-the-21st-century-the-global-supply-chain-industry/
人工智能、芯片与算力,直接涉华科技,核心科技直接材料,C-NBR-DE39187716,2022-03-01,W3,NBR研究报告,China’s Digital Ambitions A Global Strategy to Supplant the Liberal Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-DE39187716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-DE39187716.txt,https://www.nbr.org/publication/chinas-digital-ambitions-a-global-strategy-to-supplant-the-liberal-order/
网络安全与数字治理,直接涉华科技,核心科技直接材料,C-NBR-DE39187716,2022-03-01,W3,NBR研究报告,China’s Digital Ambitions A Global Strategy to Supplant the Liberal Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-DE39187716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-DE39187716.txt,https://www.nbr.org/publication/chinas-digital-ambitions-a-global-strategy-to-supplant-the-liberal-order/
技术供应链与出口管制,直接涉华科技,核心科技直接材料,C-NBR-DE39187716,2022-03-01,W3,NBR研究报告,China’s Digital Ambitions A Global Strategy to Supplant the Liberal Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-DE39187716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-DE39187716.txt,https://www.nbr.org/publication/chinas-digital-ambitions-a-global-strategy-to-supplant-the-liberal-order/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-DE39187716,2022-03-01,W3,NBR研究报告,China’s Digital Ambitions A Global Strategy to Supplant the Liberal Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-DE39187716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-DE39187716.txt,https://www.nbr.org/publication/chinas-digital-ambitions-a-global-strategy-to-supplant-the-liberal-order/
生物、量子及其他前沿技术,直接涉华科技,核心科技直接材料,C-NBR-DE39187716,2022-03-01,W3,NBR研究报告,China’s Digital Ambitions A Global Strategy to Supplant the Liberal Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-DE39187716.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-DE39187716.txt,https://www.nbr.org/publication/chinas-digital-ambitions-a-global-strategy-to-supplant-the-liberal-order/
人工智能、芯片与算力,直接涉华科技,核心科技直接材料,C-NBR-4471D2BA28,2022-12-12,W3,NBR访谈,U.S. Semiconductor Export Controls on the PRC Prospects for Success,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,https://www.nbr.org/publication/u-s-semiconductor-export-controls-on-the-prc-prospects-for-success/
技术供应链与出口管制,直接涉华科技,核心科技直接材料,C-NBR-4471D2BA28,2022-12-12,W3,NBR访谈,U.S. Semiconductor Export Controls on the PRC Prospects for Success,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,https://www.nbr.org/publication/u-s-semiconductor-export-controls-on-the-prc-prospects-for-success/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-4471D2BA28,2022-12-12,W3,NBR访谈,U.S. Semiconductor Export Controls on the PRC Prospects for Success,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-4471D2BA28.txt,https://www.nbr.org/publication/u-s-semiconductor-export-controls-on-the-prc-prospects-for-success/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-446E085D08,2023-01-10,W3,NBR评论,Japan’s Role and Strategy in the Formation of Digital Trade Rules in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,https://www.nbr.org/publication/japans-role-and-strategy-in-the-formation-of-digital-trade-rules-in-the-indo-pacific/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-446E085D08,2023-01-10,W3,NBR评论,Japan’s Role and Strategy in the Formation of Digital Trade Rules in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,https://www.nbr.org/publication/japans-role-and-strategy-in-the-formation-of-digital-trade-rules-in-the-indo-pacific/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-446E085D08,2023-01-10,W3,NBR评论,Japan’s Role and Strategy in the Formation of Digital Trade Rules in the Indo-Pacific,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-446E085D08.txt,https://www.nbr.org/publication/japans-role-and-strategy-in-the-formation-of-digital-trade-rules-in-the-indo-pacific/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-59455867FD,2023-03-07,W3,NBR评论,Overcoming Japan’s Uphill Battle Toward Digital Transformation,作者评论或论文,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-59455867FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-59455867FD.txt,https://www.nbr.org/publication/overcoming-japans-uphill-battle-toward-digital-transformation/
