报告ID,统一目录报告ID,发布日期,报告名称,官方内容类型,官方子类型,作者,科技创新相关度,中国直接信号,官方落地页,页面摘要,资料层级,全文策略,采集日期
C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION,C-CSIS-RAI-2022-WHAT-CAN-PATENT-DATA-REVEAL-ABOUT-US-CHINA-TECHNOLOGY-COMPETITION,2022-09-19,What Can Patent Data Reveal about U.S.-China Technology Competition?,Article,Critical Questions,"Alexander Kersten, Gabrielle Athanasia, and Gregory Arcuri",核心,是,https://www.csis.org/analysis/what-can-patent-data-reveal-about-us-china-technology-competition,"In seeking ways to gauge the U.S.-China technological competition, policymakers and media often turn to data on patent filings. Prudent use of this data requires a closer look at what the data can and cannot say.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2022-RESHORING-SEMICONDUCTOR-MANUFACTURING-ADDRESSING-WORKFORCE-CHALLENGE,C-CSIS-RAI-2022-RESHORING-SEMICONDUCTOR-MANUFACTURING-ADDRESSING-WORKFORCE-CHALLENGE,2022-10-06,Reshoring Semiconductor Manufacturing: Addressing the Workforce Challenge,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/reshoring-semiconductor-manufacturing-addressing-workforce-challenge,"Despite new investment in domestic chip-making, chip makers encounter a shortage of construction workers to build new facilities and a lack of qualified workers to run them. This report discusses increasing development of U.S. talent toward semiconductor chip production.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-MOORES-LAW-AND-ITS-PRACTICAL-IMPLICATIONS,C-CSIS-RAI-2022-MOORES-LAW-AND-ITS-PRACTICAL-IMPLICATIONS,2022-10-18,Moore’s Law and Its Practical Implications,Article,Critical Questions,Gregory Arcuri and Sujai Shivakumar,核心,否,https://www.csis.org/analysis/moores-law-and-its-practical-implications,"With competition for leadership in the semiconductor industry heating up, an understanding of the economic and policy significance of Moore’s Law is critical to supporting policies that advance the international competitiveness of the United States.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-ADDRESSING-GENDER-IMBALANCE-VENTURE-CAPITAL-AND-ENTREPRENEURSHIP,C-CSIS-RAI-2022-ADDRESSING-GENDER-IMBALANCE-VENTURE-CAPITAL-AND-ENTREPRENEURSHIP,2022-10-20,Addressing the Gender Imbalance in Venture Capital and Entrepreneurship,Article,Commentary,Alexander Kersten and Gabrielle Athanasia,支撑,否,https://www.csis.org/analysis/addressing-gender-imbalance-venture-capital-and-entrepreneurship,"The diversity of venture capital and entrepreneurship is an issue of global competitiveness, yet women are still starkly underrepresented among entrepreneurs today.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-MANUFACTURING-AND-WORKFORCE,C-CSIS-RAI-2022-MANUFACTURING-AND-WORKFORCE,2022-10-25,Manufacturing and Workforce,Article,Commentary,Sujai Shivakumar,核心,是,https://www.csis.org/analysis/manufacturing-and-workforce,"The Chinese government, and their agenda to steal competitors’ intellectual property, poses a significant long-term threat to the economic and national security of the United States",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-CHINAS-ALLY-STEALING-WESTERN-IP-UNITED-STATES,C-CSIS-RAI-2022-CHINAS-ALLY-STEALING-WESTERN-IP-UNITED-STATES,2022-10-26,China's Ally in Stealing Western IP: The United States,Article,Commentary,Walter G. Copan,核心,是,https://www.csis.org/analysis/chinas-ally-stealing-western-ip-united-states,"The Chinese government's agenda to steal competitors’ intellectual property, poses a significant long-term threat to the economic and national security of the United States.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-SEISMIC-SHIFT-NEW-US-SEMICONDUCTOR-EXPORT-CONTROLS-AND-IMPLICATIONS-US-FIRMS-ALLIES-AND,C-CSIS-RAI-2022-SEISMIC-SHIFT-NEW-US-SEMICONDUCTOR-EXPORT-CONTROLS-AND-IMPLICATIONS-US-FIRMS-ALLIES-AND,2022-11-14,"A Seismic Shift: The New U.S. Semiconductor Export Controls and the Implications for U.S. Firms, Allies, and the Innovation Ecosystem",Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/seismic-shift-new-us-semiconductor-export-controls-and-implications-us-firms-allies-and,The recent announcement from the Department of Commerce’s Bureau of Industry and Security is the most expansive export control action in decades.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-SPURRING-REGIONAL-AND-INCLUSIVE-INNOVATION-DISCUSSION-EDA-ASST-SEC-ALEJANDRA-CASTILLO,C-CSIS-RAI-2022-SPURRING-REGIONAL-AND-INCLUSIVE-INNOVATION-DISCUSSION-EDA-ASST-SEC-ALEJANDRA-CASTILLO,2022-11-18,Spurring Regional and Inclusive Innovation: A Discussion with EDA Asst. Sec. Alejandra Castillo,Article,Transcript,,核心,否,https://www.csis.org/analysis/spurring-regional-and-inclusive-innovation-discussion-eda-asst-sec-alejandra-castillo,"The current Assistant Secretary of Commerce for Economic Development, Alejandra Castillo, sat down for a fireside chat with CSIS senior advisor Tom Guevara, who formerly headed the EDA and now leads the Public Policy Institute at Indiana University.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-PROTECT-VALUE-AMERICAN-INVENTION,C-CSIS-RAI-2022-PROTECT-VALUE-AMERICAN-INVENTION,2022-11-30,Protect the Value of American Invention,Article,Commentary,Andrei Iancu and David J. Kappos,核心,是,https://www.csis.org/analysis/protect-value-american-invention,"The United States is the world’s most innovative country, but China aims to out-innovate it in the most critical technologies of the future.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT,C-CSIS-RAI-2022-CHINA-INNOVATION-CHALLENGE-CONVERSATION-PROFESSOR-JONATHAN-BARNETT,2022-12-09,The China Innovation Challenge: A Conversation with Professor Jonathan Barnett,Article,Transcript,Sujai Shivakumar and Andrei Iancu,核心,是,https://www.csis.org/analysis/china-innovation-challenge-conversation-professor-jonathan-barnett,"CSIS held RAI Project on December 9th, 2022 at 10am ET for a virtual discussion with Professor Jonathan Barnett, USC Gould School of Law.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2022-PROMOTING-AND-INVESTING-SMALL-AMERICAN-MANUFACTURERS,C-CSIS-RAI-2022-PROMOTING-AND-INVESTING-SMALL-AMERICAN-MANUFACTURERS,2022-12-13,Promoting and Investing in Small American Manufacturers,Article,Congressional Testimony,Sujai Shivakumar,语境,否,https://www.csis.org/analysis/promoting-and-investing-small-american-manufacturers,"Sujai Shivakumar testified before the Senate Commerce Subcommittee on Oceans, Fisheries, Climate Change and Manufacturing about the role of small and medium sized enterprises (SMEs) in advancing domestic manufacturing.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-TOWARD-NEW-MULTILATERAL-EXPORT-CONTROL-REGIME,C-CSIS-RAI-2023-TOWARD-NEW-MULTILATERAL-EXPORT-CONTROL-REGIME,2023-01-10,Toward a New Multilateral Export Control Regime,Article,Commentary,"Sujai Shivakumar, Charles Wessner, and Hideki Tomoshige",核心,是,https://www.csis.org/analysis/toward-new-multilateral-export-control-regime,Halting Chinese progress in achieving advanced semiconductor capabilities calls for moving past the limitations of the Wassenaar Arrangement.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-STRONGER-TECH-EUROPE-MUST-SPEND-MORE-DEFENSE-AND-RESEARCH,C-CSIS-RAI-2023-STRONGER-TECH-EUROPE-MUST-SPEND-MORE-DEFENSE-AND-RESEARCH,2023-03-03,"For Stronger Tech, Europe Must Spend More on Defense and Research",Article,Commentary,Charles Wessner,核心,否,https://www.csis.org/analysis/stronger-tech-europe-must-spend-more-defense-and-research,The European Union’s push for strategic autonomy overlooks its longtime underinvestment in military and civilian research and development and the need for broad market reforms.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-STRATEGIC-IMPORTANCE-LEGACY-CHIPS,C-CSIS-RAI-2023-STRATEGIC-IMPORTANCE-LEGACY-CHIPS,2023-03-03,The Strategic Importance of Legacy Chips,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",语境,否,https://www.csis.org/analysis/strategic-importance-legacy-chips,"While policymakers in the United States commit to strengthening production of the most advanced chips, they risk overlooking another major vulnerability in the country's supply of less advanced, “legacy"" chips.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-GETTING-REAL-INFLATION-REDUCTION-ACT,C-CSIS-RAI-2023-GETTING-REAL-INFLATION-REDUCTION-ACT,2023-03-07,Getting Real on the Inflation Reduction Act,Article,Commentary,Charles Wessner and Srishti Khemka,语境,否,https://www.csis.org/analysis/getting-real-inflation-reduction-act,"European reactions to the Inflation Reduction Act continue to unfold. While concerns remain, recently proposed EU investment means there is reason to be hopeful for a greener, more resilient Europe despite inevitable inter-allied competition.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-JAPAN-AND-NETHERLANDS-ANNOUNCE-PLANS-NEW-EXPORT-CONTROLS-SEMICONDUCTOR-EQUIPMENT,C-CSIS-RAI-2023-JAPAN-AND-NETHERLANDS-ANNOUNCE-PLANS-NEW-EXPORT-CONTROLS-SEMICONDUCTOR-EQUIPMENT,2023-04-10,Japan and the Netherlands Announce Plans for New Export Controls on Semiconductor Equipment,Article,Commentary,"Gregory C. Allen, Emily Benson, and Margot Putnam",核心,否,https://www.csis.org/analysis/japan-and-netherlands-announce-plans-new-export-controls-semiconductor-equipment,The Dutch and Japanese decisions to join the United States in adopting new export controls make clear that the global semiconductor market has entered a new era in which geopolitical and national security concerns will increasingly bleed into economic and trade policy.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-GENDER-GAPS-HIGH-TECH-SECTOR,C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-GENDER-GAPS-HIGH-TECH-SECTOR,2023-04-21,Innovation Lightbulb: Gender Gaps in the High-Tech Sector,Article,Newsletter,Srishti Khemka,核心,否,https://www.csis.org/analysis/innovation-lightbulb-gender-gaps-high-tech-sector,"Welcome to Innovation Lightbulb: a biweekly newsletter on technology and innovation that puts data first and commentary second. This week, we look at gender disparities in the tech sector.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-NEPA-PERMITTING-CHALLENGE,C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-NEPA-PERMITTING-CHALLENGE,2023-05-01,Implementing CHIPS: The NEPA Permitting Challenge,Article,Commentary,Phillip Singerman and Alexander Kersten,语境,否,https://www.csis.org/analysis/implementing-chips-nepa-permitting-challenge,"The NEPA review could stall CHIPS Act projects for over two years and cost firms billions, undermining the policy imperatives of the legislation. How can policymakers enable a speedy and environmentally responsible review process?",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-ENHANCING-REGIONAL-IMPACT-CHIPS-AND-SCIENCE-ACT-BUILDING-REGIONAL-RESEARCH-ECOSYSTEMS,C-CSIS-RAI-2023-ENHANCING-REGIONAL-IMPACT-CHIPS-AND-SCIENCE-ACT-BUILDING-REGIONAL-RESEARCH-ECOSYSTEMS,2023-05-03,Enhancing the Regional Impact of the CHIPS and Science Act - Building Regional Research Ecosystems,Article,Transcript,,核心,否,https://www.csis.org/analysis/enhancing-regional-impact-chips-and-science-act-building-regional-research-ecosystems,"In this all-day conference, CSIS Renewing American Innovation will host federal and regional stakeholders as they look to maximize the regional economic impact of the CHIPS and Science Act.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-ENHANCING-REGIONAL-IMPACT-CHIPS-AND-SCIENCE-ACT-KEYNOTE-ADDRESSES,C-CSIS-RAI-2023-ENHANCING-REGIONAL-IMPACT-CHIPS-AND-SCIENCE-ACT-KEYNOTE-ADDRESSES,2023-05-03,Enhancing the Regional Impact of the CHIPS and Science Act - Keynote Addresses,Article,Transcript,,核心,否,https://www.csis.org/analysis/enhancing-regional-impact-chips-and-science-act-keynote-addresses,"The CSIS Renewing American Innovation Project hosted an all-day conference on enhancing the regional economic impact of the CHIPS and Science Act, featuring keynote addresses from Senator Todd Young (R-IN) and Senator Mark Kelly (D-AZ).",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-ENHANCING-REGIONAL-IMPACT-CHIPS-AND-SCIENCE-ACT-LUNCH-REMARKS,C-CSIS-RAI-2023-ENHANCING-REGIONAL-IMPACT-CHIPS-AND-SCIENCE-ACT-LUNCH-REMARKS,2023-05-03,Enhancing the Regional Impact of the CHIPS and Science Act - Lunch Remarks,Article,Transcript,,核心,否,https://www.csis.org/analysis/enhancing-regional-impact-chips-and-science-act-lunch-remarks,"In this all-day conference, CSIS Renewing American Innovation will host federal and regional stakeholders as they look to maximize the regional economic impact of the CHIPS and Science Act.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER,C-CSIS-RAI-2023-IMPLEMENTING-CHIPS-ACT-SEMATECHS-LESSONS-NATIONAL-SEMICONDUCTOR-TECHNOLOGY-CENTER,2023-05-19,Implementing the CHIPS Act: Sematech’s Lessons for the National Semiconductor Technology Center,Report,Report,Charles Wessner and Thomas Howell,核心,否,https://www.csis.org/analysis/implementing-chips-act-sematechs-lessons-national-semiconductor-technology-center,"As the Department of Commerce looks to stand up the National Semiconductor Technology Center called for under the CHIPS Act, there are aspects of an earlier effort, Sematech, which remain relevant today.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY,C-CSIS-RAI-2023-INCLUSIVE-INNOVATION-US-ECONOMIC-GROWTH-AND-RESILIENCY,2023-05-30,Inclusive Innovation for U.S. Economic Growth and Resiliency,Report,Report,"Tom Guevara, Alexander Kersten, and Srishti Khemka",核心,否,https://www.csis.org/analysis/inclusive-innovation-us-economic-growth-and-resiliency,"Data shows that inclusivity in entrepreneurship and innovation ecosystems greatly improves economic growth. In a changing global landscape, investing in a more inclusive innovation community is key for the United States’ long-term economic success and national security.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2023-NONCOMPETE-AGREEMENTS-INNOVATION-AND-NATIONAL-SECURITY,C-CSIS-RAI-2023-NONCOMPETE-AGREEMENTS-INNOVATION-AND-NATIONAL-SECURITY,2023-06-07,"Noncompete Agreements, Innovation, and National Security",Article,Commentary,"Kirti Gupta, Andrei Iancu, and Chris Borges",核心,否,https://www.csis.org/analysis/noncompete-agreements-innovation-and-national-security,The scope of a proposed Federal Trade Commission ban on noncompete agreements—particularly as it impacts high-technology industries—threatens the broader U.S. innovation system and its related competitive and national security advantages.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-HOW-POTENTIAL-COVID-19-TRIPS-WAIVER-EXPANSION-WOULD-UNDERMINE-US-INNOVATION-CAPABILITIES,C-CSIS-RAI-2023-HOW-POTENTIAL-COVID-19-TRIPS-WAIVER-EXPANSION-WOULD-UNDERMINE-US-INNOVATION-CAPABILITIES,2023-06-16,How a Potential Covid-19 TRIPS Waiver Expansion Would Undermine U.S. Innovation Capabilities,Report,Report,Walter G. Copan,核心,否,https://www.csis.org/analysis/how-potential-covid-19-trips-waiver-expansion-would-undermine-us-innovation-capabilities,"As the ITC undertakes an investigation on whether to extend flexibilities under the WTO TRIPS Agreement to Covid-19 diagnostics and therapeutics, it should note that TRIPS waivers can undermine the U.S. pharmaceutical industry by weakening intellectual property laws.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-TREND-US-RESEARCH-AND-DEVELOPMENT-EXPENDITURE,C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-TREND-US-RESEARCH-AND-DEVELOPMENT-EXPENDITURE,2023-06-16,Innovation Lightbulb: A Trend in U.S. Research and Development Expenditure,Article,Newsletter,Gregory Arcuri,核心,否,https://www.csis.org/analysis/innovation-lightbulb-trend-us-research-and-development-expenditure,"Amid a flurry of recent legislation, policy makers have recommitted federal attention to investing in the United States' science and technology infrastructure. In today's geopolitical environment, it is essential that these are not ""one-and-done"" investments.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-ADVANCED-PACKAGING-AND-FUTURE-MOORES-LAW,C-CSIS-RAI-2023-ADVANCED-PACKAGING-AND-FUTURE-MOORES-LAW,2023-06-26,Advanced Packaging and the Future of Moore’s Law,Article,Critical Questions,Sujai Shivakumar and Chris Borges,核心,否,https://www.csis.org/analysis/advanced-packaging-and-future-moores-law,"As decreasing the size of transistors in semiconductors becomes more technically and financially challenging, firms are turning to advanced packaging as a means of increasing processing power.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT,C-CSIS-RAI-2023-CHINAS-DRIVE-LEADERSHIP-GLOBAL-RESEARCH-AND-DEVELOPMENT,2023-06-30,China's Drive for Leadership in Global Research and Development,Article,Newsletter,Bailey Crane,核心,是,https://www.csis.org/analysis/chinas-drive-leadership-global-research-and-development,"China has made significant progress in R&D expenditures over the past two decades, surpassing Japan and Germany, narrowing the gap with the United States, and reflecting its determination to compete in innovation for the foreseeable future.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-CRITICAL-MINERALS-AND-US-CHINA-CHIP-WAR,C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-CRITICAL-MINERALS-AND-US-CHINA-CHIP-WAR,2023-07-14,Innovation Lightbulb: Critical Minerals and the U.S.-China Chip War,Article,Newsletter,Bailey Crane,核心,是,https://www.csis.org/analysis/innovation-lightbulb-critical-minerals-and-us-china-chip-war,Following the announcement of impending Chinese export controls on gallium and germanium—two critical minerals in the production of advanced semiconductors—questions are circling about the effect these controls could have on U.S. chip supply chain resiliency and the broader U.S.-China technology competition.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT,C-CSIS-RAI-2023-QUANTUM-CANT-BE-BUSINESS-USUAL-ISSUES-REAUTHORIZATION-NATIONAL-QUANTUM-INITIATIVE-ACT,2023-08-17,Quantum Can't Be Business as Usual: Issues for the Reauthorization of the National Quantum Initiative Act,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/quantum-cant-be-business-usual-issues-reauthorization-national-quantum-initiative-act,"To make the most of the quantum opportunity, the United States cannot resort to half-measures. It must work to support the applications, partnerships, and workforce development efforts that will serve as the foundation for an emerging quantum industry.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-CHIPS-AND-SCIENCE-FUNDING-FALLING-SHORT,C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-CHIPS-AND-SCIENCE-FUNDING-FALLING-SHORT,2023-08-18,Innovation Lightbulb: CHIPS and Science Funding Falling Short,Article,Newsletter,Gregory Arcuri and Bailey Crane,核心,否,https://www.csis.org/analysis/innovation-lightbulb-chips-and-science-funding-falling-short,"The CHIPS and Science Act enjoyed significant bipartisan support when it passed last year. However, legislative data shows CHIPS appropriations falling billions of dollars short of authorized levels.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-JAPAN-SEEKS-REVITALIZE-ITS-SEMICONDUCTOR-INDUSTRY,C-CSIS-RAI-2023-JAPAN-SEEKS-REVITALIZE-ITS-SEMICONDUCTOR-INDUSTRY,2023-08-25,Japan Seeks to Revitalize Its Semiconductor Industry,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/japan-seeks-revitalize-its-semiconductor-industry,"Japan is pursuing ambitious efforts to revitalize its semiconductor industry, leveraging international partnerships to reestablish itself as a major player in chip manufacturing and driver of leading-edge chip research and development.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-FOUR-ACTIONS-STRENGTHEN-US-INTELLECTUAL-PROPERTY-SYSTEM,C-CSIS-RAI-2023-FOUR-ACTIONS-STRENGTHEN-US-INTELLECTUAL-PROPERTY-SYSTEM,2023-08-28,Four Actions to Strengthen the U.S. Intellectual Property System,Article,Commentary,Hideki Tomoshige and Sujai Shivakumar,核心,否,https://www.csis.org/analysis/four-actions-strengthen-us-intellectual-property-system,Addressing four key issues related to strengthening the intellectual property system will promote innovation and technology commercialization and is critical to the economic and technological competitiveness of the United States.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-MANUFACTURING-BEYOND-SHORES-TAIWANESE-CHECKLIST-APPROACH-INTELLECTUAL-PROPERTY-PROTECTION,C-CSIS-RAI-2023-MANUFACTURING-BEYOND-SHORES-TAIWANESE-CHECKLIST-APPROACH-INTELLECTUAL-PROPERTY-PROTECTION,2023-09-06,Manufacturing beyond Shores: The Taiwanese Checklist Approach to Intellectual Property Protection,Report,Report,Emma Hsu,核心,是,https://www.csis.org/analysis/manufacturing-beyond-shores-taiwanese-checklist-approach-intellectual-property-protection,"U.S. concerns over IP rights protection in China continue to heighten as innovation becomes a key area of strategic competition. However, the risk of losing U.S. IP and technology can be mitigated as the Taiwanese have learned to do so.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-ZOOMING-DOMESTIC-SEMICONDUCTOR-INVESTMENTS-2023,C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-ZOOMING-DOMESTIC-SEMICONDUCTOR-INVESTMENTS-2023,2023-09-15,Innovation Lightbulb: Zooming in on Domestic Semiconductor Investments in 2023,Article,Newsletter,Bailey Crane,核心,否,https://www.csis.org/analysis/innovation-lightbulb-zooming-domestic-semiconductor-investments-2023,"Since January 2023, companies throughout the semiconductor supply chain have announced over $24 billion in investments in the United States. This brings the total amount of announced private sector investment in semiconductors and electronics to $231 billion since 2021.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INDEX-HTML,C-CSIS-RAI-2023-INDEX-HTML,2023-09-29,Priming the Innovation System,Report,Digital Feature,Sujai Shivakumar,核心,否,https://features.csis.org/priming-the-innovation-system/index.html,"In an age when innovation is the primary engine for accelerating national competitiveness and strength, the United States needs to make significant and sustained investments to raise its game",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-ROLE-INDUSTRIAL-CLUSTERS-RESHORING-SEMICONDUCTOR-MANUFACTURING,C-CSIS-RAI-2023-ROLE-INDUSTRIAL-CLUSTERS-RESHORING-SEMICONDUCTOR-MANUFACTURING,2023-10-10,The Role of Industrial Clusters in Reshoring Semiconductor Manufacturing,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/role-industrial-clusters-reshoring-semiconductor-manufacturing,"The CHIPS and Science Act initiated a drive to revitalize U.S. manufacturing and innovation. This white paper models how industrial clusters can boost the U.S. semiconductor industry, a key driver of economic success, with global and domestic examples.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-CAPITAL-EXPENDITURES-AMONG-US-CHIP-FIRMS,C-CSIS-RAI-2023-INNOVATION-LIGHTBULB-CAPITAL-EXPENDITURES-AMONG-US-CHIP-FIRMS,2023-10-16,Innovation Lightbulb: Capital Expenditures among U.S. Chip Firms,Article,Newsletter,Gregory Arcuri and Bailey Crane,核心,否,https://www.csis.org/analysis/innovation-lightbulb-capital-expenditures-among-us-chip-firms,"Analyzing capital expenditure, or “capex,” from leading semiconductor firms headquartered in the United States can provide valuable insight into the nature of the industry. Publicly reported capex from fifteen leading U.S. companies over the past ten years shows dramatic growth in spending across the sector.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
