报告ID,统一目录报告ID,DOI,ISSN,系列,发布日期,报告名称,作者,科学技术创新主题,中国关联,DOI入口,OECD落地页,登记机构,资料层级,全文策略,源文件SHA256,采集日期
C-OECD-DOI-0D057DA7-EN,C-OECD-DOI-0D057DA7-EN,10.1787/0d057da7-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-03-28,Public research and innovative entrepreneurship,,科学体系与基础研究；产业创新转化与区域生态,否,https://doi.org/10.1787/0d057da7-en,https://www.oecd-ilibrary.org/science-and-technology/public-research-and-innovative-entrepreneurship_0d057da7-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-3FFEE43B-EN,C-OECD-DOI-3FFEE43B-EN,10.1787/3ffee43b-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-03-28,Reference framework for assessing the scientific and socio-economic impact of research infrastructures,,科学体系与基础研究,否,https://doi.org/10.1787/3ffee43b-en,https://www.oecd-ilibrary.org/science-and-technology/reference-framework-for-assessing-the-scientific-and-socio-economic-impact-of-research-infrastructures_3ffee43b-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,已进入AI for Science与公共科研基础设施定点全文；按官方全文、净文本和科技创新切片调用,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-9678E5B1-EN,C-OECD-DOI-9678E5B1-EN,10.1787/9678e5b1-en,2071-6826,OECD Digital Economy Papers,2019-03-28,Good practice guide on online advertising,,科学技术创新综合目录,否,https://doi.org/10.1787/9678e5b1-en,https://www.oecd-ilibrary.org/science-and-technology/good-practice-guide-on-online-advertising_9678e5b1-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-66A3BD38-EN,C-OECD-DOI-66A3BD38-EN,10.1787/66a3bd38-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-04-05,Science-industry knowledge exchange,,科学体系与基础研究；产业创新转化与区域生态,否,https://doi.org/10.1787/66a3bd38-en,https://www.oecd-ilibrary.org/science-and-technology/science-industry-knowledge-exchange_66a3bd38-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-C917D518-EN,C-OECD-DOI-C917D518-EN,10.1787/c917d518-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-04-05,Bits and bolts,,科学技术创新综合目录,否,https://doi.org/10.1787/c917d518-en,https://www.oecd.org/en/publications/bits-and-bolts_c917d518-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-397DE00C-EN,C-OECD-DOI-397DE00C-EN,10.1787/397de00c-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-04-12,Ship recycling,,科学技术创新综合目录,否,https://doi.org/10.1787/397de00c-en,https://www.oecd-ilibrary.org/science-and-technology/ship-recycling_397de00c-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-90316781-EN,C-OECD-DOI-90316781-EN,10.1787/90316781-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-04-12,Local content requirements and their economic effect on shipbuilding,,科学技术创新综合目录,否,https://doi.org/10.1787/90316781-en,https://www.oecd-ilibrary.org/science-and-technology/local-content-requirements-and-their-economic-effect-on-shipbuilding_90316781-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-B39ADE10-EN,C-OECD-DOI-B39ADE10-EN,10.1787/b39ade10-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-04-12,An analysis of market-distorting factors in shipbuilding,,科学技术创新综合目录,否,https://doi.org/10.1787/b39ade10-en,https://www.oecd.org/en/publications/an-analysis-of-market-distorting-factors-in-shipbuilding_b39ade10-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-A7097901-EN,C-OECD-DOI-A7097901-EN,10.1787/a7097901-en,2071-6826,OECD Digital Economy Papers,2019-04-19,Digital security and resilience in critical infrastructure and essential services,,科学体系与基础研究；技术创新与关键技术；安全供应链与治理边界（次级）,否,https://doi.org/10.1787/a7097901-en,https://www.oecd.org/en/publications/digital-security-and-resilience-in-critical-infrastructure-and-essential-services_a7097901-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-BCB82CFF-EN,C-OECD-DOI-BCB82CFF-EN,10.1787/bcb82cff-en,2071-6826,OECD Digital Economy Papers,2019-04-19,ICT investments in OECD countries and partner economies,,技术创新与关键技术,否,https://doi.org/10.1787/bcb82cff-en,https://www.oecd-ilibrary.org/science-and-technology/ict-investments-in-oecd-countries-and-partner-economies_bcb82cff-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-170A14D9-EN,C-OECD-DOI-170A14D9-EN,10.1787/170a14d9-en,2071-6826,OECD Digital Economy Papers,2019-04-23,Measuring platform mediated workers,,科学技术创新综合目录,否,https://doi.org/10.1787/170a14d9-en,https://www.oecd-ilibrary.org/science-and-technology/measuring-platform-mediated-workers_170a14d9-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-30A12738-EN,C-OECD-DOI-30A12738-EN,10.1787/30a12738-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-04-26,"Occupational mobility, skills and training needs",,人才大学与科研组织,否,https://doi.org/10.1787/30a12738-en,https://www.oecd.org/en/publications/occupational-mobility-skills-and-training-needs_30a12738-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-6171F649-EN,C-OECD-DOI-6171F649-EN,10.1787/6171f649-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-05-06,The digital innovation policy landscape in 2019,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/6171f649-en,https://www.oecd-ilibrary.org/science-and-technology/the-digital-innovation-policy-landscape-in-2019_6171f649-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-90B572F3-EN,C-OECD-DOI-90B572F3-EN,10.1787/90b572f3-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-05-14,"Structural adjustment, mass lay-offs and employment reallocation",,科学技术创新综合目录,否,https://doi.org/10.1787/90b572f3-en,https://www.oecd-ilibrary.org/science-and-technology/structural-adjustment-mass-lay-offs-and-employment-reallocation_90b572f3-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-2B0AC915-EN,C-OECD-DOI-2B0AC915-EN,10.1787/2b0ac915-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-06-14,Can firm micro data match macro trends?,,技术创新与关键技术；产业创新转化与区域生态,否,https://doi.org/10.1787/2b0ac915-en,https://www.oecd.org/en/publications/can-firm-micro-data-match-macro-trends_2b0ac915-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-7DDDDD07-EN,C-OECD-DOI-7DDDDD07-EN,10.1787/7ddddd07-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-06-18,Levelling the playing field,,科学技术创新综合目录,否,https://doi.org/10.1787/7ddddd07-en,https://www.oecd.org/en/publications/levelling-the-playing-field_7ddddd07-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-7B93C1F1-EN,C-OECD-DOI-7B93C1F1-EN,10.1787/7b93c1f1-en,2071-6826,OECD Digital Economy Papers,2019-06-21,Measuring digital security risk management practices in businesses,,技术创新与关键技术；产业创新转化与区域生态；安全供应链与治理边界（次级）,否,https://doi.org/10.1787/7b93c1f1-en,https://www.oecd.org/en/publications/measuring-digital-security-risk-management-practices-in-businesses_7b93c1f1-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-2F880843-EN,C-OECD-DOI-2F880843-EN,10.1787/2f880843-en,2071-6826,OECD Digital Economy Papers,2019-07-11,The road to 5G networks,,科学技术创新综合目录,否,https://doi.org/10.1787/2f880843-en,https://www.oecd.org/en/publications/the-road-to-5g-networks_2f880843-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-6EEFC666-EN,C-OECD-DOI-6EEFC666-EN,10.1787/6eefc666-en,2071-6826,OECD Digital Economy Papers,2019-07-15,The effects of zero rating,,科学技术创新综合目录,否,https://doi.org/10.1787/6eefc666-en,https://www.oecd-ilibrary.org/science-and-technology/the-effects-of-zero-rating_6eefc666-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-3206C421-EN,C-OECD-DOI-3206C421-EN,10.1787/3206c421-en,2071-6826,OECD Digital Economy Papers,2019-07-18,Roles and responsibilities of actors for digital security,,技术创新与关键技术；安全供应链与治理边界（次级）,否,https://doi.org/10.1787/3206c421-en,https://www.oecd.org/en/publications/roles-and-responsibilities-of-actors-for-digital-security_3206c421-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-3DCDE184-EN,C-OECD-DOI-3DCDE184-EN,10.1787/3dcde184-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-07-18,DynEmp and MultiProd: Metadata,,技术创新与关键技术,否,https://doi.org/10.1787/3dcde184-en,https://www.oecd-ilibrary.org/science-and-technology/dynemp-and-multiprod-metadata_3dcde184-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-67BBCAFE-EN,C-OECD-DOI-67BBCAFE-EN,10.1787/67bbcafe-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-07-18,How are digital technologies changing innovation?,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/67bbcafe-en,https://www.oecd-ilibrary.org/science-and-technology/how-are-digital-technologies-changing-innovation_67bbcafe-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-E0448FD0-EN,C-OECD-DOI-E0448FD0-EN,10.1787/e0448fd0-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-08-01,Ship finance practices in major shipbuilding economies,,科学技术创新综合目录,否,https://doi.org/10.1787/e0448fd0-en,https://www.oecd-ilibrary.org/science-and-technology/ship-finance-practices-in-major-shipbuilding-economies_e0448fd0-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-6F9A10DC-EN,C-OECD-DOI-6F9A10DC-EN,10.1787/6f9a10dc-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-08-06,Exploring changes in world production and trade,,科学技术创新综合目录,否,https://doi.org/10.1787/6f9a10dc-en,https://www.oecd-ilibrary.org/science-and-technology/exploring-changes-in-world-production-and-trade_6f9a10dc-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-60C93AA7-EN,C-OECD-DOI-60C93AA7-EN,10.1787/60c93aa7-en,2071-6826,OECD Digital Economy Papers,2019-09-05,The operators and their future,,科学技术创新综合目录,否,https://doi.org/10.1787/60c93aa7-en,https://www.oecd.org/en/publications/the-operators-and-their-future_60c93aa7-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-E2E3D8A1-EN,C-OECD-DOI-E2E3D8A1-EN,10.1787/e2e3d8a1-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-09-05,Innovation ecosystems in the bioeconomy,,创新政策与研发治理,否,https://doi.org/10.1787/e2e3d8a1-en,https://www.oecd-ilibrary.org/science-and-technology/innovation-ecosystems-in-the-bioeconomy_e2e3d8a1-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,已进入生物技术与生物制造创新定点全文；按官方原始资产、净文本和科技创新切片调用,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-0F9362CF-EN,C-OECD-DOI-0F9362CF-EN,10.1787/0f9362cf-en,2071-6826,OECD Digital Economy Papers,2019-09-06,Good practice guide on online consumer ratings and reviews,,科学技术创新综合目录,否,https://doi.org/10.1787/0f9362cf-en,https://www.oecd-ilibrary.org/science-and-technology/good-practice-guide-on-online-consumer-ratings-and-reviews_0f9362cf-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-EB018587-EN,C-OECD-DOI-EB018587-EN,10.1787/eb018587-en,2071-6826,OECD Digital Economy Papers,2019-09-06,Understanding online consumer ratings and reviews,,科学技术创新综合目录,否,https://doi.org/10.1787/eb018587-en,https://www.oecd-ilibrary.org/science-and-technology/understanding-online-consumer-ratings-and-reviews_eb018587-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-E0040128-EN,C-OECD-DOI-E0040128-EN,10.1787/e0040128-en,2071-6826,OECD Digital Economy Papers,2019-09-23,Good practice guide on consumer data,,技术创新与关键技术,否,https://doi.org/10.1787/e0040128-en,https://www.oecd-ilibrary.org/science-and-technology/good-practice-guide-on-consumer-data_e0040128-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-D52D6176-EN,C-OECD-DOI-D52D6176-EN,10.1787/d52d6176-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-09-24,Cross-country evidence on the contributions of research institutions to innovation,,科学体系与基础研究；创新政策与研发治理；国际合作开放科学与比较,否,https://doi.org/10.1787/d52d6176-en,https://www.oecd.org/en/publications/cross-country-evidence-on-the-contributions-of-research-institutions-to-innovation_d52d6176-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-6C9B7BE4-EN,C-OECD-DOI-6C9B7BE4-EN,10.1787/6c9b7be4-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-11,Supporting research for sustainable development,,科学体系与基础研究,否,https://doi.org/10.1787/6c9b7be4-en,https://www.oecd-ilibrary.org/science-and-technology/supporting-research-for-sustainable-development_6c9b7be4-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-9685E4FD-EN,C-OECD-DOI-9685E4FD-EN,10.1787/9685e4fd-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-10-11,Responsible innovation in neurotechnology enterprises,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/9685e4fd-en,https://www.oecd-ilibrary.org/science-and-technology/responsible-innovation-in-neurotechnology-enterprises_9685e4fd-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-D16E6072-EN,C-OECD-DOI-D16E6072-EN,10.1787/d16e6072-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-10-15,Measuring R&D tax support,,科学体系与基础研究,否,https://doi.org/10.1787/d16e6072-en,https://www.oecd.org/en/publications/measuring-r-d-tax-support_d16e6072-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-15491174-EN,C-OECD-DOI-15491174-EN,10.1787/15491174-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-17,Review of national policy initiatives in support of digital and AI-driven innovation,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/15491174-en,https://www.oecd-ilibrary.org/science-and-technology/review-of-national-policy-initiatives-in-support-of-digital-and-ai-driven-innovation_15491174-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-2B3BC558-EN,C-OECD-DOI-2B3BC558-EN,10.1787/2b3bc558-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-17,Governance of science and technology policies,,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/2b3bc558-en,https://www.oecd.org/en/publications/governance-of-science-and-technology-policies_2b3bc558-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-4FFB2CBC-EN,C-OECD-DOI-4FFB2CBC-EN,10.1787/4ffb2cbc-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-17,Innovation support in the enterprise sector,,创新政策与研发治理,否,https://doi.org/10.1787/4ffb2cbc-en,https://www.oecd.org/en/publications/innovation-support-in-the-enterprise-sector_4ffb2cbc-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-6287DDB2-EN,C-OECD-DOI-6287DDB2-EN,10.1787/6287ddb2-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-17,Innovation policies for sustainable development,,创新政策与研发治理,否,https://doi.org/10.1787/6287ddb2-en,https://www.oecd-ilibrary.org/science-and-technology/innovation-policies-for-sustainable-development_6287ddb2-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-9D98177B-EN,C-OECD-DOI-9D98177B-EN,10.1787/9d98177b-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-17,Policy initiatives for health and the bioeconomy,,创新政策与研发治理,否,https://doi.org/10.1787/9d98177b-en,https://www.oecd-ilibrary.org/science-and-technology/policy-initiatives-for-health-and-the-bioeconomy_9d98177b-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-A4C9197A-EN,C-OECD-DOI-A4C9197A-EN,10.1787/a4c9197a-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-10-17,Policy initiatives to enhance the impact of public research,,科学体系与基础研究；创新政策与研发治理,否,https://doi.org/10.1787/a4c9197a-en,https://www.oecd-ilibrary.org/science-and-technology/policy-initiatives-to-enhance-the-impact-of-public-research_a4c9197a-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-0176C74C-EN,C-OECD-DOI-0176C74C-EN,10.1787/0176c74c-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-11-04,Industrial robotics and product(ion) quality,,技术创新与关键技术；产业创新转化与区域生态,否,https://doi.org/10.1787/0176c74c-en,https://www.oecd.org/en/publications/industrial-robotics-and-product-ion-quality_0176c74c-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-7E94709A-EN,C-OECD-DOI-7E94709A-EN,10.1787/7e94709a-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2019-11-14,Global value chains and the shipbuilding industry,,产业创新转化与区域生态；国际合作开放科学与比较,否,https://doi.org/10.1787/7e94709a-en,https://www.oecd.org/en/publications/global-value-chains-and-the-shipbuilding-industry_7e94709a-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-D62F618A-EN,C-OECD-DOI-D62F618A-EN,10.1787/d62f618a-en,2071-6826,OECD Digital Economy Papers,2019-11-15,Scoping the OECD AI principles,,技术创新与关键技术,否,https://doi.org/10.1787/d62f618a-en,https://www.oecd.org/en/publications/scoping-the-oecd-ai-principles_d62f618a-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-F184732A-EN,C-OECD-DOI-F184732A-EN,10.1787/f184732a-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2019-12-16,On the concentration of innovation in top cities in the digital age,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/f184732a-en,https://www.oecd-ilibrary.org/science-and-technology/on-the-concentration-of-innovation-in-top-cities-in-the-digital-age_f184732a-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-DC930ADC-EN,C-OECD-DOI-DC930ADC-EN,10.1787/dc930adc-en,2071-6826,OECD Digital Economy Papers,2020-02-14,Going Digital integrated policy framework,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/dc930adc-en,https://www.oecd.org/en/publications/going-digital-integrated-policy-framework_dc930adc-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-00F7D7DB-EN,C-OECD-DOI-00F7D7DB-EN,10.1787/00f7d7db-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2020-02-17,Measuring employment in global value chains,,国际合作开放科学与比较,否,https://doi.org/10.1787/00f7d7db-en,https://www.oecd.org/en/publications/measuring-employment-in-global-value-chains_00f7d7db-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
