报告ID,报告编号,发布日期,观察窗,日文题名,语言,报告类型,资料角色,科技关联层级,主题标签,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-CRDS-FY2019-RR-01,CRDS-FY2019-RR-01,2019-06-01,W2,中山間地域の持続可能性の維持・向上に向けた課題検討,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-RR-01.html,https://www.jst.go.jp/crds/pdf/2019/RR/CRDS-FY2019-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-RR-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-RR-01.md,2448429,b7999ec673b883dd817ed70e122400007c682e9c34eaca59f2a0e6da504337f4,35,36854,官方PDF已保存并校验,,2026-08-22
S-CRDS-2019-01,CRDS-FY2019-FR-01,2019-07-01,W2,統合版（2019年）～俯瞰と潮流～,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较；中国科技政策与能力比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-FR-01.html,https://www.jst.go.jp/crds/pdf/2019/FR/CRDS-FY2019-FR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\S-CRDS-2019-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\S-CRDS-2019-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\S-CRDS-2019-01.md,19040393,3fd9f0a1f04c885fb09f9c841c6af966f57d4707a672619849eb04272c88f564,100,231496,复用库内既有资产,,2026-08-22
C-CRDS-FY2019-RR-02,CRDS-FY2019-RR-02,2019-07-01,W2,異分野融合を促し、研究力向上を支える土壌を育む（—The Beyond Disciplines Collection—）,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-RR-02.html,https://www.jst.go.jp/crds/pdf/2019/RR/CRDS-FY2019-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-RR-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-RR-02.md,4378945,8baaa31f5647c4a4e6fb16a986e20ffc2d6d1e65fdc8e98faec15137c5dff065,47,72674,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-01,CRDS-FY2019-SP-01,2019-07-01,W2,進化的社会システムデザイン　～自然科学と社会科学の連携協調による持続可能な社会の実現～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-01.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-01.md,3729826,f5ba4b6cb2e94df778b691a68ff3e08c83a6340dcfa8c456cb06ad29a8f6fbfd,39,23637,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-02,CRDS-FY2019-SP-02,2019-07-01,W2,未来材料開拓イニシアチブ　～多様な安定相のエンジニアリング～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-02.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-02.md,2564437,6d1b4622462bc43d73a8e28ac3c3cb8d88559cad8c342c97e493922b37e11be6,38,53905,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-RR-03,CRDS-FY2019-RR-03,2019-08-01,W2,研究力強化のための大学・国研における研究システムの国際ベンチマーク　～米国、英国、ドイツおよび日本の生命科学・生物医学分野を例に海外で活躍する日本人研究者に聞く～,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-RR-03.html,https://www.jst.go.jp/crds/pdf/2019/RR/CRDS-FY2019-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-RR-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-RR-03.md,10125715,206858cea2f9fe02f8be07b1a895f24f2cce443e9ef8c61db306ecaeb0e88b8d,197,259318,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-RR-04,CRDS-FY2019-RR-04,2019-11-01,W2,科学技術イノベーション政策における社会との関係深化に向けて　我が国におけるELSI/RRIの構築と定着（—The Beyond Disciplines Collection—）,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-RR-04.html,https://www.jst.go.jp/crds/pdf/2019/RR/CRDS-FY2019-RR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-RR-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-RR-04.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-RR-04.md,6445137,039481261f033b9b76ef1f327bf1fae3a78e1a1b10045741bd0d4a4aac753d03,74,94162,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-03,CRDS-FY2019-SP-03,2020-01-01,W2,量子2.0　～量子科学技術が切り拓く新たな地平～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较；中国科技政策与能力比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-03.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-03.md,2445235,6e2c1459aea3fa68c33b6566d44ce5e04f6437c76e7c687f39a3dbf1f34080d9,59,85529,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-FR-02,CRDS-FY2019-FR-02,2020-03-01,W2,研究開発の俯瞰報告書　主要国の研究開発戦略（2020年）,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较；中国科技政策与能力比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-FR-02.html,https://www.jst.go.jp/crds/pdf/2019/FR/CRDS-FY2019-FR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-FR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-FR-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-FR-02.md,9987145,69719375395d451cc454da01d944e8df32b3799fc6210de4513914e504e9e887,211,282651,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-FR-03,CRDS-FY2019-FR-03,2020-03-01,W2,日本の科学技術イノベーション政策の変遷2020　～科学技術基本法の制定から現在まで～,日文,研究开发全景报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-FR-03.html,https://www.jst.go.jp/crds/pdf/2019/FR/CRDS-FY2019-FR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-FR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-FR-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-FR-03.md,33178320,4445aaa7f1139169ab0725ff3481771e354044699a61ece1e017ab324929620d,162,229363,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-RR-05,CRDS-FY2019-RR-05,2020-03-01,W2,二酸化炭素資源化に関する調査報告,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-RR-05.html,https://www.jst.go.jp/crds/pdf/2019/RR/CRDS-FY2019-RR-05.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-RR-05.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-RR-05.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-RR-05.md,3701101,37fc393bc3f722c87ae26a305e16b263829506bf5201e30532b5ef8eb4e3b425,53,60864,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-RR-06,CRDS-FY2019-RR-06,2020-03-01,W2,ドライ・ウェット脳科学,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-RR-06.html,https://www.jst.go.jp/crds/pdf/2019/RR/CRDS-FY2019-RR-06.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-RR-06.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-RR-06.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-RR-06.md,5008094,22c936e64df955281100c5693732aee6b2371a1f89f0d18e66ade16460d9ff45,49,64880,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-04,CRDS-FY2019-SP-04,2020-03-01,W2,次世代育種・生物生産基盤の創成（第3部）気候変動下での環境負荷低減農業を実現する基盤の創出　～圃場における微生物、作物、気象を統合的に扱うモデルの開発に向けて～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-04.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-04.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-04.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-04.md,3487574,9d7f8e9f35c34c53f15a0ebf85c3aef4048f43818acfdd1f1229559fa28b8495,52,65001,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-05,CRDS-FY2019-SP-05,2020-03-01,W2,4次元セローム　～細胞内機能素子の動的構造・局在・数量と 機能の因果の解明のための革新的技術開発～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-05.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-05.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-05.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-05.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-05.md,3279275,faac260d58939bd619858943b0283cdae8566cc2c6819535d2309b94914150fc,41,48743,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-06,CRDS-FY2019-SP-06,2020-03-01,W2,環境や社会の変化に伴う水利用リスクの低減と管理,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-06.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-06.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-06.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-06.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-06.md,6106085,e4a85debbe1114e0afbb0a2aa63a9e503d787b0189d4c772a40d67ca4916800a,48,50701,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-07,CRDS-FY2019-SP-07,2020-03-01,W2,環境調和型プラスチック戦略　～化学物質としてのプラスチックの安全な管理・活用を推進するための戦略的研究～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-07.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-07.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-07.md,3127611,0984eb80f2f974785c3880e9cf9a32ff0a56f59fabc96445610d09ab4a4beedb,53,64708,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-08,CRDS-FY2019-SP-08,2020-03-01,W2,第4世代AIの研究開発　－深層学習と知識・記号推論の融合－,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-08.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-08.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-08.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-08.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-08.md,5177701,e22b2035eb042100fc0f4273ccb586b2ab1727342940eb7c11bd85f4ae4ded6a,48,58430,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-09,CRDS-FY2019-SP-09,2020-03-01,W2,次世代ブロックチェーン技術 ～個人や社会のデータ共有・価値交換を安全で高信頼に実現する～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-09.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-09.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-09.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-09.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-09.md,4853614,dfee63fbd69d9fb7f69c60a3a7d58747bfa15b90fcd9d9029f2f7b29b1a014b5,54,70340,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2019-SP-10,CRDS-FY2019-SP-10,2020-03-01,W2,IoT時代のセンサ融合基盤技術の構築　～センシング情報の高付加価値化に向けた多様なデータの取得と統合的処理～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2019-SP-10.html,https://www.jst.go.jp/crds/pdf/2019/SP/CRDS-FY2019-SP-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2019-SP-10.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2019-SP-10.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2019-SP-10.md,2688721,129e981701269a20b0b7f5a5f02f9e04f9f1f9f8a65d298c9d0040542dd05c90,53,70890,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2020-RR-01,CRDS-FY2020-RR-01,2020-04-01,W2,デジタルトランスフォーメーションに伴う科学技術・イノベーションの変容（—The Beyond Disciplines Collection—）,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2020-RR-01.html,https://www.jst.go.jp/crds/pdf/2020/RR/CRDS-FY2020-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2020-RR-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2020-RR-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2020-RR-01.md,3230396,91f691f8c0e8626e13b8ec595a7abb79628c91d46e1dbd4fd9901eee23143816,122,183006,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2020-RR-02,CRDS-FY2020-RR-02,2020-07-01,W2,環境・エネルギー分野における非連続的なイノベーションを支える工学研究基盤強化,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2020-RR-02.html,https://www.jst.go.jp/crds/pdf/2020/RR/CRDS-FY2020-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2020-RR-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2020-RR-02.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2020-RR-02.md,4893197,67675e873e14e08e4d6a20498350543337ffd92734f93abc46378a8ffe93e02c,125,165335,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2020-RR-03,CRDS-FY2020-RR-03,2020-09-01,W2,AI×バイオ　DX時代のライフサイエンス・バイオメディカル研究（—The Beyond Disciplines Collection—）,日文,调查分析报告,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；芯片、量子、通信与网络安全；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2020-RR-03.html,https://www.jst.go.jp/crds/pdf/2020/RR/CRDS-FY2020-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2020-RR-03.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2020-RR-03.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2020-RR-03.md,3048488,d076bde1e3bee0049d8fb8ed3295ea8368e0e7688603394dcd0063d2eb7e9908,55,73880,官方PDF已保存并校验,,2026-08-22
C-CRDS-FY2020-SP-01,CRDS-FY2020-SP-01,2020-09-01,W2,『デザイナー細胞』　～再生・細胞医療・遺伝子治療の挑戦～,日文,研究推进战略建议,CRDS机构正式研究,核心科技直接材料,人工智能、机器人与计算系统；先进材料、纳米与制造技术；生命科学、生物技术与医疗；能源、环境与绿色转型；科技创新政策、科研体系与人才；研究安全、科技外交与国际比较,https://www.jst.go.jp/crds/report/CRDS-FY2020-SP-01.html,https://www.jst.go.jp/crds/pdf/2020/SP/CRDS-FY2020-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-CRDS-FY2020-SP-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-CRDS-FY2020-SP-01.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-CRDS-FY2020-SP-01.md,14272992,7422ce395682b031b6db92f6f5f9903b71f1f7921d8dc58bb3b1d566919850cf,202,289187,官方PDF已保存并校验,,2026-08-22
