报告ID,发布日期,观察窗,报告名称,作者,资料角色,科技关联层级,主题标签,筛选依据,官方落地页,官方PDF,本地原始资产,本地文本,本地切片或转写,字节数,SHA256,PDF页数,提取文本字符数,本地状态,错误,获取日期
C-MERICS-1A2FCB52EC,2023-02-22,W3,From opportunity to risk: The changing economic security policies vis-à-vis China,Francesca Ghiretti,作者/项目正式研究,科技产业与经济安全基线,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/opportunity-risk-changing-economic-security-policies-vis-vis-china,https://merics.org/sites/default/files/2023-02/merics-report-changing-economic-security-policies-2023.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-1A2FCB52EC.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-1A2FCB52EC.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-1A2FCB52EC.md,334399,9ce0439461b51fb722531c8ea61323cbce65d05c98562e2c0fdd0a514bcebf5c,12,21564,官方PDF已保存并校验,,2026-08-22
C-MERICS-11254A07DD,2023-04-21,W3,China's innovation system and the localization dilemma,Jacob Gunter；Jeroen Groenewegen-Lau,作者/项目正式研究,核心科技直接材料,创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-innovation-system-and-localization-dilemma,https://merics.org/sites/default/files/2023-06/China%27s%20innovation%20ecosystem%20the%20localisation%20dilemma.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-11254A07DD.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-11254A07DD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-11254A07DD.md,1201104,95311d4eaedc9d0db2393183824531db2b2f5dd0e68bf881fcfa604f6aeca768,36,78315,官方PDF已保存并校验,,2026-08-22
C-MERICS-9926655DB2,2023-05-09,W3,EV battery investments cushion drop to decade low: Chinese FDI in Europe 2022 Update,Agatha Kratz；Max J. Zenglein；Gregor Williams (Sebastian)；Mark Witzke,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/ev-battery-investments-cushion-drop-decade-low-chinese-fdi-europe-2022-update,https://merics.org/sites/default/files/2023-05/merics-rhodium-group-chinese-fdi-in-europe-2022%20%281%29.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-9926655DB2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-9926655DB2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-9926655DB2.md,1591865,c7601fa9214490cb401319349166e02e7aae9abf4de9c9ae664725b2b6dd905d,27,47271,官方PDF已保存并校验,,2026-08-22
C-MERICS-2CA6F6D975,2023-06-29,W3,"Updating the EU action plan on China: De-risk, engage, coordinate",François Chimits；Francesca Ghiretti；Grzegorz Stec,作者/项目正式研究,科技产业与经济安全基线,先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/updating-eu-action-plan-china-de-risk-engage-coordinate,https://merics.org/sites/default/files/2023-06/MERICS%20Report%20EU%20Action%20plan%202.0_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-2CA6F6D975.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-2CA6F6D975.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-2CA6F6D975.md,847252,505ccd64e6b93de1e893d06a687eb73871826c7a4c31bb50ef7353963db9bcb3,12,26980,官方PDF已保存并校验,,2026-08-22
C-MERICS-6DB880FFE2,2023-08-03,W3,"Accelerator state: How China fosters ""Little Giant"" companies",Alexander Brown；François Chimits；Gregor Williams (Sebastian),作者/项目正式研究,科技产业与经济安全基线,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/accelerator-state-how-china-fosters-little-giant-companies,https://merics.org/sites/default/files/2023-11/MERICS%20Report%20Accelerator%20State_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-6DB880FFE2.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-6DB880FFE2.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-6DB880FFE2.md,632369,c642016c45c31d86641f4cbe995230feb27d2c8bb915363fdb930b8390135e7c,24,74778,官方PDF已保存并校验,,2026-08-22
C-MERICS-420F869A46,2023-09-15,W3,Electric Shock: Interpreting China’s electric vehicle export boom,Ilaria Mazzocco；Gregor Williams (Sebastian),作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；先进制造、机器人与交通技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/electric-shock-interpreting-chinas-electric-vehicle-export-boom,,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-MERICS-420F869A46.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-MERICS-420F869A46.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页转写\C-MERICS-420F869A46.md,2170,9cace8e3f4daaa9dc5d95c239b6280c6faa212db9a45af131aebd593094f2700,0,2108,官方网页全文已保存,,2026-08-22
C-MERICS-01DB422043,2023-10-26,W3,The sky is the limit: China's rise as a transportation superpower challenges the EU,Max J. Zenglein；Gregor Williams (Sebastian),作者/项目正式研究,科技产业与经济安全基线,先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/sky-limit-chinas-rise-transportation-superpower-challenges-eu,https://merics.org/sites/default/files/2023-10/231024_Horizon_ECON_Policy_Brief.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-01DB422043.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-01DB422043.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-01DB422043.md,1869275,93f80484a12ec1c1a8f0151c89de494d080d73a149d1aca6b077126f97bd5291,25,45837,官方PDF已保存并校验,,2026-08-22
L-1429A64BC1,2023-11-16,W3,AI entanglements: Balancing risks and rewards of European-Chinese collaboration,Rebecca Arcesati；Wendy Chang；Antonia Hmaidi；Kai von Carnap,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/ai-entanglements-balancing-risks-and-rewards-european-chinese-collaboration,https://merics.org/sites/default/files/2024-02/MERICS%20Report%20AI%20Entanglement_Feb%202024_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-1429A64BC1.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-1429A64BC1.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-1429A64BC1.md,2642203,547d399a5b7923eb3523ad10cfda52e99d642b9039a892f6919513a5ce2dfab2,35,109744,复用库内既有资产,,2026-08-22
L-027001A761,2023-11-20,W3,Investigating state support for China’s medical technology companies,Alexander Brown；François Chimits；Jeroen Groenewegen-Lau；Jacob Gunter；Gregor Williams (Sebastian),作者/项目正式研究,核心科技直接材料,先进制造、机器人与交通技术；生物、量子、航天与绿色技术；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/investigating-state-support-chinas-medical-technology-companies,https://merics.org/sites/default/files/2023-11/MERICS_Report_MedTech%20State%20Support_November%202023_final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-027001A761.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-027001A761.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-027001A761.md,915247,17e47c2c7675dffb41686877689c76335b47a2fb5044ac23d5b0a87af183dc5a,58,130669,复用库内既有资产,,2026-08-22
C-MERICS-0829162960,2023-11-30,W3,Fragmenting cyberspace: The future of the internet in China,Kai von Carnap；Antonia Hmaidi；Rebecca Arcesati；Jeroen Groenewegen-Lau,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理；生物、量子、航天与绿色技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/fragmenting-cyberspace-future-internet-china,https://merics.org/sites/default/files/2023-12/MERICS%20Report_Future%20of%20the%20internet_final%20%281%29.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-0829162960.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-0829162960.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-0829162960.md,913498,c2986e5d54e0b28d82a17861a6f3993aaa0208c0caad38a8ad49d43bda678087,66,142208,官方PDF已保存并校验,,2026-08-22
L-53F144B9C0,2023-12-05,W3,China’s data management: Putting the party state in charge,Rebecca Arcesati；Jeroen Groenewegen-Lau,作者/项目正式研究,核心科技直接材料,网络安全、数据与数字治理,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-data-management-putting-party-state-charge,https://merics.org/sites/default/files/2023-12/Chinas%20data%20management%20-%20MERICS%20-%20Hinrich%20Foundation%20-%20December%202023.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-53F144B9C0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-53F144B9C0.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-53F144B9C0.md,1940474,2af96b225340919d091b2d40fe8b20b11c76ff6003241bd8dca7ca59204e9550,18,44584,复用库内既有资产,,2026-08-22
C-MERICS-06162DF2B7,2024-02-02,W3,The world’s factory strikes back,Max J. Zenglein,作者/项目正式研究,科技产业与经济安全基线,先进制造、机器人与交通技术；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/worlds-factory-strikes-back,https://merics.org/sites/default/files/2024-02/The%20worlds%20factory%20strikes%20back%20-%20MERICS%20-%20Hinrich%20Foundation%20-%20February%202024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-06162DF2B7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-06162DF2B7.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-06162DF2B7.md,2036449,f34cc8fa754b0410385c938e9c1f5d2fd761705dffbaadf9dcd30c4b9846981d,21,43127,官方PDF已保存并校验,,2026-08-22
L-BB6FCEB300,2024-03-05,W3,Whole-of-nation innovation:  Does China’s socialist system give it an edge in science  and technology?,Jeroen Groenewegen-Lau,作者/项目正式研究,核心科技直接材料,先进制造、机器人与交通技术；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/whole-nation-innovation-does-chinas-socialist-system-give-it-edge-science-and-technology,https://merics.org/sites/default/files/2024-03/Jeroen-Whole%20of%20Nation%20Innovation-02.24.24.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-BB6FCEB300.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-BB6FCEB300.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-BB6FCEB300.md,264886,ea923a48b67650f25a252b30c65834256fd0bf65fd2778a6c2569bbab4eb3c3c,9,31578,复用库内既有资产,,2026-08-22
L-F74A052FEB,2024-04-09,W3,Huawei is quietly dominating China’s semiconductor supply chain,Antonia Hmaidi,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；网络安全、数据与数字治理；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/huawei-quietly-dominating-chinas-semiconductor-supply-chain,https://merics.org/sites/default/files/2024-04/Hmaidi-Huawei%20Supply%20Chain-04.05.24.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-F74A052FEB.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-F74A052FEB.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-F74A052FEB.md,579517,920e7820b91af480048b85ae3f8abfb9761cd97e0592100aae0e22f154a81844,13,42203,复用库内既有资产,,2026-08-22
L-06662E3F92,2024-04-23,W3,Where China stands in the global race for talent,Jeroen Groenewegen-Lau；Antonia Hmaidi,作者/项目正式研究,核心科技直接材料,创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/where-china-stands-global-race-talent,https://merics.org/sites/default/files/2024-04/WP%20-%20Where%20china%20stands%20in%20the%20global%20race%20for%20talent%20-%20MERICS%20-%20final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-06662E3F92.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-06662E3F92.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-06662E3F92.md,2769459,b8c470a825ba43e1ccae5b6d7575ef571f81ddfd828371c7876567cdd564d223,21,46961,复用库内既有资产,,2026-08-22
L-61C99BBDA7,2024-04-29,W3,The accelerator state: Small firms join the fray of China’s techno-industrial drive,Alexander Brown,作者/项目正式研究,核心科技直接材料,先进制造、机器人与交通技术；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/accelerator-state-small-firms-join-fray-chinas-techno-industrial-drive,https://merics.org/sites/default/files/2024-04/Brown-Accelerator%20State%20Robotics-03.05.24.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-61C99BBDA7.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-61C99BBDA7.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-61C99BBDA7.md,181848,a220ae5d3ae79d110bd5fb17dac4454c4b3235d690df3af3984abcec8cc6c1c8,11,27910,复用库内既有资产,,2026-08-22
L-B9A158F303,2024-05-02,W3,China’s AI development model in an era of technological deglobalization,Rebecca Arcesati,作者/项目正式研究,核心科技直接材料,人工智能、芯片与算力；创新体系、科研与技术人才,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-ai-development-model-era-technological-deglobalization,https://merics.org/sites/default/files/2024-05/Arcesati-China%20AI%20Development-04.25.24.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-B9A158F303.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-B9A158F303.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-B9A158F303.md,447721,613014d2dc1f8d677867b943df849266a3af8804939533aac37e645af8cd4dad,14,43947,复用库内既有资产,,2026-08-22
C-MERICS-3E9D1F50F6,2024-07-01,W3,National Perspectives on Europe’s de-risking from China,Bernhard Bartsch；François Chimits；Alexander Davey；Claudia Wessling,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/national-perspectives-europes-de-risking-china,https://merics.org/sites/default/files/2024-06/ETNC%202024_National%20Perspectives%20on%20Europe%E2%80%99s%20De-risking%20from%20China_FINAL_low.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-3E9D1F50F6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-3E9D1F50F6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-3E9D1F50F6.md,5259760,848a03027aaf6ad372771de83d5f9996069d16bcb6555798787bd019977a500d,166,533778,官方PDF已保存并校验,,2026-08-22
L-5DD1239AFE,2024-08-08,W3,Keeping value chains at home,Rebecca Arcesati；François Chimits；Antonia Hmaidi,作者/项目正式研究,科技产业与经济安全基线,人工智能、芯片与算力；网络安全、数据与数字治理；先进制造、机器人与交通技术；生物、量子、航天与绿色技术；创新体系、科研与技术人才；供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/keeping-value-chains-home,https://merics.org/sites/default/files/2024-08/MERICS%20Report_Export%20controls_August%202024_0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-5DD1239AFE.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-5DD1239AFE.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-5DD1239AFE.md,1462483,e18a09616c29cbbe8d7a1afde9a82944c8e1f3b2ff1507bccf098eab8af0bbfe,19,59755,复用库内既有资产,,2026-08-22
C-MERICS-2067EE9619,2024-10-01,W3,Growing asymmetry: Mapping the import dependencies in EU and US trade with China,François Chimits,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/growing-asymmetry-mapping-import-dependencies-eu-and-us-trade-china,https://merics.org/sites/default/files/2024-10/241001%20MERICS%20Report%20Growing%20Asymmetry_Final%20%281%29.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-2067EE9619.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-2067EE9619.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-2067EE9619.md,1384066,31cc0fb60de1816e6cdf516c1a773af10500e7b62e6048c96c73b914b13d57ce,17,29517,官方PDF已保存并校验,,2026-08-22
C-MERICS-F38BF4477E,2024-10-31,W3,The Europe-China Resilience Audit: Insights for advancing European resilience,Grzegorz Stec；Helena Legarda,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/europe-china-resilience-audit-insights-advancing-eu-resilience,https://merics.org/sites/default/files/2025-01/MERICS%20Report%20The%20Europe-China%20Resilience%20Audit_October%202024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-F38BF4477E.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-F38BF4477E.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-F38BF4477E.md,9810865,3ea89df28505bfe14cd540650dd0bcd19726b2a2902d409bd5d38957927e467a,48,44336,官方PDF已保存并校验,,2026-08-22
C-MERICS-5FE1C9C248,2024-10-31,W3,Profiling European countries' resilience towards China,,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/profiling-european-countries-resilience-towards-china,https://merics.org/sites/default/files/2024-06/ETNC%202024_National%20Perspectives%20on%20Europe%E2%80%99s%20De-risking%20from%20China_FINAL_low.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-3E9D1F50F6.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-3E9D1F50F6.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-3E9D1F50F6.md,5259760,848a03027aaf6ad372771de83d5f9996069d16bcb6555798787bd019977a500d,166,533778,关联既有官方PDF,,2026-08-22
C-MERICS-66DBCAA414,2024-11-21,W3,China is the world’s factory – but less integrated  into the global economy than the US and Japan,François Chimits,作者/项目正式研究,科技产业与经济安全基线,技术地缘经济与欧洲对华政策,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/china-worlds-factory-less-integrated-global-economy-us-and-japan,https://merics.org/sites/default/files/%5Bdate%3Acustom%3AY%5D-%5Bdate%3Acustom%3Am%5D/MERICS%20Report%20China%20Global%20Integration_November%202024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-66DBCAA414.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-66DBCAA414.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-66DBCAA414.md,2376506,1e07c90173b42575d88f1938326994e64247077398c7b56900361d114a01bd5b,23,36862,官方PDF已保存并校验,,2026-08-22
L-3C974B43E3,2024-12-12,W3,China’s long view on quantum tech has the US and EU playing catch-up,Antonia Hmaidi；Jeroen Groenewegen-Lau,作者/项目正式研究,核心科技直接材料,生物、量子、航天与绿色技术,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/chinas-long-view-quantum-tech-has-us-and-eu-playing-catch,https://merics.org/sites/default/files/2024-12/MERICS%20China%20Tech%20Observatory%20Quantum%20Report%202024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\L-3C974B43E3.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\L-3C974B43E3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\L-3C974B43E3.md,2039990,32c95806d5bef70fba3c9e490989c8d76615179ba849bc14cad2432c363c15ea,20,51200,复用库内既有资产,,2026-08-22
C-MERICS-09B0D46381,2025-04-01,W3,Beyond overcapacity: Chinese-style modernization and the clash of economic models,Jacob Gunter；Alexander Brown；François Chimits；Antonia Hmaidi；Abigaël Vasselier；Max J. Zenglein,作者/项目正式研究,科技产业与经济安全基线,供应链、技术管制与经济安全,MERICS官方sitemap正式报告；标题命中科技或技术地缘经济词族,https://merics.org/en/report/beyond-overcapacity-chinese-style-modernization-and-clash-economic-models,https://merics.org/sites/default/files/2025-04/MERICS%20Report%20Overcapacities_2025%20final.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-MERICS-09B0D46381.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-MERICS-09B0D46381.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-MERICS-09B0D46381.md,1350090,5ac6d2635177805e29371685884aec7b441ebb88d9c4d31c030ef418634fdab4,28,68585,官方PDF已保存并校验,,2026-08-22
