主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,官方摘要,本地原始资产,本地文本,官方落地页
综合科技竞争,C-ATL-621883,2023-03-16,W3,正式研究报告,The future of NATO C4ISR: Assessment and recommendations after Madrid,作者/项目正式研究,"Current C4ISR capabilities, concepts, policies, and processes do not meet all of the Alliance’s needs. While much has been done to improve NATO C4ISR over the past decade, much work remains.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-621883.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-621883.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/the-future-of-nato-c4isr-assessment-and-recommendations-after-madrid/
创新体系与产业政策,C-ATL-633874,2023-04-12,W3,正式研究报告,Atlantic Council Commission on Defense Innovation Adoption interim report,作者/项目正式研究,The DoD must accelerate defense innovation adoption from the leading edge of the private sector. This report has ten recommendations to do so.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-633874.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-633874.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/atlantic-council-commission-on-defense-innovation-adoption-interim-report/
网络安全与数字治理,C-ATL-818066,2023-05-15,W3,议题简报,What is driving the adoption of Chinese surveillance technology in Africa?,作者/项目政策简报,"When examining the proliferation of Chinese surveillance systems and cyber capabilities in Africa, research disproportionately focuses on the motivations and ambitions of the supplier. This perspective, while it highlights Chinese diplomatic ambitions and corporate opportunities, ignores local features that drive the adoption of Chinese surveillance tools.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-818066.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-818066.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/what-is-driving-the-adoption-of-chinese-surveillance-technology-in-africa/
网络安全与数字治理,C-ATL-646204,2023-05-30,W3,议题简报,China’s subsea-cable power in the Middle East and North Africa,作者/项目政策简报,"Dale Aluf analyzes China’s campaign to make countries in the region more dependent on Chinese networks, while reducing its own dependence on foreign cables. China’s growing presence in the Middle East and North Africa’s cable industry is significant because Beijing has the power to shape the route of global internet traffic by determining when, where, and how to build cables.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-646204.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-646204.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/chinas-subsea-cable-power-in-the-middle-east-and-north-africa/
创新体系与产业政策,C-ATL-655540,2023-06-27,W3,Atlantic Council战略论文,Global Strategy 2023: Winning the tech race with China,作者/项目正式研究,"The United States and the People’s Republic of China (PRC) are engaged in a strategic competition surrounding the development of key technologies. Both countries seek to out-compete the other to achieve first-mover advantage in breakthrough technologies, and to be the best country in terms of the commercial scaling of emerging and existing technologies.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-655540.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-655540.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/global-strategy-2023-winning-the-tech-race-with-china/
人工智能、芯片与算力,C-ATL-660056,2023-06-29,W3,议题简报,What policymakers need to know about artificial intelligence,作者/项目政策简报,"Behind the hype and fear lies a crucial truth—AI is designed to augment human intelligence, not replace it. This primer explains how developers strive to create systems that mimic human capabilities by finding patterns, making predictions, and generating meaningful and actionable insights using data generated by our information-rich world.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-660056.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-660056.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/what-policy-makers-need-to-know-about-artificial-intelligence/
综合科技竞争,C-ATL-669055,2023-08-02,W3,正式研究报告,Chinese discourse power: Capabilities and impact,作者/项目正式研究,An examination of China’s online and offline channels for the dissemination of “discourse power” and the mechanisms of oversight on which such communications rely.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-669055.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-669055.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/chinese-discourse-power-capabilities-and-impact/
网络安全与数字治理,C-ATL-677634,2023-09-06,W3,正式研究报告,Sleight of hand: How China weaponizes software vulnerabilities,作者/项目正式研究,"China’s new vulnerability management system mandates reporting to MIIT within 48 hours, restricting pre-patch publication and POC code. This centralized approach contrasts with the US voluntary system, potentially aiding Chinese intelligence. MIIT shares data with the MSS, affecting voluntary databases as well. MSS also fund firms to provide vulnerabilities for their offensive potential.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-677634.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-677634.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/sleight-of-hand-how-china-weaponizes-software-vulnerability/
综合科技竞争,C-ATL-687065,2023-10-04,W3,正式研究报告,Running out of road: China Pathfinder 2023 annual scorecard,作者/项目正式研究,The China Pathfinder project examines whether China’s economy is converging or diverging with the world’s leading open market economies.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-687065.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-687065.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/running-out-of-road-china-pathfinder-2023-annual-scorecard/
网络安全与数字治理,C-ATL-707988,2023-12-04,W3,正式研究报告,Community watch: China’s vision for the future of the internet,作者/项目正式研究,"In 2015, Beijing released Jointly Building a Community with a Shared Future in Cyberspace, a white paper outlining the CCP’s vision for the future of the internet. In the eight years since then, this vision has picked up steam outside of China, largely as the result of Beijing’s efforts to export these ideas to authoritarian countries.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-707988.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-707988.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/community-watch-chinas-vision-for-the-future-of-the-internet/
人工智能、芯片与算力,C-ATL-722225,2024-01-12,W3,Atlantic Council战略论文,"Welcome to 2034: What the world could look like in ten years, according to nearly 300 experts",作者/项目正式研究,"To survey the future, we polled global strategists and foresight practitioners on our most burning questions about the biggest drivers of change over the next decade. Check out their forecasts on everything from the likelihood of war over Taiwan to the future of AI.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-722225.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-722225.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/welcome-to-2034-what-the-world-could-look-like-in-ten-years-according-to-nearly-300-experts/
综合科技竞争,C-ATL-721295,2024-01-17,W3,Atlantic Council战略论文,The top risks and opportunities for 2024,作者/项目正式研究,2023 was marked by war in the Middle East and in Europe. What else looms on the horizon? The Atlantic Council’s top experts brought their globe-spanning expertise to the task of forecasting the near future.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-721295.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-721295.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/the-top-risks-and-opportunities-for-2024/
综合科技竞争,C-ATL-729295,2024-01-31,W3,议题简报,A US-South Korea alliance strategic memo on deterrence,作者/项目政策简报,"With North Korea’s rapidly advancing military technology, aggressive nuclear policy changes, and deepening ties with the PRC making deterrence on the Korean Peninsula increasingly more complex, this is how the US and South Korea can shore up cooperative deterrence and boost alliance resilience.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-729295.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-729295.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/a-us-south-korea-alliance-strategic-memo-on-deterrence/
技术供应链与出口管制,C-ATL-729616,2024-01-31,W3,议题简报,A US-South Korea alliance strategic memo on countering Beijing’s economic coercion,作者/项目政策简报,"Economic interdependence of South Korea, United States, and other Indo-Pacific countries with China is enabling Beijing to pose threats to national security through economic coercion. To reduce these risks, Seoul and Washington should align strategies in advanced technologies, secure supply chains through trilateral cooperation with Japan, and reinforce the rules-based system in the Indo-Pacific.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-729616.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-729616.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/a-us-south-korea-alliance-strategic-memo-on-countering-beijings-economic-coercion/
综合科技竞争,C-ATL-726550,2024-02-12,W3,Atlantic Council战略论文,A strategy to counter malign Chinese and Russian influence in Latin America and the Caribbean,作者/项目正式研究,"As strategic competition with China and Russia continues to intensify, the United States and its allies need a strategy for countering the malign influence of authoritarian rivals in the Western Hemisphere. This Atlantic Council Strategy Paper proposes a path forward for the United States and its allies to do that.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-726550.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-726550.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/a-strategy-to-counter-malign-chinese-and-russian-influence-in-latin-america-and-the-caribbean/
网络安全与数字治理,C-ATL-726580,2024-02-12,W3,Atlantic Council战略论文,The competition for influence in the Americas is now online,作者/项目正式研究,"China is expanding its footprint in Latin America and the Caribbeans’s emerging technology and critical infrastructure arenas, while Russia is engaging in foreign influence operations via the cyber domain. These challenges require a proactive stance by the United States.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-726580.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-726580.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/the-competition-for-influence-in-the-americas-is-now-online/
人工智能、芯片与算力,C-ATL-730612,2024-03-14,W3,议题简报,Leveraging generative artificial intelligence to outcompete strategic rivals,作者/项目政策简报,The United States and its allies must leverage generative artificial intelligence to outcompete strategic rivals.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-555866.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-555866.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/leveraging-generative-artificial-intelligence-to-outcompete-strategic-rivals/
创新体系与产业政策,C-ATL-765127,2024-05-15,W3,议题简报,China Pathfinder: Q1 2024 update,作者/项目政策简报,"In the first quarter of 2024, Beijing pushed forward with a flurry of efforts to support a faltering stock market, ramp up exports to make up for domestic demand, and double-down on high-tech sectors with subsidies and other innovation funding.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-765127.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-765127.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/china-pathfinder-q1-2024-update/
综合科技竞争,C-ATL-771570,2024-06-13,W3,正式研究报告,A Global South with Chinese characteristics,作者/项目正式研究,"The Chinese Ministry of Commerce has sponsored training programs overseas on trade, information security technologies, and more. Beijing uses these training programs to make a case for its authoritarian capitalism. Is it working?",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-771570.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-771570.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/a-global-south-with-chinese-characteristics/
技术供应链与出口管制,C-ATL-763606,2024-06-25,W3,议题简报,A global strategy to secure UAS supply chains,作者/项目政策简报,"China exercises substantial control over the commercial drone market, which poses a security challenge for the United States and its allies and partners. What strategy will help the United States and its allies and partners counter China’s drone-market dominance?",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-564749.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-564749.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/a-global-strategy-to-secure-uas-supply-chains/
国防、航天与无人系统,C-ATL-763606,2024-06-25,W3,议题简报,A global strategy to secure UAS supply chains,作者/项目政策简报,"China exercises substantial control over the commercial drone market, which poses a security challenge for the United States and its allies and partners. What strategy will help the United States and its allies and partners counter China’s drone-market dominance?",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-564749.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-564749.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/a-global-strategy-to-secure-uas-supply-chains/
网络安全与数字治理,C-ATL-776535,2024-07-02,W3,正式研究报告,Strengthening Taiwan’s resiliency,作者/项目正式研究,"Resilience is a nation’s ability to understand, address, respond to, and recover from any type of national security risk. Given the scale of risk Taiwan faces from mainland China, domestic resilience should be front and center in Taiwan’s national security strategy, encompassing areas such as cybersecurity, energy security, and defense resilience.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-776535.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-776535.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/strengthening-taiwans-resiliency/
综合科技竞争,C-ATL-782361,2024-07-30,W3,议题简报,Effective US government strategies to address China’s information influence,作者/项目政策简报,"To mount the most effective response to Chinese influence and the threat it poses to democratic interests at home and on the international stage, the United States should develop a global information strategy, one that reflects the interconnected nature of regulatory, industrial, and diplomatic policies with regard to the information domain.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-782361.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-782361.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/effective-us-government-strategies-to-address-chinas-information-influence/
技术供应链与出口管制,C-ATL-787800,2024-09-04,W3,正式研究报告,Forging the 5G future: Strategic imperatives for the US and its allies,作者/项目正式研究,"5G technology is a critical pillar of U.S. national security, economic prosperity, and geopolitical influence in the twenty-first century.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-787800.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-787800.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/forging-the-5g-future-strategic-imperatives-for-the-us-and-its-allies/
技术供应链与出口管制,C-ATL-786928,2024-09-09,W3,正式研究报告,Sharing the post carbon economy means building a resilient EV supply chain,作者/项目正式研究,"In this report Sarah Bauerle Danzman advances the policy discussion by compiling trade, investment, and EV industrial policy data across the G20, and offers six recommendations to the G20 to build a resilient EV supply chain.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-786928.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-786928.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/sharing-the-post-carbon-economy-means-building-a-resilient-ev-supply-chain/
创新体系与产业政策,C-ATL-786928,2024-09-09,W3,正式研究报告,Sharing the post carbon economy means building a resilient EV supply chain,作者/项目正式研究,"In this report Sarah Bauerle Danzman advances the policy discussion by compiling trade, investment, and EV industrial policy data across the G20, and offers six recommendations to the G20 to build a resilient EV supply chain.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-786928.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-786928.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/sharing-the-post-carbon-economy-means-building-a-resilient-ev-supply-chain/
综合科技竞争,C-ATL-792027,2024-09-23,W3,议题简报,Expanding the US-Japan economic security partnership: Engaging allies and partners,作者/项目政策简报,Economic security has emerged as a national security priority in Tokyo and Washington as both confront challenges posed by China’s civil-military fusion and economic coercion. The alignment of Tokyo and Washington on strategic views of China and the convergence of their economic security priorities has created a new era of alliance cooperation on these issues.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-792027.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-792027.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/expanding-the-us-japan-economic-security-partnership-engaging-allies-and-partners/
综合科技竞争,C-ATL-798483,2024-10-09,W3,正式研究报告,End of the line: The cost of faltering reforms,作者/项目正式研究,The China Pathfinder project examines whether China’s economy is converging or diverging with the world’s leading open market economies.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-798483.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-798483.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/end-of-the-line-the-cost-of-faltering-reforms/
综合科技竞争,C-ATL-799964,2024-10-18,W3,正式研究报告,Capture the (red) flag: An inside look into China’s hacking contest ecosystem,作者/项目正式研究,"China has built the world’s most comprehensive ecosystem for capture-the-flag (CTF) competitions—the predominant form of hacking competitions, which range from team-versus-team play to Jeopardy-style knowledge challenges.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-799964.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-799964.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/capture-the-red-flag-an-inside-look-into-chinas-hacking-contest-ecosystem/
综合科技竞争,C-ATL-820069,2025-02-12,W3,Atlantic Council战略论文,The Global Foresight 2025 survey: Full results,作者/项目正式研究,"In the fall of 2024 after the outcome of the US presidential election, the Atlantic Council’s Scowcroft Center for Strategy and Security surveyed the future, asking leading global strategists and foresight practitioners around the world to answer our most burning questions about the biggest drivers of change over the next ten years. Here are the full results.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-820069.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-820069.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/the-global-foresight-2025-survey-full-results/
综合科技竞争,C-ATL-821601,2025-02-12,W3,Atlantic Council战略论文,"Welcome to 2035: What the world could look like in ten years, according to more than 350 experts",作者/项目正式研究,"In the fall of 2024 after the outcome of the US presidential election, the Atlantic Council’s Scowcroft Center for Strategy and Security surveyed the future, asking leading global strategists and foresight practitioners around the world to answer our most burning questions about the biggest drivers of change over the next ten years. Here are the full results.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-821601.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-821601.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/welcome-to-2035/
综合科技竞争,C-ATL-821694,2025-02-12,W3,Atlantic Council战略论文,Three worlds in 2035: Imagining scenarios for how the world could be transformed over the next decade,作者/项目正式研究,2024 was marked by increased climate shocks and collaboration of autocratic adversaries. What will the world look like in the next decade? The Atlantic Council’s top experts brought their globe-spanning expertise to the task of forecasting three different scenarios for the future.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-821694.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-821694.txt,https://www.atlanticcouncil.org/content-series/atlantic-council-strategy-paper-series/three-worlds-in-2035/
人工智能、芯片与算力,C-ATL-833987,2025-03-21,W3,议题简报,"To win the AI race, the US needs an all-of-the-above energy strategy",作者/项目政策简报,"To ensure US AI leadership, the United States must harness all forms of energy, allow a level playing field, and remove red tape constraining the buildout of critical enablers, especially transmission lines and grid enhancing technologies.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-833987.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-833987.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/to-win-the-ai-race-the-us-needs-an-all-of-the-above-energy-strategy/
综合科技竞争,C-ATL-835739,2025-03-27,W3,议题简报,Canada needs an economic statecraft strategy to address its vulnerabilities,作者/项目政策简报,"To address threats from Russia and China and reduce trade overdependence on the United States, Canada’s federal government will need to consolidate economic power and devise an economic statecraft strategy that will leverage Canada’s economic tools to mitigate economic threats and vulnerabilities.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-835739.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-835739.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/canada-needs-an-economic-statecraft-strategy-to-address-its-vulnerabilities/
综合科技竞争,C-ATL-840674,2025-04-16,W3,正式研究报告,Navigating the US-PRC tech competition in the Global South,作者/项目正式研究,A landscape report analyzing China’s strategic tech engagements with the Global South and how the US can compete.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-840674.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-840674.txt,https://www.atlanticcouncil.org/in-depth-research-reports/report/navigating-the-us-prc-tech-competition-in-the-global-south/
综合科技竞争,C-ATL-842387,2025-04-24,W3,议题简报,"Defending Taiwan means mobilizing society, not just the military",作者/项目政策简报,"Taiwan is under unprecedented pressure from the People’s Republic of China (PRC), facing coordinated threats on multiple fronts.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-776535.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-776535.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/defending-taiwan-means-mobilizing-society-not-just-the-military/
人工智能、芯片与算力,C-ATL-848735,2025-06-11,W3,议题简报,Reprogramming the future: The specialized semiconductors reshaping the global supply chain,作者/项目政策简报,"Within three years, Chinese investments in a critical and specialized type of semiconductor—field-programmable gate arrays (FPGAs)—are likely to drive many US firms out of the market. To counter this, the United States will need to significantly increase its own investment efforts.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-848735.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-848735.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/reprogramming-the-future-the-specialized-semiconductors-reshaping-the-global-supply-chain/
技术供应链与出口管制,C-ATL-848735,2025-06-11,W3,议题简报,Reprogramming the future: The specialized semiconductors reshaping the global supply chain,作者/项目政策简报,"Within three years, Chinese investments in a critical and specialized type of semiconductor—field-programmable gate arrays (FPGAs)—are likely to drive many US firms out of the market. To counter this, the United States will need to significantly increase its own investment efforts.",C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-848735.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-ATL-848735.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/reprogramming-the-future-the-specialized-semiconductors-reshaping-the-global-supply-chain/
技术供应链与出口管制,C-ATL-851573,2025-06-13,W3,议题简报,Mapping China’s strategy for rare earths dominance,作者/项目政策简报,China has built a commanding monopoly over rare earths.,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-ATL-851573.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-ATL-851573.txt,https://www.atlanticcouncil.org/in-depth-research-reports/issue-brief/mapping-chinas-strategy-for-rare-earths-dominance/
