报告ID,机构ID,机构名称,发布日期,日期精度,报告名称,官方文类,官方出版组,官方科学领域,作者,摘要,DOI,官方落地页,官方PDF入口,科技创新相关度,科技创新主轴,中国直接信号,全文策略,获取日期
C-EU-JRC-JRC119057,eu-jrc,European Commission Joint Research Centre,2019-01-01,年,"Scientific, Technical and Economic Committee for Fisheries (STECF) – 2019 Stock Assessments part 2: European fisheries for demersal species in the Adriatic Sea (STECF-19-16)",Report,Science for policy,Agriculture and food security；Environment and climate change,,"Commission Decision of 25 February 2016 setting up a Scientific, Technical and Economic Committee for Fisheries, C(2016) 1084, OJ C 74, 26.2.2016, p. 4–10. The Commission may consult the group on any matter relating to marine and fisheries biology, fishing gear technology, fisheries economics, fisheries governance, ecosystem effects of fisheries, aquaculture or similar disciplines. . This report is from STECF Expert Working Group 19-16: 2019 stock assessments of demersal stocks in the Adriatic Sea from the meeting in Rome Italy from 14th to 20th October 2019. A total of seven fish species were evaluated for GSA 17, 18 and 19. The EWG reports age based assessments and short term forecasts for all seven stocks. The content of the report gives the STECF terms of reference, the basis of the evaluations and advice, summaries of state of stock and advised based on either the MSY approach for assessed. The report contains the full stock assessment reports for the seven assessments, and three exploratory assessments for deep-water rose shrimp for each GSA separately. Advice for deep-water rose shrimp is based on the combined stock, the report also contains the STECF observations and conclusions on the assessment report. These conclusions come from the STECF Plenary meeting November 2019.",10.2760/95875,https://publications.jrc.ec.europa.eu/repository/handle/JRC119057,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119057/kj-ax-19-022-en-n.pdf,核心,科学体系与科研能力；关键与新兴技术；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC119061,eu-jrc,European Commission Joint Research Centre,2019-01-01,年,"Scientific, Technical and Economic Committee for Fisheries (STECF) – Evaluation of fishing effort regime in the Western Mediterranean – part IV (STECF-19-14)",Report,Science for policy,Agriculture and food security；Environment and climate change,,"Commission Decision of 25 February 2016 setting up a Scientific, Technical and Economic Committee for Fisheries, C(2016) 1084, OJ C 74, 26.2.2016, p. 4–10. The Commission may consult the group on any matter relating to marine and fisheries biology, fishing gear technology, fisheries economics, fisheries governance, ecosystem effects of fisheries, aquaculture or similar disciplines. This report is the fourth of a suite of STECF EWG reports dedicated to the fishing effort regime in the Western Mediterranean Sea, following EWG reports 18-09, 18-13 and 19-01. The group was requested to progress on an operational mixed-fisheries model for Effort Management Unit 1 (i.e. GSAs 1-2-5-6-7), to update mixed fisheries models and F-E analyses with the most recent data and the most recent stock assessments., and to draft a mixed-fisheries advice including relevant scenarios and displays. In EMU 1, good progresses were achieved in combining effort and catch data from both France and Spain into the bioeconomic multifleet model IAM. The model is now able to run and perform management simulations on the stock of hake (combined assessment in GSAs 1-2-5-6-7). Time did not allow to include additional stocks at this stage, but the required elements are now in place and adding these should be fairly straightforward in the future. The updates of the F-E analyses performed in EWG 18-09 and 18-13 with the most recent time series did not change the perception of the lack of relationship between fishing effort and fishing mortality. For many stocks and fleet segments, the relationship using effort expressed as fishing days has no obvious slope, indicating that the limited reduction of effort observed in the recent years did not have any visible effect on reducing fishing mortality yet. Supplementary analyses were performed using effort expressed in hours instead of days, which improved the relationship to some extent. This is consistent with previous statements in previous reports that fishing effort would be best expressed and managed in terms of fishing hours than fishing days: Extended simulation work was performed regarding management scenarios, especially in EMU 2 (GSAs 8-9-10-11). The multi-fleet BEMTOOL model was updated and extended, and 6 scenarios involving effort reductions, sometimes combined with spatial closures, were simulated in a stochastic approach. Also, the individual-based spatial model SMART was updated, and the outcomes of the spatial closures scenarios was used to parameterise the spatial scenarios in BEMTOOL. Finally, the simpler NIMED model was also updated and run, but its results were not compared to the two other models. In EMU 1, the IAM model (hake alone) was used to perform 3 runs of effort reduction, one of them including a French proposal for a spatial closure in the Gulf of Lion. Finally, a 3-pages synthetic advice is proposed, summarising the key findings of the simulations. A key outcome is that the proposed closure of the coastal zone down to 100 m deep, max 6nm from the shore, is unlikely to contribute to reducing hake catches. Rather, it can have an adverse effect if the fleets reallocate their effort further away where important concentrations of juvenile exists. In the light of the F-E relationships analyses, all results presented in this report are considered to be overoptimistic since they assume a true reduction in F if effort decreases, which may in reality be limited during the first years of effort reductions.",10.2760/295779,https://publications.jrc.ec.europa.eu/repository/handle/JRC119061,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119061/kj-ax-19-020-en-n.pdf,核心,科学体系与科研能力；关键与新兴技术；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC119072,eu-jrc,European Commission Joint Research Centre,2019-01-01,年,Clean energy technology synergies and issues,Report,Technical reports,Energy and transport,CARLSSON Johan；UIHLEIN Andreas；NIJS Wouter；RUIZ CASTELLO Pablo；CARRARA Samuel；KAPETAKI Zoi；KOUGIAS Ioannis；MAGAGNA Davide；MIRANDA BARBOSA Edesio；O' CONNELL Adrian Parker；PADELLA Monica；PRUSSI Matteo；SCARLAT Nicolae；TAYLOR Nigel；VAZQUEZ HERNANDEZ Cristina；CHONDROGIANNIS Stamatios；JAKUBCIONIS Mindaugas；SHORTALL Ruth；TELSNIG Thomas,The objective of this report is to provide recommendations for long-term R&D priorities for crosscutting EC funded projects in the energy domain. Nineteen JRC experts analysed synergies and issues of the future energy system in following areas: * objectives of Horizon 2020 projects were compared with national and international projects; * key energy technologies for a cost-effective energy transition using the energy system model JRC-EU-TIMES; * development trends of LCEO technologies with regard to their potential to provide grid support services; and * R&D synergies between LCEO technologies to accelerate development and use research budgets efficiently.,10.2760/716057,https://publications.jrc.ec.europa.eu/repository/handle/JRC119072,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119072/kjbk19023enn.pdf,核心,研发投入与创新政策；关键与新兴技术,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC119142,eu-jrc,European Commission Joint Research Centre,2019-01-01,年,ARTEFACTS,Report,Technical reports,JRC corporate,SUCHA Vladimir；VITCHEVA Charlina Vladimirova；WILKINSON David；BENOIST Thierry；ESTREGUIL Christine；LYNCH Joanna；SCHOLZ Harald；THIJS An；WILIKENS Marc；BLASCO MUNOZ Jose；DEREAU Benoit；HAHN Karl-Anton；LEMUS CONEJO Marcos；MONDELLO Silvia；MORTARA Barbara；PERUGGINI William；SPIRITO Laura；VIGNAUX Mael；ACHARD Frederic；BARREIRO HURLE Jesus；BARUTH Bettina；BELWARD Alan；BEUCHLE Rene'；BIDOGLIO Giovanni；BOROWIAK Annette；CAMIA Andrea；DE JESUS CARDOSO Ana；CLARK Ian；CIUPAGEA Constantin；DALLEMAND Jean-Francois；VANHAM Davy；DENTENER Franciscus；EDWARDS Robert；VIGNATI Elisabetta；PISONI Enrico；EVA Hugh；FIORE Gianluca；GAWLIK Bernd；GENOVESE Giampiero；GERVASINI Eugenio；GRASSI Giacomo；GUENTHER Susann；HANKE Georg；HUISMAN Jacob；JAEGER-WALDAU Arnulf；JAMES Kathleen；JONES Arwyn；KOTSAKIS Evangelos；KRASENBRINK Alois；LEIP Adrian；LONZA Laura；MAES Joachim；MARELLI Luisa；MARTINSOHN Jann；MASERA Marcelo；MATHIEUX Fabrice；MUELLEJANS Harald；O' CONNELL Adrian Parker；ORGIAZZI Alberto；PANT Rana；PARACCHINI Maria-Luisa；PEEDELL Stephen；POLCE Chiara；REGA Carlo；STIBIG Hans-Jurgen；TAYLOR Nigel；THIEL Christian；THUNIS Philippe；ABENTUNG Daniela Sabine；AL KHUDHAIRY Delilah；CARATTI DI LANZACCO Giancarlo；KULIS Ivan Davor；DE SANTI Giovanni；DUBOIS Gregoire；EECKELS Adriaan；HOHENADEL Marc；IGLESIAS PORTELA Maria；KAJANDER Nina；MARUSZEWSKI Krzysztof；PINTO MALAQUIAS Pedro；MCGARRY Darren；MECA CASTANY Cristina；MULHERN Grainne；OSTERMANN Ole Peter；PETER Georg；RUSCELLI Silvia；SIMONEAU Catherine；SOBERG Carina；SZYMANSKI Piotr；THIELEN DEL POZO Jutta；GEREZ Alexandre；HAJDU Marton；PEREIRA SÁ Sofia；FAIR Henry；MOLDRZYK Uwe；GALLE Linda；VOGEL Johannes；JUNKER Stephan；MUETZEL Celina；SCHULTKA Yori；ESCH Benedikt；KREFT Sonja；STROHMANN Vivien；EYL Thegreen；HENNING Valentin；ROSSIG Wiebke；VOHLAND Katrin；WEISSPFLUG Maike；BADOCK Dorte；BARTSCHE Peter；BAUM Ina；BONKE Ralf；BRENTANI Claudia；BRINKMANN Markus；CHERRY Phil；CZURA Michael；DAMRAU Katrin；FABER Astrid；FRITZSCH Wolfam；GOETZ Hwa Ja；HACKMANN Holger；HAEHNEL Oliver；KENNEWELL Philipp；KIRSCHNER Martin；KLEINERT Tomas；KRAL Katrin；KUNKEL Andreas；LEHMANN Erik；LINDERT Jaqueline；MOELLMAN Nils；NEUMANN Monika；OHL Michael；POIEAM Suriya；RACKE Carola；REISE Ina；RIEDEL Marcus；ROTHENBURG Wolfgang；SAURE Christoph；SCHREIBER Robert；SCHROEDER Astrid；SCHULTZE Selina；SONNTAG Christian；STANGE Jule；STEHLE Sven；STEIN Robert；STEINNINGER Marlies；VOLKER Matthias；WAURICK Isabelle；ZILCH Mathias；KLUCKERT Lisa；KRZYZNIEWSKI Stefanie；ROEHNER Juliane；SCHUCKER Carmen；STEINER Gesine,"The European Commission’s Science and Knowledge Service, the Joint Research Centre (JRC), decided to try working hand-in-hand with leading European science centres and museums. Behind this decision was the idea that the JRC could better support EU Institutions in engaging with the European public. The fact that European Union policies are firmly based on scientific evidence is a strong message which the JRC is uniquely able to illustrate. Such a collaboration would not only provide a platform to explain the benefits of EU policies to our daily lives but also provide an opportunity for European citizens to engage by taking a more active part in the EU policy making process for the future. A PILOT PROGRAMME To test the idea, the JRC launched an experimental programme to work with science museums: a perfect partner for three compelling reasons. Firstly, they attract a large and growing number of visitors. Leading science museums in Europe have typically 500 000 visitors per year. Furthermore, they are based in large European cities and attract local visitors as well as tourists from across Europe and beyond. The second reason for working with museums is that they have mastered the art of how to communicate key elements of sophisticated arguments across to the public and making complex topics of public interest readily accessible. That is a high-value added skill and a crucial part of the valorisation of public-funded research, never to be underestimated. Finally museums are, at present, undergoing something of a renaissance. Museums today are vibrant environments offering new techniques and technologies to both inform and entertain, and attract visitors of all demographics.","['10.2760/458734 (online)', '10.2760/10890 (print)', '10.2760/443571']",https://publications.jrc.ec.europa.eu/repository/handle/JRC119142,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119142/kjna30021enn_2.pdf,支撑,科学体系与科研能力；科技人才与技能,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC119498,eu-jrc,European Commission Joint Research Centre,2019-01-01,年,"Scientific, Technical and Economic Committee for Fisheries (STECF) – The EU Fish Processing Sector. Economic Report (STECF-19-15)",Report,Science for policy,Agriculture and food security,,"Commission Decision of 25 February 2016 setting up a Scientific, Technical and Economic Committee for Fisheries, C(2016) 1084, OJ C 74, 26.2.2016, p. 4–10. The Commission may consult the group on any matter relating to marine and fisheries biology, fishing gear technology, fisheries economics, fisheries governance, ecosystem effects of fisheries, aquaculture or similar disciplines. This report contains the 2019 economic report of the EU fish processing sector, covers the period 2008 to 2017 and includes information on the EU fish processing industries in terms of number of enterprises, employment, income and costs. The profitability and performance of the sector is also reported in terms of gross value added, profits, profit margins and labour productivity. In 2017 the sector was made up of about 3,500 firms, provided about 130,000 jobs and produced a turnover of €32 billion. The first time, because of new variables collected under EUMAP, the analysis of the socio-demographic aspects of the labour forces employed by the sector is provided, in terms of gender, age, nationality and educational aspects. The report provides an in-depth look of the different factors affecting the economic performance of the EU fish processing industry with a special focus on the major drivers and issues affecting the sector. Following a specific request, the report provides an assessment of the sources of raw material (e.g. internal catches, internal aquaculture, imports) detailing potential specificities by species, type of industry and Member State and provide suggestions for the improvement of the future data collection. The report also provides a first insight on the potential impact of the Autonomous Tariff Quotas (ATQs).",10.2760/30373,https://publications.jrc.ec.europa.eu/repository/handle/JRC119498,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119498/kjax20001en.pdf,核心,科学体系与科研能力；关键与新兴技术；产业创新与成果转化,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC119508,eu-jrc,European Commission Joint Research Centre,2019-01-01,年,The Tax Structure of an Economy in Crisis: Greece 2009-2017,Report,Science for policy,Innovation and growth,LEVENTI Chrysa；PICOS SANCHEZ Fidel,"The 2010 Economic Adjustment Programme initiated a period of strict international supervision with respect to tax policy in Greece. The country implemented a large-scale fiscal consolidation package, aiming to reduce its public deficit below 3% of GDP by 2016. Since the beginning of the crisis, the provisions of the ‘Greek Programme’ have been revised several times, and personal income tax reform has figured prominently on almost each of the revision agendas. This paper aims to provide an assessment of the effects of the four major structural reforms that took place in Greece during and in the aftermath of the economic crisis; using microsimulation techniques, we simulate the (ceteris paribus) first-order impact of these reforms on the distribution of incomes, the state budget and work incentives, while also trying to identify the main gainers and losers of these policy changes. Our results suggest that all reforms had a revenue-increasing rationale, with the one of 2011 being designed to have the largest fiscal gains. The latter also strengthened redistribution and achieved the highest decrease in income inequality. The 2013 reform went to the opposite direction by reducing both the redistributive strength and the progressive nature of the Greek tax system. The striking discrepancies in the ways in which different household categories have been affected by the four reforms call for a deeper investigation of the possibility of moving towards more uniform personal income tax rules.",,https://publications.jrc.ec.europa.eu/repository/handle/JRC119508,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC119508/jrc119508.pdf,核心,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC105673,eu-jrc,European Commission Joint Research Centre,2020-01-01,年,"Asbestos, leaded petrol, and other aberrations: Comparing countries’ regulatory responses to disapproved products and technologies",Report,Science for policy,Innovation and growth,COAD Alexander；BIGGI Gianluca；GIULIANI Elisa,"Regulation of innovation is an important facet of the performance of national innovation systems. We explore the temporal geography of regulatory responses as evidenced by the years in which countries introduce bans against leaded petrol, asbestos, and smoking in public places, as well as introducing the driver’s seatbelt obligation. A country’s innovativeness (as indicated by the Global Innovation Index) performs better than its GDP per capita in terms of explaining the earlier introductions of the leaded petrol ban and the seatbelt obligation. There is large variation across countries, however, and an early introduction of one ban is not strongly related to the relative performance in regards to another ban, which raises possible questions about the coherence of regulatory responses across different threats.",,https://publications.jrc.ec.europa.eu/repository/handle/JRC105673,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC105673/final_coad_jrc105673_jrc105673%283%29.pdf,核心,,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC113586,eu-jrc,European Commission Joint Research Centre,2020-01-01,年,Front-of-pack nutrition labelling schemes: a comprehensive review,Report,Science for policy,Economic and monetary Union；Health and consumer protection；Information society；Innovation and growth；Standards,STORCKSDIECK GENANNT BONSMANN Stefan；MARANDOLA Ginevra；CIRIOLO Emanuele；VAN BAVEL Rene；WOLLGAST Jan,"This JRC Science for Policy report was produced in support of a Commission report on front-of-pack (FOP) nutrition labelling. It provides a review of the scientific literature concerning FOP nutrition labelling and its effects on consumers, food business operators, and the single market. A major emphasis is placed on consumer attention, preferences, and understanding of different FOP schemes, as well as effects on food purchasing and implications for diet and health. The report also considers in how far producer efforts on food reformulation and innovation may be affected by the introduction of FOP nutrition labelling schemes, describes potential unintended consequences of introducing FOP nutrition labelling, and highlights knowledge gaps and directions for future research. An extensive, yet non-exhaustive overview of FOP schemes around the globe complements the literature review.","['10.2760/436998 (online)', '10.2760/180167 (print)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC113586,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC113586/kjna29811enn_1.pdf,核心,科学体系与科研能力,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC114416,eu-jrc,European Commission Joint Research Centre,2020-01-01,年,Real Driving Emissions: 2018-2019 assessment of Portable Emissions Measurement Systems (PEMS) measurement uncertainty,Report,Technical reports,Energy and transport；Environment and climate change,VALVERDE MORALES Victor；GIECHASKIEL Barouch；CARRIERO Massimo,"Previous research of a proper margin value for Nitrogen Oxides to account for the additional measurement uncertainty of Portable Emissions Measurement Systems (PEMS) as compared to standard laboratory equipment in the context of the Real Driving Emissions (RDE) Regulation identified zero drift as an important component of uncertainty. This report describes an experimental campaign carried out by the Joint Research Centre during 2018 and 2019 to assess zero drift of PEMS gas analysers under real life operation. The instruments considered in the analysis, from four large manufacturers, cover probably the whole PEMS market in Europe. The tested instruments belong to the generation of PEMS currently available in the market. The results of the testing campaign show that there is not a systematic positive or negative drift, neither a systematic step nor linear drift for any of the pollutants considered (NO, NO2, CO2, CO). On valid tests, intermediate zero response checks done every 10/20 minutes of test are always within the permissible limits (on HORIBA, SENSORS, and AIP PEMS), and mostly within limits for AVL PEMS (larger number of tests performed with this instrument). On most of the tests performed, the zero drift for NOx is lower than 3 ppm under a variety of ambient temperature and humidity conditions. Additional tests done on more stringent environmental conditions (high altitude mountain driving) show a similar pattern for zero drifts of all pollutants. Vehicle technology (spark ignition or compression ignition), PEMS installation location (cabin or trailer hook), ambient temperature and humidity, and altitude do not appear to be critical elements affecting the zero drift as results are similar for all the aforementioned conditions. In general, the evidence gathered during the campaign does not verify the worst case drift scenario used to define the 0.43 NOX margin and it can be used to justify a further reduction of the margin value. Based on the worst case scenario for zero drift of the JRC testing campaign and considering the effect on a vehicle with large engine displacement (largest effect in terms of NOx mass), the updated NOx margin that is proposed is 0.32.","['10.2760/06282 (online)', '10.2760/684820 (print)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC114416,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC114416/jrc_pems_margin_review_nox_final_-_online_version.pdf,支撑,科学体系与科研能力；关键与新兴技术,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC115606,eu-jrc,European Commission Joint Research Centre,2020-01-01,年,Wastewater treatment in the Danube region: opportunities and challenges,Report,Science for policy,Agriculture and food security；Energy and transport；Environment and climate change,,"The JRC has commissioned two feasibility studies concerning the setup of “synthesis centres”, i.e. the ad hoc gathering of stakeholders, service operators, government and the local community around the problem to be solved, to address one case study relative to small decentralized wastewater treatment solutions in a rural area of Slovenia, and another case study relative to a centralized wastewater treatment solution for two municipalities in Serbia. The solutions designed and discussed in these two case studies have been further tested in a set of pilot cases in all countries of the Lower Danube. The outcomes suggest that there is considerable scope for the development of decentralized wastewater treatment through constructed wetlands in rural areas and small agglomerations, throughout the Lower Danube. This type of solution offers significantly higher cost-effectiveness than more “technological” and centralized solutions, particularly because it limits the costly investments of sewage collection and the energy and labour requirements of activated sludge or similar processes. In cases where a centralized plant is justified, this can become the pivot of an “industrial ecological” district where the energy and materials conveyed by wastewater can be conveniently recovered. For energy the benefits are more apparent, while the recovery of fertilizers and water may be limited by lack of a market for these secondary resources, the still relatively high costs, and cultural and legislative barriers hampering their marketability. At the same time, often the sludge line of wastewater treatment plants may be synergetic with the treatment of the organic fraction of municipal, industrial and agricultural waste. When this is the case, expanding the boundaries of the system of waste flows considered in the design of the plant may result in significant economies of scale and revenues that may offset parts of the costs of waste and wastewater treatment. The study highlights that wastewater tariffs may be relatively low even by standards of middle income countries; however, the large variation of income within countries may give rise to affordability issues. The strategies analysed here may improve the financial sustainability and affordability of the service. Generally speaking, the involvement of stakeholders in a “synthesis centre” may stimulate the invention of more integrative solutions for affordable and cost-effective wastewater treatment, and efforts should be devoted to a broader involvement of stakeholders in the future, in order to unleash this potential.","['10.2760/220413 (online)', '10.2760/16723 (print)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC115606,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC115606/sfp_report_final.pdf,支撑,产业创新与成果转化,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC116106,eu-jrc,European Commission Joint Research Centre,2020-01-01,年,Guidance for the Assessment of Material Efficiency: Application to Smartphones,Report,Technical reports,Environment and climate change；Innovation and growth；Standards,CORDELLA Mauro；ALFIERI Felice；SANFELIX FORNER Javier Vicente,"Improving the material efficiency of products has the potential of bringing benefits to the environment and to the economy, by saving resources and avoiding production of waste. However, improved design of products needs to be assisted by appropriate assessment methods. In this context, the Joint Research Centre Directorate B, Circular Economy & Industrial Leadership unit (JRC B.5), prepared a guidance for the assessment of material efficiency of products (GAME) addressing two practical targets: - The identification of key material efficiency aspects of products; - The definition of tangible improvement measures. The guidance, which is described in this report in parallel to its application to smartphones, is based on the analysis of technical and functional aspects of products, as well as on the definition of life cycle assessment scenarios targeting environmental and economic impacts. The product group “smartphones” is used as an illustrative case study to show how to implement this guidance for the analysis. Possible actions for improving the performance of smartphones with respect to material efficiency are investigated. Aspects like durability, reparability, upgradability, recyclability and use of materials are analysed. Resembling the methodology for the ecodesign of energy-related product (MEErP), the analysis was carried out in the following steps: 1. Product group definition - The scope of the analysis is defined, legislative references identified as well as relevant testing methods; 2. Market - The market of the product is characterised, particularly in relation with practices promoting a more circular economy; 3. User behaviour - How consumers use and interact with the product is analysed; 4. Technical aspects - Technical elements for the analysis of material efficiency and system aspects are provided; 5. Material efficiency hotspots - Life Cycle Assessment and Life Cycle Cost impacts are quantified for alternative scenarios based on the information gathered; 6. Definition of possible design measures for improving material efficiency - Possible measures that could improve the material efficiency of the analysed product are defined. Main findings related to the application of the guidance to smartphones are provided below. - Different organisations have been working worldwide for the development of standards and labels on smartphones (Section 1) which can be used as a starting point for improving the material efficiency and the sustainability of the product. - The market sales of new smartphones globally appear to have slowed down in recent years, while the 2nd-hand market has slightly increased in size (Section 2). Two main business strategies of manufacturers and service providers can be outlined: i) focusing on the upgrade of models and the integration of new technological features; and ii) contributing to the development of circular business models that can allow retaining the product's value (e.g. via more durable/reparable designs). - Smartphones are on average replaced by users every two years (Section 3). In more than half of the cases, the replacement was found to be due to the user wanting a new model/software (in absence of failures). Results may differ from one country to another. The technical lifetime of smartphones could be extended to 4.5 years. - From a technological point of view, functionality of smartphones has been increasing over time, with consequent increase of power demand, storage capacity and materials needed (Sections 4.1 and 2). - Smartphones are made of a variety of materials, some of them used in very small quantities but of global concern because of their social, economic and geopolitical impacts (CRM and minerals from conflict-affected and high-risk areas). At the end of life, smartphones are typically left unused at home (one out of two). This diverts resources from processes aimed at the reuse, recycling and recovery of materials (Sections 4.2 and 4.4.). - Limiting states of smartphones are often associated to a failure of screens and batteries. The upgradability of Operating System, firmware and software (i.e. security updates/patches) are also important aspects to ensure the longevity of smartphones (Section 4.3). Design strategies followed by manufacturers to extend the lifetime of smartphones focus on reliability and resistance of the device and/or on their reparability/upgradability. - A broad variety of products is available on the market that presents different functionalities, characteristics and impacts. Life Cycle Thinking can be used to better understand trade-offs and investigate if any material efficiency strategy can be prioritised over the others (Section 5). In the case of smartphones, it was found that remanufacturing and reuse should come first, followed by extending the years of use of the device, especially in absence of repair interventions. The impact of replacing a battery appears in particular low if compared to the benefits achievable with an extension of the product lifetime. It should also be observed that benefits from the use of second-hand devices could be partially offset by an increase of the global purchase of smartphones. Recycling can be then considered as a complementary strategy to recover precious metals and critical materials. - Significant impacts from the life cycle of smartphones are associated to data consumption and the related networks, which constitute an ""invisible"" source of impact of which to make consumers more aware, operators and policy makers. On the other hand, energy consumption due to the recharge of the battery seems to play only a secondary role. Moreover, service contracts appear the most important cost for consumers along the life cycle of the product (Section 5). - A series of possible measures to improve the material efficiency of smartphones has been presented based on the information gathered (Section 6). These cover both technical and behavioural aspects of smartphones since also consumers can play a dramatic role in determining the life cycle impact of their devices. Results of the study could be used for the integration of material efficiency aspects in decision-making processes targeting the design, manufacture and purchase of smartphones. It should be remarked that results are general in nature, so that do not take into account the characteristics of specific models on the market, and should not be extended to other product categories. However, these can serve as an information basis for broader discussion about the possible regulation and standardisation of ICT products. The guidance could be moreover adapted to the specificities of any product on the market, and integrated in ecodesign, energy labelling and eco-labelling studies aimed at identifying measures to improve the sustainability of product groups. In this respect, the guidance is considered compatible with the MEErP. The integration in MEErP of the aspects described in this study is recommended to handle material efficiency aspects in Ecodesign. The study also highlights that the discussion on material efficiency is complex and can be limited by lack of quantitative information and data. As remedy to such limitation, the study was conducted through a structured consultation process involving stakeholders with different backgrounds and interests (e.g. representatives of manufacturers, repairers, recyclers, NGOs and testing organisations, Member States and scientific institutions). From the one hand, this has allowed access to best available information from alternative sources; from the other hand, this has allowed a quality check of the information reported. As a general rule it is thus remarked the importance of engaging with a comprehensive and heterogeneous pool of stakeholders, as well as to interpret, analyse critically and report transparently the information processed and any result proceeding from modelling activities.",10.2760/037522,https://publications.jrc.ec.europa.eu/repository/handle/JRC116106,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC116106/jrc116106_jrc_e4c_task2_smartphones_final_publ_id.pdf,核心,科学体系与科研能力；产业创新与成果转化,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
C-EU-JRC-JRC116630,eu-jrc,European Commission Joint Research Centre,2020-01-01,年,Methodological Manual Developing Thematic Interregional Partnerships for Smart Specialisation,Report,Science for policy,Innovation and growth,RAKHMATULLIN Ruslan；HEGYI Fatime Barbara；CIAMPI STANCOVA Katerina；GOMEZ PRIETO Javier；MIESZKOWSKI Krzysztof,"Starting in 2015, the European Commission has been working hard with the thematic partnerships helping them to figure out how to go best about initiating and managing interregional thematic S3 partnerships. By preparing this manual, the European Commission is able to document not just the overall methodological journey taken by the thematic partnerships, but also the many good practices observed over the past few years. This manual refers to this combined body of as the thematic S3 approach to interregional partnerships. Qualified partnerships are encouraged to follow this methodology in line with a specific structure (workflow) that takes these new partnerships through a number of steps. This workflow follows an iterative and non-linear process, which can be understood as a dynamic flow of activities that result in living documents and activities that require continuous monitoring and review. This workflow approach is an evolved adaptation of the 4-step approach defined by the Vanguard Initiative. In addition to the 4 steps defined by the Vanguard Initiative, the current approach adds 'Scale-Up' as an additional step. In addition, the approach described in this manual includes a further layer of outcomes expected throughout the overall process. Even if some formalised outcomes are likely to be associated with specific phases, many of these go well beyond the boundaries of any one phase. Chapters of this manual will follow the logic of this 5-phase workflow approach. Chapter 1 is built around the Learn phase with Chapter 2 focusing on the Connect phase. Phases 3, 4 and 5 are not covered in the current version of this methodological manual. Putting in place a solid monitoring and evaluation mechanism (MEM) can prove to be an important tool in the development of every thematic partnership. In addition to being able to assess its own progress or challenges, such a solid MEM helps each partnership validate its earlier decisions and actions while keeping an eye on the overall effectiveness of its governance structure. To help interested partnerships monitor their progress, the S3 Platform proposes a simple yet comprehensive evaluation framework that covers the entire workflow in line with the thematic approach to S3 described in this Manual. Preparation and management of interregional S3 projects may appear challenging at first. However, breaking the task into a series of defined steps and processes (many of which also apply to traditional collaborative projects) can greatly simplify it (see Figure 1). Equally, public authorities in any one region cannot be expected to have all the necessary resources in-house; legal, technical, financial, environmental, and other advisers are frequently used throughout the process. The challenge is to select the right advisers across partner regions and to manage them effectively.","['10.2760/564759 (online)', '10.2760/3582 (print)']",https://publications.jrc.ec.europa.eu/repository/handle/JRC116630,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC116630/s3p-thematicmanual_-_online.pdf,核心,产业创新与成果转化；创新测量与政策方法,否,总目录保留；等待科技创新机制增量与跨期节点筛选,2026-08-23
